annotation,count,percentage
3' UTR,35,0.8094357076780758
5' UTR,11,0.2543940795559667
Distal Intergenic,98,2.266419981498612
"Exon (ENSMUST00000000122.6/18053, exon 3 of 6)",1,0.023126734505087884
"Exon (ENSMUST00000000127.5/22415, exon 3 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000000808.7/16161, exon 12 of 16)",1,0.023126734505087884
"Exon (ENSMUST00000002327.5/23853, exon 6 of 11)",1,0.023126734505087884
"Exon (ENSMUST00000003762.7/15116, exon 5 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000006071.13/18423, exon 5 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000010298.6/234857, exon 3 of 15)",1,0.023126734505087884
"Exon (ENSMUST00000016670.8/226419, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000019616.5/15898, exon 10 of 11)",1,0.023126734505087884
"Exon (ENSMUST00000019616.5/15898, exon 8 of 11)",1,0.023126734505087884
"Exon (ENSMUST00000021056.7/110880, exon 24 of 24)",1,0.023126734505087884
"Exon (ENSMUST00000022744.4/14573, exon 2 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000024944.8/20532, exon 8 of 10)",1,0.023126734505087884
"Exon (ENSMUST00000025253.11/53761, exon 16 of 31)",1,0.023126734505087884
"Exon (ENSMUST00000029711.8/23920, exon 9 of 22)",1,0.023126734505087884
"Exon (ENSMUST00000030510.13/83770, exon 6 of 6)",1,0.023126734505087884
"Exon (ENSMUST00000033300.3/11870, exon 3 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000036155.9/446101, exon 19 of 19)",1,0.023126734505087884
"Exon (ENSMUST00000037099.8/29876, exon 5 of 6)",1,0.023126734505087884
"Exon (ENSMUST00000037235.6/228787, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000038332.8/233189, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000038618.12/108075, exon 13 of 33)",1,0.023126734505087884
"Exon (ENSMUST00000039484.5/237256, exon 6 of 6)",1,0.023126734505087884
"Exon (ENSMUST00000039775.8/243914, exon 8 of 9)",1,0.023126734505087884
"Exon (ENSMUST00000040110.7/58250, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000041029.5/17130, exon 4 of 4)",1,0.023126734505087884
"Exon (ENSMUST00000044533.8/69453, exon 9 of 13)",1,0.023126734505087884
"Exon (ENSMUST00000044828.13/329252, exon 18 of 18)",1,0.023126734505087884
"Exon (ENSMUST00000046659.13/242667, exon 9 of 12)",1,0.023126734505087884
"Exon (ENSMUST00000047393.6/13019, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000051089.3/ENSMUST00000051089.3, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000051301.5/19290, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000053568.1/235402, exon 4 of 4)",2,0.04625346901017577
"Exon (ENSMUST00000057090.11/68760, exon 4 of 4)",1,0.023126734505087884
"Exon (ENSMUST00000058418.7/243328, exon 8 of 11)",1,0.023126734505087884
"Exon (ENSMUST00000059667.8/170638, exon 4 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000061030.9/224055, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000062241.10/81897, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000069098.6/320706, exon 14 of 15)",1,0.023126734505087884
"Exon (ENSMUST00000069399.6/74901, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000073124.8/69228, exon 7 of 7)",1,0.023126734505087884
"Exon (ENSMUST00000084207.11/234094, exon 17 of 29)",1,0.023126734505087884
"Exon (ENSMUST00000084593.2/ENSMUST00000084593.2, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000091420.5/ENSMUST00000091420.5, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000091704.6/319179, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000092723.10/239985, exon 19 of 19)",1,0.023126734505087884
"Exon (ENSMUST00000097566.9/104027, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000102694.3/19221, exon 6 of 9)",1,0.023126734505087884
"Exon (ENSMUST00000103184.3/11550, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000105359.7/23805, exon 9 of 15)",1,0.023126734505087884
"Exon (ENSMUST00000106051.7/97130, exon 5 of 7)",1,0.023126734505087884
"Exon (ENSMUST00000106051.7/97130, exon 6 of 7)",1,0.023126734505087884
"Exon (ENSMUST00000108287.9/237868, exon 2 of 9)",1,0.023126734505087884
"Exon (ENSMUST00000108362.7/80297, exon 15 of 18)",1,0.023126734505087884
"Exon (ENSMUST00000111416.6/100039795, exon 9 of 10)",1,0.023126734505087884
"Exon (ENSMUST00000117103.1/ENSMUST00000117103.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000117888.1/ENSMUST00000117888.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000118022.7/14463, exon 2 of 7)",1,0.023126734505087884
"Exon (ENSMUST00000118127.1/ENSMUST00000118127.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000119206.2/244058, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000119571.1/ENSMUST00000119571.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000120360.1/ENSMUST00000120360.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000121020.1/ENSMUST00000121020.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000121927.7/268903, exon 4 of 4)",1,0.023126734505087884
"Exon (ENSMUST00000127527.1/ENSMUST00000127527.1, exon 1 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000127554.1/ENSMUST00000127554.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000128996.1/ENSMUST00000128996.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000130235.7/26564, exon 6 of 9)",1,0.023126734505087884
"Exon (ENSMUST00000130746.1/ENSMUST00000130746.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000132564.1/ENSMUST00000132564.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000133190.1/216033, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000135343.1/26913, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000136027.1/ENSMUST00000136027.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000137714.1/ENSMUST00000137714.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000137796.7/ENSMUST00000137796.7, exon 1 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000150255.1/ENSMUST00000150255.1, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000150779.7/17690, exon 8 of 15)",1,0.023126734505087884
"Exon (ENSMUST00000152247.7/231861, exon 6 of 25)",1,0.023126734505087884
"Exon (ENSMUST00000153672.1/ENSMUST00000153672.1, exon 1 of 4)",1,0.023126734505087884
"Exon (ENSMUST00000156803.8/ENSMUST00000156803.8, exon 1 of 6)",1,0.023126734505087884
"Exon (ENSMUST00000159200.1/101359, exon 5 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000159268.1/ENSMUST00000159268.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000161701.2/75599, exon 2 of 4)",2,0.04625346901017577
"Exon (ENSMUST00000164104.2/ENSMUST00000164104.2, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000165770.8/94187, exon 2 of 6)",1,0.023126734505087884
"Exon (ENSMUST00000166459.1/ENSMUST00000166459.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000168386.8/73072, exon 6 of 7)",1,0.023126734505087884
"Exon (ENSMUST00000172500.1/74971, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000173704.7/16468, exon 8 of 19)",1,0.023126734505087884
"Exon (ENSMUST00000177220.7/100043902, exon 4 of 4)",2,0.04625346901017577
"Exon (ENSMUST00000177648.7/56173, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000178843.2/242707, exon 8 of 8)",1,0.023126734505087884
"Exon (ENSMUST00000180988.1/ENSMUST00000180988.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000181029.2/ENSMUST00000181029.2, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000181044.1/ENSMUST00000181044.1, exon 3 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000181476.2/328646, exon 5 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000181629.1/75245, exon 5 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000183928.7/ENSMUST00000183928.7, exon 1 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000187705.1/ENSMUST00000187705.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000188033.1/ENSMUST00000188033.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000188614.1/ENSMUST00000188614.1, exon 1 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000189334.1/ENSMUST00000189334.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000190789.2/ENSMUST00000190789.2, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000191302.1/ENSMUST00000191302.1, exon 1 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000192062.1/ENSMUST00000192062.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000193092.1/ENSMUST00000193092.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000193194.1/ENSMUST00000193194.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000193960.1/ENSMUST00000193960.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000194287.1/ENSMUST00000194287.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000199304.1/ENSMUST00000199304.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000201518.3/20273, exon 12 of 15)",1,0.023126734505087884
"Exon (ENSMUST00000204830.1/100502936, exon 2 of 2)",1,0.023126734505087884
"Exon (ENSMUST00000207038.1/215819, exon 7 of 7)",1,0.023126734505087884
"Exon (ENSMUST00000207576.1/69547, exon 5 of 5)",1,0.023126734505087884
"Exon (ENSMUST00000210479.1/76787, exon 20 of 29)",1,0.023126734505087884
"Exon (ENSMUST00000210709.1/ENSMUST00000210709.1, exon 1 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000211227.1/69217, exon 8 of 16)",1,0.023126734505087884
"Exon (ENSMUST00000211356.1/272465, exon 7 of 7)",1,0.023126734505087884
"Exon (ENSMUST00000212002.1/ENSMUST00000212002.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000216671.1/ENSMUST00000216671.1, exon 1 of 1)",1,0.023126734505087884
"Exon (ENSMUST00000220503.1/ENSMUST00000220503.1, exon 1 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000220518.1/11906, exon 8 of 16)",1,0.023126734505087884
"Exon (ENSMUST00000220827.1/ENSMUST00000220827.1, exon 1 of 4)",1,0.023126734505087884
"Exon (ENSMUST00000220976.1/ENSMUST00000220976.1, exon 1 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000221427.1/ENSMUST00000221427.1, exon 1 of 3)",1,0.023126734505087884
"Exon (ENSMUST00000223226.1/ENSMUST00000223226.1, exon 1 of 1)",1,0.023126734505087884
