"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0198738","GO:0198738","cell-cell signaling by wnt","231/6846","462/28891",3.96854972790963e-35,1.80143507826303e-31,7.7256696759153e-32,"14371/18128/13393/14180/21844/100503386/53627/22410/68775/22414/13728/17292/17242/84092/66743/15364/19273/20379/20479/26401/107934/69601/14365/13194/14783/74256/13489/23892/14160/24113/56811/59004/72043/72125/18763/66277/103978/244667/56332/22417/16480/80707/23805/16348/20319/20586/22411/20680/68010/22418/56484/328949/73739/18605/22083/22409/68889/13726/67772/74775/106042/14184/21414/12614/21803/84035/75826/114604/70495/12234/629378/195208/20677/12447/110648/20869/227210/11865/26992/54624/22210/26385/67943/18741/58799/16543/20729/29811/12022/208846/214897/20682/70790/72135/13543/22423/56637/14296/27041/74025/269523/20439/14183/73181/71890/73389/73016/14836/11538/11816/17869/217011/13649/14173/13144/50523/232341/219158/13653/68031/22421/20473/23988/67974/268980/17847/67916/58198/20042/16842/27412/380702/18121/14735/54198/17127/26563/70425/54612/103236/12005/14362/67488/50873/230824/140577/22419/67122/330938/407821/74499/19043/329795/56274/21929/67020/20674/53614/24136/59036/14369/320587/22601/665113/19664/360216/16600/56515/213326/13198/15229/73668/12443/50781/12876/432940/21888/21983/108079/71461/104318/104831/23802/12558/19277/11789/21885/53883/21887/107351/13001/20671/56805/16646/76246/70300/21951/242939/12995/18091/16469/381259/67457/72345/211383/70122/14370/20665/30838/15248/330096/16971/93960/114606/78560/216795/83675/54644/14462/77938/67087/22422/26564/13205/235542/21833/380718/107515/14634/18099/232334",231
"GO:0016055","GO:0016055","Wnt signaling pathway","230/6846","460/28891",5.56857829447613e-35,1.80143507826303e-31,7.7256696759153e-32,"14371/18128/13393/14180/21844/100503386/53627/22410/68775/22414/13728/17292/17242/84092/66743/15364/19273/20379/20479/26401/107934/69601/14365/13194/14783/74256/13489/23892/14160/24113/56811/59004/72043/72125/18763/66277/103978/244667/56332/22417/16480/80707/23805/16348/20319/20586/22411/20680/68010/22418/56484/328949/73739/18605/22083/22409/68889/13726/67772/74775/106042/14184/21414/12614/21803/84035/75826/114604/70495/12234/629378/195208/20677/12447/110648/20869/227210/11865/26992/54624/22210/26385/67943/18741/58799/16543/20729/29811/12022/208846/214897/20682/70790/72135/13543/22423/56637/14296/27041/74025/269523/20439/14183/73181/71890/73389/73016/14836/11538/11816/17869/217011/13649/14173/13144/50523/232341/219158/13653/68031/22421/20473/23988/67974/268980/17847/67916/58198/20042/16842/27412/380702/18121/14735/54198/17127/26563/70425/54612/103236/12005/14362/67488/50873/230824/140577/22419/67122/330938/407821/74499/19043/329795/56274/21929/67020/20674/53614/24136/59036/14369/320587/22601/665113/19664/360216/16600/56515/213326/13198/15229/73668/12443/50781/12876/432940/21888/21983/108079/71461/104318/23802/12558/19277/11789/21885/53883/21887/107351/13001/20671/56805/16646/76246/70300/21951/242939/12995/18091/16469/381259/67457/72345/211383/70122/14370/20665/30838/15248/330096/16971/93960/114606/78560/216795/83675/54644/14462/77938/67087/22422/26564/13205/235542/21833/380718/107515/14634/18099/232334",230
"GO:0050767","GO:0050767","regulation of neurogenesis","241/6846","494/28891",1.99687744087094e-34,4.306599014145e-31,1.84693646811783e-31,"12064/18128/235402/330790/21844/69743/18039/17190/13392/20357/18846/17242/13047/15364/98733/58234/13841/70237/19699/14843/214968/14365/234219/13489/12032/12361/56710/56717/12323/16835/14375/13385/50913/244667/56381/27374/229715/13631/14025/57434/20352/12017/20732/18049/59041/18205/14461/16975/22418/19317/83431/320790/140570/66713/14184/23999/21803/11516/269878/20312/18212/12561/19055/22339/13844/18742/20660/67838/20869/18844/76089/211323/11865/15904/16885/24001/18536/76454/23873/78748/67287/22129/65254/19697/15902/17760/108138/21838/11423/83701/217166/16800/56637/545156/15213/22341/18508/19744/12168/20194/73181/13555/71955/11538/53605/11816/76965/17869/13649/14173/12568/18016/16542/13003/11921/108100/18606/14580/74006/22421/75788/20681/74053/56320/67095/16842/19712/18121/18222/13654/65086/66993/18080/13388/74117/213084/16878/18213/22352/22241/18997/103743/330938/20320/14297/20563/20350/13389/387216/20674/24136/14056/20359/11858/19280/20562/18125/12767/22601/665113/15207/12724/319757/15208/244058/171207/17257/235611/63953/17344/19266/21907/104156/74132/26456/20315/17380/19047/30948/73940/71653/19016/17096/319583/55927/20927/382253/269951/14254/15251/13169/20893/319740/97165/18420/76893/20720/67784/238276/242620/14912/18472/20353/22068/69807/17863/20665/13838/227292/19268/17118/18186/217715/66515/13690/68585/12579/16971/114606/56711/20358/79362/20585/229285/71918/17756/230598/22326/18015/245886/70083/20360/20354/26395/22422/54713/17755/18627/28000/14634/15205",241
"GO:0030900","GO:0030900","forebrain development","214/6846","425/28891",3.41671397866451e-33,5.52653486048985e-30,2.37012053888412e-30,"140486/668303/18128/21350/99512/22414/13392/21420/18846/17242/238057/381293/18124/15364/58208/70223/15572/58234/11922/13845/19699/72338/77579/14843/69601/75717/16873/73710/22594/269295/56335/13489/12032/24113/16568/50768/13488/22589/723968/50913/244667/77040/22417/18507/20586/14461/16975/223701/22418/18012/20689/216850/16871/110350/83431/71877/207615/244585/320790/12570/14184/18014/18212/13844/12912/94190/723967/14179/110648/16777/18844/76089/22187/211323/20664/15904/18536/19378/12929/22174/18741/71137/13865/15565/30957/15902/11804/19823/56637/102774/23879/18508/18424/14183/76574/13555/209012/68146/14836/18541/20460/16795/13649/59030/14173/12568/18016/11921/76510/22421/20473/74762/11682/11819/20466/15387/58198/18032/18131/100182/16842/18121/18222/21335/18080/19434/17967/14810/13167/330938/30928/20563/18992/65100/11783/328365/433693/19165/241062/20674/24136/20359/232906/19280/20562/12767/21375/19664/319757/16565/15208/231380/18993/213326/14360/21907/73668/20315/14182/22778/56847/13796/18293/57752/93760/13797/17701/14790/100609/319565/218772/18227/16485/329628/15251/67263/12558/18420/11977/18423/64930/77053/242620/230025/668158/18472/22771/246179/67378/15531/21974/16874/18186/12028/15452/68585/14013/320165/11932/235439/233552/18015/20462/67269/20602/14633/22422/22773/54713/13869/20675/269610/14634/15205",214
"GO:0006338","GO:0006338","chromatin remodeling","236/6846","489/28891",8.00015102727543e-33,1.03521954292944e-29,4.43966275955748e-30,"17984/21969/216848/83766/109095/18148/69726/116871/21420/101612/218850/29861/12649/76719/116848/15364/170936/13194/17192/75605/20588/56335/104248/16596/22632/18706/22589/84505/16905/11909/30951/19820/231386/58243/319151/101631/320713/66336/71041/66578/193796/20586/20587/14055/17765/70673/207165/216850/213742/105203/80748/22083/170823/320790/74026/71389/67772/107435/11546/78783/66929/22289/208727/238247/66310/14957/52808/244059/13163/15191/140858/13990/63830/107771/243842/21849/12055/66511/57261/15081/76804/78878/170644/26992/97122/239122/83797/217127/108989/70020/53890/20682/14683/29877/68058/20591/234366/70790/56637/27221/56086/23942/223499/18508/17283/320595/233532/12615/73884/106143/15353/239364/53605/101739/17869/225876/18626/68094/20937/226830/231151/15078/75410/70802/71514/16535/16468/20466/104271/16969/23837/18140/19712/66993/226976/18432/11785/20918/12005/14958/319162/57741/93761/81898/15289/81601/21652/53892/225280/15375/101867/66403/18676/72612/71954/75565/15185/110749/224440/15193/14056/70127/17769/101685/56632/54169/229542/22385/70252/21375/224826/17257/17216/100503872/69612/51812/194388/233875/19708/319154/54343/77853/93760/67628/107817/22378/18673/67155/69837/244349/21761/16598/21665/64050/239985/16906/14312/69587/321000/217827/93762/102991/12648/68729/22658/20613/12189/13435/12053/17955/260423/56200/13548/225888/67733/232187/12577/12417/208266/14013/53893/55982/22110/15161/14462/13626/75329/75339/12611/13831/73473/269610/229700/18627/50708/70238",236
"GO:0034248","GO:0034248","regulation of amide metabolic process","232/6846","482/28891",4.57035066160025e-32,4.9283614634256e-29,2.11358672701373e-29,"227715/319801/140486/100342/234384/18148/230784/207952/382035/18854/140488/231279/17690/63913/319278/214580/15572/104382/22393/13211/80890/217980/13666/69674/269037/229096/56335/74108/98956/228019/56717/208922/194952/52874/229317/57749/67493/22608/78893/232164/56334/16201/224742/66118/13631/13688/73830/243574/224045/19317/20698/22171/15983/140570/276770/228866/18212/69125/56541/12317/66971/16210/319817/12193/233033/211006/20660/108954/20677/230861/16475/217869/11307/213236/20181/17347/317755/13685/666794/19205/66912/108989/636931/19697/18604/12367/104001/69956/12567/232791/13629/22057/23879/55944/225363/78428/227331/68036/17350/107508/11816/20823/67557/27998/18626/68966/239528/223453/228026/72508/13144/83485/78697/236900/27103/19045/23988/72201/100715/22121/217351/230738/66362/19653/19401/20918/218506/15568/67579/22352/68581/27979/13078/66892/16549/56716/234594/70354/13803/57746/100037258/21357/233833/234734/72181/56632/56040/19735/53357/11991/13665/65967/12696/50911/18024/239606/214424/16011/192170/226982/14433/65964/17975/26413/30948/225929/55992/13418/16418/17855/52846/70769/30959/70640/24015/20167/20168/58994/11789/319765/17149/66399/212167/208691/64930/11652/52856/15469/332397/67267/12877/241846/13636/18753/14694/22695/20683/17973/14786/27058/72068/210106/105782/27273/217331/13838/13684/12785/13690/213988/19878/75422/68585/78796/73826/16589/108037/15473/214150/56422/212114/18813/19704/13205/106338/236511/18627/11305/100503670/75593/110954/16007",232
"GO:0042063","GO:0042063","gliogenesis","201/6846","397/28891",1.14612714341275e-31,1.01069607602846e-28,4.3344909402278e-29,"18810/17984/18128/235402/330790/13871/21844/69743/99512/17190/269604/13392/110355/23928/101772/17242/230822/50914/15364/58234/18504/19699/14843/69601/56335/12032/56717/16835/330166/232232/13488/16847/108067/50913/18027/66277/244667/27374/14784/17153/12017/20732/14357/17936/18205/110893/18023/29873/20586/224109/224045/16975/19317/18605/234094/12570/14184/21803/13667/54126/11516/20312/17988/18212/18742/12912/20677/17250/16777/211323/20664/209354/66922/15904/12929/22066/19697/15902/20682/20678/217166/22341/18508/18424/51886/19744/226646/13555/209012/17869/16795/13649/18438/72948/14173/12568/18016/13003/11921/18606/14580/20681/67916/18032/20679/13363/12799/16842/18121/13654/26563/20848/16513/13388/74117/226115/16878/18213/22352/14810/13167/103743/18992/13389/328365/387216/24136/14056/12767/12724/319757/15208/17257/18441/63953/21907/73668/104156/21808/252864/13796/26413/19047/30948/73940/19016/17096/56386/11496/19153/20927/18591/100609/319565/269951/14254/215798/12558/20655/76893/11652/20720/77053/236539/14912/18472/93742/19058/105782/121021/17863/20665/13838/217715/110157/15461/68585/12579/20662/243853/16971/11932/56711/18693/15212/71918/74761/13626/22326/67453/18015/70083/26395/26564/12527/11305/28000/17937/14634/11839/15205",201
"GO:0022411","GO:0022411","cellular component disassembly","224/6846","462/28891",1.39282203621468e-31,1.01069607602846e-28,4.3344909402278e-29,"319801/68572/22367/18195/286942/13482/59026/99512/20787/26926/101612/17318/20408/227753/319278/235130/57028/20479/54194/80877/11740/20588/12578/232227/19230/17758/194952/18706/12034/15550/14853/72349/13191/244962/68184/109242/56431/213948/13631/230895/50754/78610/12313/78246/23805/76709/20586/67443/20587/320827/83431/280411/105513/106042/21973/23999/15512/17997/276770/100504663/26903/20405/107771/16593/102058/67379/212307/211323/107338/108853/15277/83797/74747/13010/29877/67846/23829/74781/16800/56637/14296/71648/269523/225363/380969/110380/78428/56273/14489/17869/18708/68094/12568/70218/67871/320878/76055/68942/74006/232341/21812/75788/13804/23830/217207/66853/75608/228421/56486/27412/225326/66734/108124/11938/66993/70381/67064/16337/16801/50873/319162/22241/100502841/100502698/81601/52639/51800/68953/11783/74187/15185/69408/106064/14248/74392/13829/22003/72119/12683/17754/73420/63873/14464/68350/50850/21808/74374/77987/14251/16001/22333/320806/76366/93760/67841/108079/270058/20927/68732/27360/54636/14063/78926/70997/78798/194401/15251/24015/56085/208158/11789/21968/65973/208691/66840/210933/12177/65970/11555/83434/238276/235040/269254/18472/208092/106025/13838/12028/17957/116733/18003/67006/56215/68041/72685/77006/17756/53619/209815/225115/14086/67453/12421/12631/65019/56422/21767/12795/66169/67588/19704/77573/15481/12611/16009/12305/227634/20615/17755/18627/94178/80986/56208/234695",224
"GO:0060562","GO:0060562","epithelial tube morphogenesis","200/6846","395/28891",1.60593427944693e-31,1.01069607602846e-28,4.3344909402278e-29,"21380/18128/57246/20474/13383/216021/21923/67937/22414/20472/21420/27428/17292/18854/17242/238057/69903/15364/252973/58234/13841/18504/94275/12215/22034/108156/14365/12808/75605/23892/22337/14160/16568/50768/12042/18763/71228/12034/13800/13836/19227/56334/225164/12826/22417/20732/12370/20319/19411/99377/15184/22418/68270/170823/140570/65256/106042/78783/269593/22289/12614/21803/269878/13036/18612/12234/22339/15376/14179/21846/20115/19378/18741/18747/636931/12367/19335/20682/54710/234366/17387/19206/13543/15213/102774/73916/74025/24069/20971/14183/18595/73181/11852/68146/14573/64138/20460/17869/433809/19713/225876/14173/16542/21676/19045/233651/16373/20681/18141/58198/16842/18121/16772/17127/19401/54612/13388/14362/230824/19303/67122/69847/15375/20563/18749/329795/65100/11783/26409/56274/17684/20674/15478/24136/74392/17769/232906/12767/22601/19664/319757/15208/244058/105278/14260/15229/104156/21808/20315/12043/99683/93760/71461/211401/18018/329628/14254/15251/14312/22772/64930/13001/20671/18095/70300/22158/67784/18091/20353/19058/105782/74533/18119/107586/13838/18186/13642/19878/21385/16776/17702/14462/21815/12631/23908/14633/67087/22773/12305/18667/14048/229700/380718/14463/107515/243362/24063/14634/11839/15205",200
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","220/6846","451/28891",1.60797068473645e-31,1.01069607602846e-28,4.3344909402278e-29,"216080/628100/18521/107035/22410/72330/382035/213990/18854/232539/381293/66498/22393/14673/80890/72194/75717/13194/13666/57320/20588/109689/74165/11993/233877/80750/224111/14828/24086/30843/14198/229644/432879/72179/50754/67903/23805/66244/224109/216440/17463/104771/140630/52033/15204/20834/214931/217379/223870/170823/110616/65256/106042/228775/211255/78913/12317/66967/12234/107995/68292/233902/240263/73296/69259/76788/12328/11865/14238/75234/22210/57296/76454/22215/68612/58799/230815/192193/56407/74126/67245/636931/68053/68970/67819/12753/76577/103573/19181/56637/116891/56371/271005/223499/269523/20439/72844/70294/230904/216869/107568/52551/68431/14629/19173/227619/19053/219158/74646/75788/224938/68477/14794/66349/12449/20747/56486/242960/56468/63958/56424/21762/80751/237353/12005/387524/50873/83814/414872/26442/19182/81601/22230/231600/67128/19359/14084/329795/71991/50762/433693/19165/53312/225896/100041286/26420/52206/22214/70348/211770/59025/14155/224727/224826/268721/21927/213311/17754/18024/13198/216150/75744/100494/327799/230903/74374/50758/77987/54197/55992/19822/74841/108660/68795/319701/67025/104318/23802/217410/71538/56085/70382/11789/70611/59029/14154/15511/26931/109815/52563/14694/74125/30839/140499/193670/106025/30838/76843/22213/12330/19185/24105/76375/94090/23806/211949/67089/77006/106052/54644/18786/212114/12795/16396/59008/238896/26374/28199/17846/227693",220
