"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006338","GO:0006338","chromatin remodeling","108/2508","489/28891",7.34687424121248e-20,4.50069516016676e-16,3.0346457392124e-16,"67933/14479/65020/16870/52615/50518/109275/228536/214572/15183/17263/22059/77044/18150/50912/68703/74112/243842/50709/107932/51869/17692/30841/50721/13435/72480/18519/52463/192119/104103/235441/54446/29871/212712/78878/80838/14775/21402/102920/210982/56353/81703/15182/14683/19646/67768/14815/239985/110052/208146/79221/68845/225131/20924/235626/56702/93759/12593/228829/235682/66233/320790/235134/16907/233904/19720/76073/74351/114741/20817/381686/67382/71175/12648/19645/231506/237339/73139/29861/18479/74355/227195/15201/75605/50927/17191/19821/319955/209200/14897/56249/212391/15077/22130/381022/67210/71148/13436/252870/268996/11461/71952/67246/223828/20230/12566/238247/241764",108
"GO:0050767","GO:0050767","regulation of neurogenesis","102/2508","494/28891",1.07643083560793e-16,3.2971076494671e-13,2.22311294680291e-13,"11426/20539/20357/16195/16971/18208/84653/20869/24088/29869/12306/17158/16870/109880/18223/22422/12227/216049/216858/12064/26419/22059/235402/20666/67299/17173/11421/18845/12166/16412/244058/12385/192119/65079/18129/15114/108151/19130/13508/213541/320027/29819/12387/65086/15182/13004/20360/242620/22629/74143/15901/73191/54485/13131/17762/14083/52822/239667/19164/72162/232560/56198/13048/18755/13640/320790/21752/13047/14725/20616/20348/104015/19645/20349/20238/14843/14359/18479/228357/243743/14025/12316/12677/20187/225908/17295/100313531/19268/22415/18011/12579/22062/18996/19317/18096/14254/235472/21909/18088/66991/11921/13631",102
"GO:0016358","GO:0016358","dendrite development","76/2508","327/28891",1.2295268425436e-15,2.51069381247402e-12,1.69286432636529e-12,"18208/20869/12540/18223/223254/69601/216049/67749/13542/12064/329165/26419/68703/18174/16412/52463/17258/22359/17260/66225/13508/243725/241638/13196/320027/20370/94245/11820/29819/329934/108672/15182/22629/74143/14815/15901/50772/18163/239985/11845/68166/13131/11441/19164/72162/232560/13048/11487/17165/232227/239420/67102/12914/13047/57138/224105/12928/106042/18479/228357/14025/100040531/17181/12286/17295/19268/63872/270058/18011/14810/21909/140486/208922/66991/216831/13631",76
"GO:0007389","GO:0007389","pattern specification process","99/2508","498/28891",3.99833855355902e-15,6.12345549477564e-12,4.12881065372779e-12,"84653/240888/16870/320202/18741/22422/12227/17300/13542/18515/497652/26419/19726/22059/20465/21815/18552/14573/544696/18845/12166/67122/72938/30841/232174/72507/66743/17701/18129/29871/17260/212712/12151/20377/14472/59024/12387/14561/17126/16371/76779/12020/245866/242620/73191/237222/12705/15110/54485/78405/19164/18012/110796/56198/18183/21393/22420/16974/16973/11694/20472/226352/15436/13865/14725/14234/214575/20348/23863/106042/14843/228357/20471/19821/21385/380614/14232/15227/12022/18764/22415/74019/75691/21418/22772/15245/15242/14463/320145/382089/18088/15438/15229/240590/15285/22255/15432/21869/209448",99
"GO:0035107","GO:0035107","appendage morphogenesis","51/2508","178/28891",9.5096804712332e-15,8.34043691790543e-12,5.62363600629945e-12,"242291/18741/230857/13395/18515/497652/19014/18552/18027/544696/18845/12166/107587/232174/17701/192119/230103/18129/14682/12387/15182/245866/14683/20689/16764/99377/19164/320790/12288/16974/16973/239405/11694/71175/20348/106042/228357/252973/245944/21385/380614/22160/22415/74019/21418/320145/68099/15438/18740/15432/209448",51
"GO:0035108","GO:0035108","limb morphogenesis","51/2508","178/28891",9.5096804712332e-15,8.34043691790543e-12,5.62363600629945e-12,"242291/18741/230857/13395/18515/497652/19014/18552/18027/544696/18845/12166/107587/232174/17701/192119/230103/18129/14682/12387/15182/245866/14683/20689/16764/99377/19164/320790/12288/16974/16973/239405/11694/71175/20348/106042/228357/252973/245944/21385/380614/22160/22415/74019/21418/320145/68099/15438/18740/15432/209448",51
"GO:0060562","GO:0060562","epithelial tube morphogenesis","84/2508","395/28891",9.5303719270875e-15,8.34043691790543e-12,5.62363600629945e-12,"18654/20733/18208/69718/22412/11622/12234/16911/17979/16870/18741/13542/94109/21815/19014/14573/20191/18595/57265/67122/30841/244058/50721/12977/192119/18129/17260/108655/20377/14472/13800/59024/12387/11684/16371/76779/270685/245866/69903/74143/14815/15110/54485/15478/235626/99377/19164/21393/18643/381157/22420/16974/16973/239405/20472/14725/14234/13544/240641/20349/106042/18479/252973/75605/20471/21385/15227/22160/17295/56044/18764/21418/22772/21853/15245/15242/14463/21677/29876/18707/14254/50768/68588/15229",84
"GO:0003002","GO:0003002","regionalization","90/2508","455/28891",9.64521528741359e-14,7.38582360633695e-11,4.97997694576459e-11,"84653/240888/16870/320202/18741/22422/12227/17300/13542/18515/497652/26419/19726/22059/21815/18552/14573/544696/18845/12166/67122/72938/30841/232174/72507/66743/17701/18129/29871/17260/12151/20377/14472/59024/12387/14561/17126/16371/76779/12020/245866/242620/73191/237222/15110/54485/78405/19164/18012/110796/56198/21393/16974/16973/20472/226352/15436/13865/14725/14234/214575/20348/23863/106042/14843/228357/20471/19821/21385/380614/14232/15227/12022/18764/22415/74019/75691/22772/15245/15242/14463/320145/382089/18088/15438/15229/240590/15285/21869/209448",90
"GO:0030326","GO:0030326","embryonic limb morphogenesis","43/2508","144/28891",2.41357564213924e-13,1.35149690822549e-10,9.11262413505306e-11,"242291/18741/230857/13395/18515/497652/19014/544696/12166/107587/232174/17701/192119/18129/14682/12387/15182/245866/14683/16764/99377/19164/320790/12288/16974/16973/239405/11694/71175/106042/228357/252973/21385/380614/22160/22415/74019/21418/320145/15438/18740/15432/209448",43
"GO:0035113","GO:0035113","embryonic appendage morphogenesis","43/2508","144/28891",2.41357564213924e-13,1.35149690822549e-10,9.11262413505306e-11,"242291/18741/230857/13395/18515/497652/19014/544696/12166/107587/232174/17701/192119/18129/14682/12387/15182/245866/14683/16764/99377/19164/320790/12288/16974/16973/239405/11694/71175/106042/228357/252973/21385/380614/22160/22415/74019/21418/320145/15438/18740/15432/209448",43
