"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006338","GO:0006338","chromatin remodeling","393/11019","489/28891",9.56088282944402e-83,6.19832033832856e-79,1.69982432620326e-79,"67246/22083/216848/17954/83766/212712/73884/102991/229542/70673/16905/30841/29861/21652/16870/63830/21375/18508/14683/17192/18479/30951/56086/269610/75410/66993/114642/101612/238247/68675/12648/383491/15375/13163/29871/84505/14056/239364/328440/13990/17984/170936/18148/268281/18673/17769/14312/14462/78783/27221/51810/18509/21423/217127/15078/68094/13548/224440/66929/54343/170644/12417/243842/234366/15191/66511/21420/223499/321000/19820/218850/20591/193796/18626/106143/214899/22632/13435/101631/21969/76804/18193/71954/19646/52808/70020/20586/108989/69837/15289/99982/16969/622675/66336/20918/11909/17216/19720/93762/17263/16468/101685/15185/231151/56637/56456/192119/320595/52615/140858/51812/15193/229700/75339/208727/104248/208266/18676/68729/18627/12577/14897/21761/15353/208146/107817/97122/78878/105203/101739/15161/68142/71514/116871/17869/80748/14815/109275/11546/66403/12189/50721/105246/216850/54169/14013/107435/12649/225888/15441/76073/12053/239985/22289/53893/233904/22385/93760/245688/22378/17765/233532/319151/13194/20588/76719/12611/13433/70802/231386/18706/64050/16598/50709/53890/50927/71389/53605/23837/225280/67772/329559/12055/69260/235626/50708/75565/68251/79221/214384/244059/54446/21849/20937/56632/331623/319162/21665/328572/20466/20926/234069/14775/109095/77044/15081/72057/17257/66310/21402/218214/225131/17955/80838/13626/319149/53892/81601/110749/18432/74112/55982/102920/320790/50518/20613/260423/20682/13619/15183/56505/29877/213742/18140/69726/319148/232187/116848/68845/23942/381686/108671/66578/194388/93696/20587/16596/12054/22589/20924/69612/226976/114741/17692/224826/77853/217827/73473/22658/11785/225876/56249/64707/69587/218973/16906/23808/244694/57741/67768/66233/81898/72612/404634/319955/12615/22059/13831/14957/22110/109331/214162/17913/67628/12005/17283/228536/67933/15364/319154/83797/170823/104103/606496/15182/231506/19821/107771/235441/74026/20230/241764/66423/83796/320713/226830/18150/67155/433759/15077/51869/77683/228829/26914/381022/233875/67733/11461/75605/244349/14958/67210/30941/70790/26992/227195/68703/71148/67382/235682/19708/239122/212391/71175/22715/107932/70127/93759/15260/72480/50912/207165/80859/209200/56200/22130/75329/56353/237339/18600/14479/20833/56335/214572/57376/74355/110052/101867/74351/65020/210982/17191/319150/16907/268996/73139/70252/14055/52463/13436/71041/68058/81703/330409/217578/74016/104271/223828/15201/19712/235134/12566/57261/56702/12593/20817/19645/77045/18519/58243/70238/71952/252870",393
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","367/11019","454/28891",1.20451682817815e-78,3.90444129853948e-75,1.07075206462784e-75,"228714/636931/83766/76454/12443/723951/29861/12445/56696/18557/66993/18032/66991/11651/18018/14165/67991/14056/328440/21335/19054/381921/12447/77035/233805/56371/83560/22209/19052/108000/17193/75826/76464/67052/21423/68094/231803/18014/71276/12580/12453/67857/52004/15904/20586/12034/68964/12567/108989/75430/208643/27375/108911/12579/66197/102423/74370/107976/66214/12450/56456/320595/208583/104418/13860/216965/67629/234736/72584/229543/59046/13684/28036/53869/12452/69754/22687/56150/12315/319651/11504/67121/12577/11920/21752/68953/18027/12323/227292/68077/227331/68142/79263/66977/12530/68193/116871/17869/107047/77011/15937/216021/13557/114714/235661/116748/52696/76843/68034/12189/13205/270201/11479/24100/67849/15512/107995/329152/219103/68612/12649/67141/22680/16600/12366/19192/18392/239985/69917/93760/109019/218294/12237/18763/246735/13194/68431/270669/72508/20588/12449/12576/19211/59008/77891/218630/18514/71375/67941/12905/381293/18008/50927/208768/12192/22410/76499/12581/26427/19055/269582/12568/70799/12055/12314/28010/21987/17246/231600/26931/12428/68251/100088/53317/218793/17535/12444/18761/16319/327799/67655/19357/67974/66209/12144/59126/17120/11789/69581/20466/81702/52563/234069/50875/77044/13383/54124/72057/330177/15574/52468/17257/225131/68067/53892/11792/11820/12914/13555/228361/23834/105513/20620/214444/72772/13685/56453/52679/83383/50523/15902/16412/72993/18795/105837/56190/229776/19891/18555/108058/20587/76707/12054/20460/52206/72290/225182/70681/66671/22137/12575/12013/12193/14841/56469/12313/238271/382985/22591/75608/27354/16906/20104/72611/229841/26380/330216/13871/269424/209334/19650/20135/66442/74268/22059/12021/12427/319195/67628/12795/68592/17222/12572/13872/17283/83797/12043/11799/66371/72400/19186/107771/83796/21803/75770/78832/67155/235559/30963/14199/216190/15468/19360/70385/56317/224023/67153/20133/18715/18028/12571/11461/18767/116733/235041/12236/13559/30949/26992/20479/19708/319944/50850/12545/74996/19684/27401/26951/194655/70127/18647/18854/13649/214498/16798/106795/17863/240665/12578/226026/237877/18817/54394/69957/67045/268697/24075/216166/237459/57376/11491/69274/70891/12448/12534/50496/59036/27214/12566/19651/57261/18973/381979/18764/448987/244281/19645/20877/12298/77045/380694/12122/104394/14235/12235/54601/12442",367
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","359/11019","451/28891",1.66835281278383e-73,3.60531042842585e-70,9.88718561681364e-71,"636931/76454/14238/80890/231672/72330/72179/193740/231863/94232/80750/109689/64295/30843/108687/11651/12745/217365/233040/70377/52551/244373/75744/107035/108086/100494/26374/56371/22209/19359/18521/70294/20438/211949/67163/11797/212114/217069/70348/223499/93687/22284/100041286/12398/20834/66498/68795/14629/54609/57296/224727/13198/70247/224938/22210/66244/28199/74841/240263/50873/224109/11865/14828/26419/20747/72053/20439/11993/26442/223870/67819/14155/14673/75234/56637/24105/140630/213311/104771/12317/68818/76375/216150/67245/227619/103573/268882/30839/74251/69754/229644/216869/233902/170930/54197/14897/12328/12234/50762/71472/68077/74244/79263/71492/57320/77006/211770/67490/53312/54644/68970/59029/19822/76843/68034/78913/50721/27419/22215/107995/27373/23806/230815/68612/18024/56812/116891/234684/66089/66597/19173/213990/17754/15204/19165/66967/68292/74646/269523/22393/13194/71745/329795/58799/68431/72293/107568/50789/68477/18858/59003/20588/12449/140499/69259/110616/214931/76788/59008/103583/77891/66349/227693/101358/67118/381293/68135/22410/56424/17846/106025/65256/56468/216440/74165/70611/17246/231600/26931/77987/69554/76302/18786/224111/22214/327799/50758/26420/94090/71538/24086/219158/236904/68053/228769/11789/21372/74126/230904/52563/230903/21927/76577/67903/56486/13853/53323/21402/225131/93765/67128/22230/14794/67812/56438/14154/81601/218215/217410/228361/237353/242960/20620/30838/12387/12330/71991/228775/13666/70382/268721/19358/63958/108159/50754/19185/16396/52206/56085/319701/64209/224826/23996/22213/105193/75788/12488/59025/56469/83814/80751/217379/67025/387524/238896/14084/74125/14198/59009/109815/70620/225896/211255/11836/192193/74374/97064/193670/207521/239510/30840/56291/12795/12005/17222/386649/72844/57765/106042/14694/170823/22644/72194/606496/67089/17463/108660/75717/68867/50849/170737/433693/56736/20437/56407/19179/75452/15511/12753/73296/224023/66861/21762/106052/19182/233877/207304/232539/104318/30945/27401/226757/66413/81004/93759/269514/71816/76608/18854/19164/66799/226144/23807/19053/56353/18817/22222/69957/13132/17156/239554/230249/55992/12006/67338/271005/66313/19181/50788/216080/213753/414872/268291/66753/57443/50760/432879/23802/223455/76857/448987/22218/26965/66894/70797/52033/71999/67586/252870",359
"GO:0050767","GO:0050767","regulation of neurogenesis","382/11019","494/28891",1.17075697456519e-71,1.89750436652653e-68,5.20370665800159e-69,"18205/20927/18125/19317/19266/76454/56710/20355/14025/56198/12064/140570/13047/723951/11421/211323/231672/17173/16870/23966/11516/320027/20315/76089/22326/18508/244058/18479/13048/65079/19280/12162/13392/21909/18121/14254/66993/12156/20666/19268/66991/18049/21844/20869/22341/19130/17380/11921/20359/21907/67095/12677/22422/18088/18997/19716/18420/65086/14580/14056/14461/20357/69743/14168/330938/23873/20312/54673/13385/17242/56381/27374/387216/20352/17190/20563/22352/16590/84653/70237/242620/15904/71955/56711/213541/11865/26419/99982/12579/16885/14365/13631/18536/12017/19744/56717/54713/18039/20238/56637/192119/269951/67287/83431/13838/59041/13841/108138/18222/24136/18627/21752/66354/15205/12323/74117/227292/97165/18472/76901/13640/17869/67490/18015/15207/18016/235611/18109/20354/27279/217166/65254/71653/16878/67838/57810/382253/230598/22241/319583/26396/104156/229285/18128/78748/19211/20539/320563/70083/29869/67784/28000/26395/19016/54485/13131/53605/53872/19055/63953/17196/329559/319740/12568/107503/14173/18742/50913/98733/330790/13690/170731/15214/108100/20482/76965/320191/12032/16542/74132/20320/68585/328572/18208/12484/18606/20674/12724/20353/17257/22129/12561/217715/243743/109880/16195/22339/18846/14184/13555/16975/15114/11426/320790/12387/14366/20893/235472/16971/17755/235402/11538/15902/58234/16412/24088/545156/14843/20481/24001/12306/216858/20562/79362/20358/233489/665113/17118/18212/13169/214968/67414/14375/17158/20807/13844/75788/20681/69807/20660/12361/11423/14297/319757/20616/15251/17172/19699/22629/14912/20393/216049/17760/18223/66713/13003/15213/72162/22059/74006/18845/171207/22421/12767/15901/20194/13643/11816/228550/14634/18755/210108/19283/15364/216344/15182/76893/18129/18213/50849/269878/71918/21803/18186/23999/213084/14083/14061/73181/16835/433759/74143/216190/20360/104015/13138/114606/12227/18844/13389/13004/19047/225908/54712/232560/108151/14265/20350/17344/17356/20720/12168/19262/30948/22418/11858/54214/18759/14359/19164/13649/20430/20585/20356/17863/12159/16800/66515/19876/56320/15208/19697/12166/12550/224617/238276/22062/228357/18096/17762/13654/55927/239667/100313531/245886/94091/57434/20349/13388/20361/67299/52822/13390/103743/17096/17756/20187/73940/20348/17295/22068/83701/19712/12316/21838/74053/13489/22601/19645/22415/12385/18011/229715/14725/330914/16842/18080/18996/29819/20429/73191/17919",382
"GO:0030900","GO:0030900","forebrain development","338/11019","425/28891",4.64819393777552e-69,6.02684825971974e-66,1.6527999075585e-66,"22255/17701/230025/21386/19218/13797/18183/18072/58208/14633/110648/16873/211323/76574/30841/11803/16870/18741/11682/13796/50768/20315/76089/21375/18508/15531/18012/77630/77582/18479/65079/20185/18740/16871/19280/13392/16536/269610/13395/18121/11924/20689/22778/11878/13869/20779/20473/18032/12156/57752/18991/19130/21418/21869/11921/20359/21907/22422/14836/14810/14165/18420/22187/14461/11922/21335/14168/330938/12912/59030/22151/17242/18014/13845/18227/668303/21420/23879/20563/22284/15387/76510/242620/15904/11977/20586/232906/99982/22594/12570/75409/13167/18536/67378/54713/56637/192119/231380/72338/213326/83431/19664/268882/64930/18222/24136/22417/269295/15205/110350/20664/223701/15452/18472/74244/114142/18124/18131/16565/18015/18016/99512/16795/18423/19305/216850/14013/19823/100609/77040/57810/19165/93760/73668/218772/16485/18128/19211/328365/67263/381293/13131/211612/59058/77053/12929/329559/12568/252838/235626/15572/18992/107503/225523/71877/238057/244585/14173/11783/50913/77579/14182/320191/12032/75420/13865/18541/68585/70223/16568/20466/58198/20674/209012/207615/243743/19091/20462/244329/18994/18846/11820/100182/14184/13555/16975/15114/72832/320790/12387/228662/668158/81907/21974/233552/14842/13488/140486/65100/15902/58234/241062/18795/14790/14843/20481/20562/16560/22589/23790/20460/18212/11819/20807/13844/19434/319757/244152/12028/94190/12558/11804/15251/17172/19699/18993/18223/18293/230676/21416/30957/21821/71137/68146/70762/170758/30928/22421/12767/218194/15194/14634/16974/74762/15364/14183/210529/17967/69601/14472/15182/75717/68169/73710/11932/102774/18507/12667/18186/433693/226407/246179/18187/433759/20602/239719/723967/65960/73242/22408/14042/18028/13839/67703/20511/12227/18844/22414/22174/14360/235380/12569/56217/17356/22771/56847/22418/18424/235439/67102/14359/19164/13649/20356/12159/72129/14682/19876/13175/320165/192157/319565/723968/329628/19353/15208/12166/15495/22062/12928/22627/327826/56335/20349/22773/20361/15565/67299/231580/13390/67269/20187/12316/13489/237847/16869/13046/14725/67749/16842/18080/18996/19378/15242/16777/73191/21350/16875",338
"GO:0016055","GO:0016055","Wnt signaling pathway","358/11019","460/28891",1.63810641106115e-68,1.76997397715158e-65,4.85396794435489e-66,"22083/217011/12614/14180/14241/110648/12443/50781/13393/216795/328949/18741/53883/20671/80707/195208/72780/11350/14368/14362/13395/18121/56805/21833/18033/20779/20473/68588/12156/22419/74499/241639/21844/20869/12022/232334/14734/103236/22411/22422/14836/21410/14165/15229/239405/330938/13728/12447/23892/18091/75826/14462/20438/16469/17242/66277/211383/67943/271457/12560/93687/432940/14370/107934/629378/73739/13198/74256/74025/20586/22210/23988/50873/11865/20439/14365/21888/319998/67916/56297/56811/13144/56637/15248/213326/19664/72043/13653/21887/227210/68889/329252/67087/70495/24136/16400/21752/26563/22417/14783/56484/19043/74775/12234/67488/20377/22412/21951/21885/17869/22409/14735/54644/73016/27041/18163/26385/21415/20583/13205/20042/26941/27373/21929/16600/208846/17127/13543/68911/18763/73389/73668/269523/13194/329795/58799/72293/320587/54624/18128/84092/19211/59004/103583/13542/21983/242939/353310/16480/22410/268980/70122/68010/80288/20677/67772/12995/666048/19042/11984/70425/13726/103978/18099/14173/72345/13001/16646/21886/14371/67974/219158/14773/240756/11789/100201/218581/107515/58198/54198/70300/20674/13853/56274/380718/26416/16348/72125/20680/29811/214897/11820/14184/58231/11426/30838/494504/12387/14366/16971/20682/232341/56505/68775/50523/11538/56515/24088/19273/360216/56332/18605/621976/16825/381259/72114/12054/380702/93840/665113/17847/235542/54612/14369/218952/230824/192199/26401/244152/20319/12558/235497/16543/67020/269424/21416/13544/233328/67457/56458/97064/170758/22421/59024/12005/11816/14634/71890/16974/20729/15364/14183/106042/69601/20378/606496/15182/140577/66787/21803/407821/73181/56736/98170/20437/77938/57265/77583/11352/433759/72357/21414/22408/68339/14042/114604/11798/107746/114606/226154/53614/22414/22420/12876/232560/107351/70790/26992/20479/24117/22418/104318/74996/68031/75607/71268/81004/67122/18647/18230/19164/13649/214498/20668/20356/16798/84035/68667/76246/14682/76365/26564/14160/19353/108079/12550/13132/77578/17240/69217/228357/229473/14367/20379/100503386/12006/20969/72135/93960/219134/66743/66042/17191/212398/75723/14296/56612/59036/20187/83675/320343/12316/71461/23802/22423/18764/19277/13489/22601/74493/319478/22415/105787/330096/78560/16842/15242/27412",358
"GO:0198738","GO:0198738","cell-cell signaling by wnt","359/11019","462/28891",2.21456958104988e-68,2.0510077991352e-65,5.62467371788459e-66,"22083/217011/12614/14180/14241/110648/12443/50781/13393/216795/328949/18741/53883/20671/80707/195208/72780/11350/14368/14362/13395/18121/56805/21833/18033/20779/20473/68588/12156/22419/74499/241639/21844/20869/12022/232334/14734/103236/22411/22422/14836/21410/14165/15229/239405/330938/13728/12447/23892/18091/75826/14462/20438/16469/17242/66277/211383/67943/271457/12560/93687/432940/14370/107934/629378/73739/13198/74256/74025/20586/22210/23988/50873/11865/20439/14365/21888/319998/67916/56297/56811/13144/56637/15248/213326/19664/72043/13653/21887/227210/68889/329252/67087/70495/24136/16400/21752/26563/22417/14783/56484/19043/74775/12234/67488/20377/22412/21951/21885/17869/22409/14735/54644/73016/27041/18163/26385/21415/20583/13205/20042/26941/27373/21929/16600/208846/17127/13543/68911/18763/73389/73668/269523/13194/329795/58799/72293/320587/54624/18128/84092/19211/59004/103583/13542/21983/242939/353310/16480/22410/268980/70122/68010/80288/20677/67772/104831/12995/666048/19042/11984/70425/13726/103978/18099/14173/72345/13001/16646/21886/14371/67974/219158/14773/240756/11789/100201/218581/107515/58198/54198/70300/20674/13853/56274/380718/26416/16348/72125/20680/29811/214897/11820/14184/58231/11426/30838/494504/12387/14366/16971/20682/232341/56505/68775/50523/11538/56515/24088/19273/360216/56332/18605/621976/16825/381259/72114/12054/380702/93840/665113/17847/235542/54612/14369/218952/230824/192199/26401/244152/20319/12558/235497/16543/67020/269424/21416/13544/233328/67457/56458/97064/170758/22421/59024/12005/11816/14634/71890/16974/20729/15364/14183/106042/69601/20378/606496/15182/140577/66787/21803/407821/73181/56736/98170/20437/77938/57265/77583/11352/433759/72357/21414/22408/68339/14042/114604/11798/107746/114606/226154/53614/22414/22420/12876/232560/107351/70790/26992/20479/24117/22418/104318/74996/68031/75607/71268/81004/67122/18647/18230/19164/13649/214498/20668/20356/16798/84035/68667/76246/14682/76365/26564/14160/19353/108079/12550/13132/77578/17240/69217/228357/229473/14367/20379/100503386/12006/20969/72135/93960/219134/66743/66042/17191/212398/75723/14296/56612/59036/20187/83675/320343/12316/71461/23802/22423/18764/19277/13489/22601/74493/319478/22415/105787/330096/78560/16842/15242/27412",359
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","343/11019","440/28891",5.34396075606354e-66,4.33061219769499e-63,1.18762496276202e-63,"103136/217011/69902/56417/108013/14645/67996/101612/100608/107094/55944/216156/76183/18114/245000/237221/57905/20103/18148/224092/319586/234384/72344/53975/213895/19942/68147/227656/50783/66942/68731/102462/27374/66596/22121/382137/225215/227522/226982/217869/208144/27966/223499/75786/54127/66448/74097/27207/67332/20115/21357/215194/68083/192159/213541/65961/110954/99480/17975/448850/12261/66475/70285/13211/83486/26905/27998/14109/215193/320632/20901/75593/14105/192119/67040/20055/20088/105372/15519/72584/276919/13669/140546/20085/103573/192196/98956/66405/67222/107071/118451/72554/56844/76130/15278/64930/231769/207704/20227/11837/75062/67204/11920/68966/117109/72193/74778/101739/68077/78394/68193/267019/20222/225348/30946/13205/20643/20042/217995/19655/74200/229937/20935/218629/234344/68011/100609/27981/23992/56321/66164/217038/68533/14000/66249/245474/27275/77591/69731/67459/353258/20091/19211/231386/59014/76846/67493/67973/67941/28000/231452/67223/53890/237107/208768/66978/224619/101592/27993/239528/67936/195434/208366/57808/214616/75751/66603/214150/68040/52705/110809/68184/18572/72181/52535/53817/104662/106338/67014/66878/18813/20937/66489/66362/227715/72284/67959/24015/20044/216987/229317/20630/67115/67134/59028/56195/52513/68879/52202/18432/74112/78688/433864/320790/236511/66446/57316/16785/75422/56505/74035/328110/78796/70078/28109/75273/68845/67148/78581/108707/72515/12812/330361/68052/19069/67920/268449/269254/70683/27756/68979/98985/107686/69126/193116/107732/14300/19384/66870/224823/83485/67025/210510/20104/227674/57741/81898/68988/216119/13871/56351/19896/109075/66254/69241/100019/28126/106298/66538/67619/73674/110816/17089/66877/110109/66161/100043813/67239/16418/68219/224481/194268/52530/102614/52521/66282/217431/69821/67949/18150/230737/78651/66583/66409/55989/19988/56095/69163/271842/20641/100503670/69499/67684/269061/97112/66580/432508/69237/20054/20068/226432/20638/67205/67276/216766/228889/235036/72462/214498/57837/207932/50912/12181/72544/20826/12578/56200/16865/20815/213773/28035/20116/22258/67045/20595/72831/214572/76850/70767/101867/67671/14007/234374/72171/56758/19428/14113/20817/18519/214627/50911/13046/71952",343
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","348/11019","449/28891",8.57432308515766e-66,6.17637072900857e-63,1.69380487612062e-63,"332110/83766/76454/17451/100683/12443/723951/29861/56289/56696/66993/20473/66991/19130/11651/14165/67991/14056/328440/19054/17685/381921/245000/18148/233805/56371/83560/19052/108000/17349/17193/75826/76464/67052/21423/28114/68094/231803/433938/18014/12580/231724/268465/52040/52004/20586/12034/68964/12567/108989/21380/75430/208643/27375/108911/12579/11909/14155/102423/74370/107976/211651/66214/12450/56456/12696/208583/104418/19361/216965/67629/234736/72584/229543/208266/28036/53869/69754/56150/50784/11504/67177/12577/11920/21752/227292/68077/227331/68142/225160/79263/66977/12530/68193/116871/107047/77011/15937/216021/67490/114714/235661/116748/52696/76843/68034/14451/12189/13205/19367/270201/24100/225372/67849/15512/107995/329152/219103/68612/12649/67141/22680/16600/12366/19192/66131/18392/239985/69917/93760/109019/218294/12237/18763/246735/13194/270669/20588/54624/226591/12576/19211/59008/18514/71375/67941/12905/28000/27103/381293/208768/12192/22410/12581/26427/269582/70799/12055/28010/17246/107503/231600/12952/26931/68251/53317/218793/17535/12444/53817/18761/16319/327799/19357/66209/12144/219158/59126/234854/21385/17120/11789/20466/81702/52563/19355/234069/50875/77044/13383/72057/20674/330177/15574/52468/17257/225131/68067/26416/235323/11792/11820/12914/13555/228361/23834/55982/214444/72772/56453/52679/18004/83383/15902/72993/18795/105837/56190/229776/20913/19891/108058/20587/12054/20460/52206/72290/225182/70681/66671/22137/12575/11785/12193/14841/238271/382985/27223/22591/27354/16906/20104/72611/229841/330216/319955/13871/269424/209334/19650/20135/66442/74268/22059/12021/107829/193838/319195/67278/67628/12795/68592/12572/13872/17283/83797/12043/11799/66371/72400/241627/71449/19186/83796/21803/67155/226419/235559/30963/14199/216190/15468/71878/19360/327762/70385/12753/56317/224023/67153/26914/20133/12571/106052/11461/18767/116733/235041/12236/11787/30949/26992/20479/19708/12545/74996/19684/26951/70127/18854/13649/214498/268930/19247/12578/209200/65964/237877/18817/54394/69957/67045/268697/216166/117229/69109/57376/11491/69274/12190/12534/59036/27214/234779/12566/19651/57261/381979/18764/244281/19645/20877/21853/12298/77045/12122/12235/54601",348
"GO:0031346","GO:0031346","positive regulation of cell projection organization","356/11019","463/28891",1.10958332309531e-65,7.19342868362688e-63,1.97272235021892e-63,"19317/19266/100294583/76454/620393/18211/14025/23965/12064/140570/13047/723951/211323/12808/319974/19649/76709/231672/11682/11516/20315/76089/234776/56226/53860/244058/216739/18479/13048/11350/12162/14362/15566/20779/50791/19268/66991/18049/21844/20869/67095/241514/18997/14810/100040531/234593/65086/14056/330938/13728/107035/72722/20312/54673/13385/17242/50769/19713/18010/19205/16590/15387/192176/70237/12631/11977/71955/104215/232906/192212/14828/99982/16885/230872/13631/69981/232944/56717/18039/56637/23854/13660/13860/17427/103742/15519/67287/208727/83431/13838/59041/56699/18222/11504/13837/24136/16400/12877/26563/12323/74117/234695/18472/11771/13640/320840/20222/18708/14086/18015/235611/69871/20354/208647/219103/18024/27279/71653/103967/16878/382253/230598/18442/11603/329795/330863/26396/19259/320563/13542/70083/235072/67784/68750/26395/53872/101314/319740/68050/252838/74187/15572/225523/73178/382056/98733/18761/13690/170731/108100/20482/14182/76965/20320/328572/15507/235442/11789/227541/52906/54198/18208/13430/70300/12484/18606/12561/217715/243743/52513/109880/19230/16403/16001/22339/18846/16975/15114/11426/242687/19735/14366/29875/68732/16971/17755/74055/353047/18053/11538/16412/545156/18103/21770/380713/98845/24001/104445/18003/17973/108686/11881/20266/233489/269254/665113/23969/23790/225849/17118/18212/13169/80913/67414/20807/13844/22359/75788/11785/12361/11423/14297/20616/21812/19699/381644/20393/71951/17760/18223/66713/70620/12633/13544/21821/12492/20698/106298/72162/27260/74006/18845/80987/77480/15194/11816/228550/72844/16974/19283/21809/216344/69601/68169/73710/11932/102774/18213/193385/269878/18186/23999/213084/223593/15461/18483/71900/11352/13857/68743/74143/66573/75974/22408/103199/107746/14063/12540/101513/214459/22240/16570/18844/14360/54712/232560/14265/12305/17344/17356/20720/12396/12168/22418/192167/18760/23789/11858/54214/93759/329165/18759/108672/18643/20430/20356/12801/12159/66515/19876/69710/243725/26564/101565/231225/53404/56320/19353/13803/242274/224617/238276/216166/17762/11491/245886/59002/20361/75769/18189/50884/52822/17096/56430/14226/17295/109905/223255/71461/11908/14348/228880/74053/260409/56044/18519/22415/16150/18011/17005/229715/330914/18080/29819/20429/17919",356
