annotation,count,percentage
3' UTR,149,1.1043581381559442
5' UTR,44,0.3261191817373258
Distal Intergenic,469,3.476134005336496
Downstream (<=300bp),1,0.007411799584939223
"Exon (ENSMUST00000000095.6/21385, exon 4 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000000095.6/21385, exon 6 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000000122.6/18053, exon 3 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000000127.5/22415, exon 3 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000000543.5/56149, exon 8 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000001181.12/12834, exon 3 of 28)",1,0.007411799584939223
"Exon (ENSMUST00000001513.7/67951, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000001722.13/73608, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000002320.15/19015, exon 5 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000002327.5/23853, exon 6 of 11)",1,0.007411799584939223
"Exon (ENSMUST00000002412.8/13004, exon 4 of 15)",1,0.007411799584939223
"Exon (ENSMUST00000002923.9/11544, exon 3 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000003154.6/13637, exon 2 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000003318.12/13544, exon 15 of 15)",1,0.007411799584939223
"Exon (ENSMUST00000003351.12/14813, exon 13 of 13)",1,0.007411799584939223
"Exon (ENSMUST00000003351.12/14813, exon 3 of 13)",1,0.007411799584939223
"Exon (ENSMUST00000003762.7/15116, exon 5 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000005233.11/27103, exon 12 of 39)",1,0.007411799584939223
"Exon (ENSMUST00000006071.13/18423, exon 5 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000006380.4/277743, exon 5 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000006718.14/22409, exon 3 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000006742.10/11979, exon 8 of 21)",1,0.007411799584939223
"Exon (ENSMUST00000007248.4/15482, exon 2 of 2)",2,0.014823599169878446
"Exon (ENSMUST00000007738.10/330790, exon 5 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000007865.6/234388, exon 3 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000010044.7/22416, exon 4 of 4)",1,0.007411799584939223
