annotation,count,percentage
3' UTR,6,4.6875
Distal Intergenic,12,9.375
"Exon (ENSMUST00000005233.11/27103, exon 12 of 39)",1,0.78125
"Exon (ENSMUST00000005749.5/22083, exon 25 of 25)",1,0.78125
"Exon (ENSMUST00000010044.7/22416, exon 4 of 4)",1,0.78125
"Exon (ENSMUST00000016897.11/319953, exon 11 of 12)",1,0.78125
"Exon (ENSMUST00000018407.9/21388, exon 6 of 9)",1,0.78125
"Exon (ENSMUST00000047720.8/242748, exon 2 of 21)",1,0.78125
"Exon (ENSMUST00000047936.12/14747, exon 3 of 3)",1,0.78125
"Exon (ENSMUST00000052888.8/ENSMUST00000052888.8, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000052969.14/108800, exon 5 of 7)",1,0.78125
"Exon (ENSMUST00000071937.6/211480, exon 2 of 3)",1,0.78125
"Exon (ENSMUST00000095606.4/449521, exon 6 of 6)",1,0.78125
"Exon (ENSMUST00000106248.7/434246, exon 7 of 7)",1,0.78125
"Exon (ENSMUST00000112674.7/22666, exon 3 of 3)",1,0.78125
"Exon (ENSMUST00000114308.9/14810, exon 4 of 20)",1,0.78125
"Exon (ENSMUST00000119146.7/207667, exon 4 of 9)",1,0.78125
"Exon (ENSMUST00000119272.1/ENSMUST00000119272.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000119371.1/ENSMUST00000119371.1, exon 1 of 2)",1,0.78125
"Exon (ENSMUST00000120260.1/ENSMUST00000120260.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000120566.1/ENSMUST00000120566.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000133472.1/ENSMUST00000133472.1, exon 1 of 2)",1,0.78125
"Exon (ENSMUST00000133983.7/224997, exon 8 of 14)",1,0.78125
"Exon (ENSMUST00000136893.2/ENSMUST00000136893.2, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000166750.8/74440, exon 10 of 21)",1,0.78125
"Exon (ENSMUST00000167734.7/18191, exon 8 of 8)",1,0.78125
"Exon (ENSMUST00000179197.1/ENSMUST00000179197.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000217830.1/ENSMUST00000217830.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000218030.1/ENSMUST00000218030.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000222777.1/ENSMUST00000222777.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000223520.1/ENSMUST00000223520.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000231862.1/ENSMUST00000231862.1, exon 1 of 1)",1,0.78125
"Exon (ENSMUST00000234782.1/74116, exon 5 of 6)",1,0.78125
"Exon (ENSMUST00000235151.1/ENSMUST00000235151.1, exon 1 of 1)",1,0.78125
"Intron (ENSMUST00000033419.12/75974, intron 35 of 52)",1,0.78125
"Intron (ENSMUST00000033695.5/11306, intron 1 of 15)",1,0.78125
"Intron (ENSMUST00000131029.1/ENSMUST00000131029.1, intron 1 of 2)",1,0.78125
"Intron (ENSMUST00000171433.7/17318, intron 9 of 9)",1,0.78125
"Intron (ENSMUST00000179131.1/ENSMUST00000179131.1, intron 1 of 1)",1,0.78125
"Intron (ENSMUST00000185026.2/ENSMUST00000185026.2, intron 1 of 1)",1,0.78125
"Intron (ENSMUST00000218376.1/104798, intron 1 of 6)",1,0.78125
Promoter (1-2kb),10,7.8125
Promoter (2-3kb),6,4.6875
Promoter (<=1kb),55,42.96875
