"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","328/9653","454/28891",4.81998348192985e-65,3.12383129463874e-61,1.03756486532069e-61,"77035/233805/56371/83560/22209/19052/108000/17193/75826/76464/67052/21423/68094/231803/30949/18014/12443/71276/723951/12580/12453/67857/52004/15904/20586/12034/68964/12567/108989/29861/75430/208643/27375/108911/12579/18018/66197/102423/74370/107976/66214/12450/56456/320595/208583/104418/13860/216965/67629/234736/72584/229543/59046/13684/28036/53869/12452/69754/22687/56150/12315/319651/11504/67121/12577/11920/21752/76454/68953/18027/12323/227292/68077/227331/68142/79263/66977/12530/68193/116871/69681/17869/107047/77011/15937/216021/13557/114714/235661/116748/52696/76843/68034/12189/21803/13205/218630/270201/11479/24100/67849/15512/107995/329152/219103/68612/12649/67141/22680/16600/12366/19192/18392/239985/69917/93760/109019/218294/12237/18763/246735/13194/68431/270669/72508/20588/12449/12576/19211/59008/77891/18514/71375/67941/12905/381293/18008/50927/208768/12192/22410/76499/12581/404710/26427/19055/269582/12568/70799/12055/12314/28010/12445/21987/17246/231600/26931/19054/12428/68251/100088/53317/218793/17535/12444/18761/16319/21335/327799/67655/19357/67974/66209/12144/59126/17120/11789/69581/20466/81702/52563/234069/50875/77044/13383/54124/72057/330177/15574/52468/17257/225131/68067/53892/11792/11820/12914/13555/228361/23834/105513/20620/214444/72772/13685/56453/52679/83383/50523/15902/16412/72993/18795/105837/56190/56696/229776/19891/18555/108058/20587/76707/12054/20460/52206/72290/225182/70681/66671/22137/12575/12013/12193/14841/56469/12313/238271/382985/22591/75608/27354/16906/20104/72611/229841/26380/330216/13871/269424/209334/19650/20135/66442/74268/22059/12021/12427/319195/67628/18557/12795/68592/17222/12572/13872/17283/83797/12043/11799/66371/72400/19186/107771/83796/66993/75770/78832/67155/67991/235559/30963/14199/216190/15468/12447/19360/70385/18032/56317/224023/67153/20133/18715/18028/12571/11461/18767/228714/116733/235041/12236/13559/26992/20479/19708/319944/14056/50850/12545/74996/19684/27401/26951/194655/70127/18647/18854/66991/13649/214498/16798/106795/17863/240665/12578/226026/237877/18817",328
"GO:0006338","GO:0006338","chromatin remodeling","344/9653","489/28891",1.9430588181242e-63,6.29648210013148e-60,2.09134488582316e-60,"170936/18148/268281/18673/17769/73884/102991/14312/14462/78783/27221/51810/17192/18509/21423/217127/15078/229542/68094/13548/70673/224440/66929/54343/170644/12417/16905/243842/234366/15191/66511/21420/223499/321000/19820/218850/20591/193796/18626/106143/30841/214899/22632/13435/101631/21969/76804/18193/71954/19646/52808/70020/20586/108989/69837/29861/15289/99982/16969/622675/66336/20918/11909/17216/19720/93762/17263/16468/101685/15185/21652/231151/56637/56456/192119/269610/320595/52615/140858/16870/51812/15193/229700/75339/208727/104248/208266/238247/331623/63830/18676/68729/18627/12577/14897/21761/14683/15353/208146/107817/97122/78878/105203/101739/13163/15161/68142/71514/116871/17869/80748/14815/109275/11546/66403/12189/50721/105246/216850/54169/14013/107435/12649/225888/15441/30951/76073/12053/239985/22289/53893/233904/22385/93760/245688/22378/17765/233532/319151/21375/13194/20588/76719/12611/13433/70802/231386/18706/64050/16598/18508/50709/53890/50927/71389/53605/23837/225280/67772/329559/12055/69260/235626/50708/75565/68251/79221/214384/244059/54446/21849/20937/56632/319162/21665/328572/20466/20926/234069/14775/109095/77044/15081/72057/17257/66310/21402/218214/225131/17955/80838/13626/319149/53892/81601/110749/18432/212712/74112/55982/102920/320790/50518/20613/18479/260423/20682/13619/15183/56505/29877/213742/18140/69726/319148/232187/116848/68845/23942/381686/108671/66578/194388/93696/20587/16596/12054/22589/20924/69612/226976/114741/17692/224826/77853/217827/73473/22658/11785/12648/225876/56249/56086/22083/64707/69587/218973/16906/23808/244694/107951/57741/67768/66233/81898/72612/404634/319955/12615/67246/75410/22059/13831/14957/22110/109331/214162/17913/67628/12005/17283/228536/67933/15364/319154/83797/170823/104103/606496/15182/231506/19821/107771/235441/74026/20230/241764/66423/83796/66993/320713/226830/18150/67155/433759/114642/15077/51869/77683/228829/101612/26914/381022/233875/67733/68675/11461/75605/244349/14958/67210/30941/70790/26992/227195/68703/71148/67382/15260/235682/19708/14056/239122/212391/71175/22715/107932/70127/93759/72480/50912/207165/383491/80859/209200/56200/22130/75329/56353/237339/15375/18600/14479/20833",344
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","317/9653","440/28891",2.03089208105993e-62,4.38740385911647e-59,1.45725414237458e-59,"57905/20103/18148/224092/56417/319586/234384/72344/53975/213895/19942/68147/227656/50783/66942/68731/102462/27374/66596/22121/382137/225215/227522/226982/217869/208144/27966/223499/75786/54127/66448/74097/27207/67332/20115/21357/215194/68083/192159/213541/65961/110954/99480/17975/448850/12261/66475/70285/13211/83486/26905/27998/14109/215193/320632/20901/75593/14105/192119/67040/20055/20088/105372/15519/72584/276919/13669/140546/20085/103573/192196/98956/66405/67222/107071/118451/72554/56844/76130/15278/64930/231769/207704/20227/11837/75062/67204/11920/68966/117109/72193/74778/101739/68077/78394/68193/108013/267019/20222/225348/30946/13205/20643/20042/217995/19655/74200/229937/20935/218629/234344/68011/100609/27981/23992/56321/66164/217038/68533/14000/66249/245474/27275/77591/69731/67459/353258/20091/14645/19211/231386/59014/76846/67493/67973/67941/28000/231452/67223/53890/237107/208768/66978/224619/101592/27993/239528/67936/195434/208366/57808/214616/75751/66603/214150/68040/52705/110809/68184/18572/72181/52535/53817/104662/106338/67014/66878/18813/20937/66489/66362/227715/72284/67959/24015/20044/216987/229317/20630/67115/67134/59028/56195/52513/68879/52202/18432/74112/78688/433864/320790/236511/66446/57316/16785/75422/56505/74035/328110/78796/70078/28109/75273/68845/67148/78581/108707/72515/12812/330361/68052/19069/67920/268449/269254/70683/27756/68979/98985/107686/69126/193116/107732/14300/19384/237730/55944/66870/224823/83485/67025/210510/20104/227674/57741/76183/81898/68988/216119/13871/272009/56351/19896/109075/66254/69241/100019/28126/106298/67996/66538/67619/73674/110816/17089/66877/110109/66161/100043813/67239/16418/68219/224481/194268/52530/102614/52521/66282/217431/69821/67949/18150/230737/78651/66583/66409/55989/101612/19988/56095/69163/271842/20641/100503670/69499/67684/269061/97112/66580/100608/432508/69237/20054/20068/226432/20638/67205/67276/216766/228889/235036/72462/214498/57837/207932/50912/12181/72544/20826/12578/56200/16865/20815/213773/28035/20116/22258",317
"GO:0030900","GO:0030900","forebrain development","303/9653","425/28891",4.87133195318905e-58,7.89277559715455e-55,2.62154574849253e-55,"22255/12912/230025/59030/110648/21386/22151/16873/58234/17242/18741/18014/13845/58208/18227/668303/211323/21420/23879/20563/22284/15387/30841/17701/21907/76510/242620/22187/15904/76574/11977/20586/11803/232906/16842/99982/22594/12570/75409/13167/18536/67378/54713/20779/14461/56637/192119/269610/231380/19434/16870/72338/213326/83431/19664/11682/11878/268882/64930/18222/14810/24136/22417/269295/15205/110350/20664/223701/15452/18472/74244/114142/13796/18124/18131/16565/50768/18015/18016/20315/99512/16795/18423/19305/216850/14013/20473/76089/19823/100609/77040/57810/19165/93760/73668/21375/218772/16485/77630/18128/14842/19211/328365/67263/18508/381293/20359/13131/211612/59058/77053/12929/16874/329559/12568/15531/252838/12032/235626/15572/18992/107503/225523/71877/238057/244585/14173/50913/11783/21335/77579/20689/14182/320191/75420/13865/18541/68585/70223/18844/16568/20466/18012/58198/19280/20674/209012/207615/243743/19091/20462/244329/18994/18846/77582/11820/100182/14184/13555/16975/15114/72832/320790/12387/18479/228662/22421/668158/81907/21974/233552/13488/140486/65100/15902/65079/241062/14168/14179/20185/18795/18740/14790/14843/20481/16871/22422/20562/16560/22589/13392/23790/20460/18212/11819/20807/13844/13797/319757/244152/12028/94190/16536/12558/11804/15251/17172/19699/18121/13395/18993/18223/18293/230676/244667/21416/30957/21821/11924/71137/68146/70762/170758/30928/12767/218194/15194/22778/22418/14634/16974/74762/15364/14183/210529/17967/69601/13869/14472/15182/57752/75717/68169/73710/11932/102774/18507/12667/18186/433693/226407/21418/246179/18187/433759/20602/239719/18032/723967/65960/73242/22408/14042/18028/13839/67703/20511/18420/12227/22414/22174/14360/235380/18991/12569/56217/12156/17356/22771/330938/56847/18424/235439/67102/14359/19164/13649/20356/12159/72129/14682/19876/13175/320165/192157/22416/319565/723968/329628/19353/15208/12166/15495",303
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","315/9653","451/28891",5.07069150580071e-57,6.57263032981888e-54,2.18306613249736e-54,"26374/56371/22209/19359/18521/70294/20438/211949/67163/11797/212114/217069/70348/223499/93687/22284/100041286/12398/20834/66498/68795/14629/54609/57296/224727/13198/70247/224938/22210/66244/28199/74841/240263/50873/224109/11865/14828/26419/20747/72053/20439/11993/26442/223870/67819/14155/14673/75234/231672/56637/24105/140630/72330/213311/104771/12317/68818/76375/216150/67245/227619/103573/268882/30839/74251/69754/229644/216869/233902/170930/54197/14897/12328/76454/12234/50762/71472/68077/74244/79263/71492/57320/77006/211770/67490/53312/54644/68970/59029/19822/76843/68034/78913/50721/27419/22215/107995/27373/23806/230815/68612/18024/56812/116891/234684/66089/72179/66597/19173/213990/17754/15204/19165/66967/68292/74646/269523/22393/13194/71745/329795/58799/68431/72293/107568/50789/68477/18858/59003/20588/12449/140499/69259/110616/214931/193740/76788/59008/103583/77891/66349/227693/101358/67118/381293/68135/22410/56424/17846/106025/65256/56468/105193/216440/74165/70611/17246/231600/26931/231863/77987/69554/76302/18786/224111/22214/327799/50758/26420/94090/71538/24086/219158/236904/68053/228769/11789/21372/74126/230904/52563/230903/21927/76577/67903/56486/13853/53323/21402/225131/93765/67128/22230/14794/67812/56438/14154/81601/218215/217410/228361/237353/242960/20620/30838/12387/12330/71991/228775/13666/70382/268721/19358/63958/108159/50754/19185/16396/52206/56085/319701/64209/224826/94232/80890/23996/22213/75788/80750/12488/59025/56469/83814/80751/217379/67025/387524/238896/14084/74125/14198/59009/109815/70620/225896/211255/14238/11836/192193/74374/97064/193670/207521/239510/30840/56291/12795/12005/17222/386649/72844/57765/109689/64295/106042/14694/170823/22644/72194/606496/67089/17463/108660/75717/68867/30843/50849/170737/433693/56736/20437/56407/19179/75452/15511/12753/73296/224023/66861/21762/106052/19182/233877/108687/207304/232539/104318/30945/27401/226757/66413/81004/93759/269514/71816/76608/18854/19164/66799/226144/23807/19053/56353/18817/22222",315
"GO:0006397","GO:0006397","mRNA processing","337/9653","496/28891",1.95460894336329e-56,2.11130342698958e-53,7.01258822662794e-54,"57905/18148/56417/319586/68955/53975/16854/51810/50783/74737/228410/13548/51796/67736/67039/101471/22668/70312/27374/217207/20624/68035/19205/21379/268420/70616/192170/23879/70233/15387/76479/11758/67332/67367/192159/11803/234723/227707/53609/17975/67337/12261/20637/16969/13207/72935/225027/107701/13211/234373/83486/268859/76938/75137/18747/74111/75956/320632/20901/14105/12696/67040/27886/22722/22185/269623/15372/230753/59013/229700/15381/276919/276905/20382/192196/28036/66642/72289/16549/224902/22687/56844/54194/229279/19826/83703/231769/22184/20227/76167/75062/12877/209003/66354/107817/66660/72193/65105/101739/170791/71514/74157/225160/69562/78372/53610/108013/56215/233208/54196/54723/66381/51786/15547/20222/116748/74044/20643/56070/66185/216578/15388/19655/98758/70248/74200/19317/68272/19134/56194/68011/229709/67440/108062/224907/27981/66921/76265/18789/72459/54624/70052/15481/56541/68183/69731/94230/18458/231386/83410/381802/19383/28000/53890/76793/208768/12192/219249/66978/230908/24128/66078/72692/170771/67772/21841/74213/101214/67207/56009/15572/103135/73666/101943/66603/76936/53317/110809/53817/13204/19647/66125/22608/219158/19653/78895/68991/218543/67959/68816/20926/70470/109095/108160/69192/68278/74320/70650/319322/19656/27366/20630/108014/56195/227682/71701/238831/20462/17149/68879/11820/104721/66373/20218/78688/664883/225283/100041953/231413/209416/67225/93686/74255/57317/328110/69408/11877/18795/56190/212880/67836/224432/19654/66935/67148/12812/330361/100715/17927/269254/20383/72290/27756/98985/107686/217827/193116/73473/14300/215051/231464/18949/235497/210510/20492/107951/76183/81898/54188/68988/330216/19652/272009/207920/56361/66704/69241/66492/72486/224903/72162/67996/107829/102182/106583/66877/70567/56403/68592/52897/78697/21681/108121/210529/76522/66618/66899/68219/66874/20639/223642/100336/224344/210106/78651/338351/66810/114642/67302/171170/66094/230257/75553/232314/24018/68675/271842/20641/14265/237859/67684/269061/67797/14266/68981/432508/67471/11834/60532/20638/101122/66637/216766/78943/72462/14359/214498/72587/54614/69131/20826/68188/20815/28035/382073/70044/22258",337
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","312/9653","449/28891",1.07569278282689e-55,9.9593784650015e-53,3.30795750508419e-53,"18148/233805/56371/83560/19052/108000/17349/17193/75826/100683/76464/67052/21423/28114/68094/231803/30949/433938/18014/12443/723951/12580/231724/268465/52040/52004/21380/20586/12034/68964/12567/108989/29861/75430/208643/27375/108911/12579/11909/14155/102423/74370/107976/211651/66214/12450/56456/12696/208583/104418/19361/216965/67629/234736/72584/229543/208266/28036/53869/69754/56150/50784/11504/67177/12577/11920/21752/76454/227292/68077/227331/68142/225160/79263/66977/12530/68193/116871/69681/107047/77011/15937/216021/67490/114714/235661/116748/52696/76843/68034/14451/12189/21803/13205/19367/270201/24100/225372/67849/15512/107995/329152/219103/68612/12649/67141/22680/16600/12366/20473/19192/66131/18392/239985/69917/93760/109019/218294/12237/18763/246735/13194/270669/20588/54624/226591/12576/19211/59008/18514/71375/67941/12905/28000/27103/381293/208768/12192/22410/12581/26427/269582/70799/12055/28010/17246/107503/231600/56289/12952/26931/19054/68251/53317/218793/17535/12444/53817/18761/16319/327799/19357/66209/12144/219158/59126/234854/21385/17120/11789/20466/81702/52563/19355/234069/50875/77044/13383/72057/20674/330177/15574/52468/17257/225131/68067/26416/235323/327762/11792/11820/12914/13555/228361/23834/55982/214444/72772/56453/52679/18004/83383/15902/72993/18795/105837/56190/56696/229776/20913/19891/332110/108058/20587/12054/20460/52206/72290/225182/70681/66671/22137/12575/11785/12193/14841/238271/382985/27223/22591/27354/16906/20104/72611/229841/330216/319955/13871/269424/209334/19650/20135/66442/74268/22059/12021/107829/193838/319195/67278/67628/12795/68592/12572/13872/17283/83797/12043/11799/66371/72400/241627/71449/19186/83796/66993/67155/226419/67991/235559/30963/14199/216190/15468/71878/19360/70385/12753/56317/224023/67153/26914/20133/12571/106052/11461/18767/116733/235041/12236/11787/26992/20479/19708/14056/12545/74996/19684/26951/17685/70127/18854/66991/13649/214498/268930/19247/12578/209200/65964/237877/18817",312
"GO:0016055","GO:0016055","Wnt signaling pathway","316/9653","460/28891",1.24439130276212e-54,9.16785920716631e-52,3.04505836147039e-52,"23892/110648/18091/75826/73181/14462/20438/80707/20869/14241/16469/17242/22411/18741/66277/211383/67943/12614/12443/53883/271457/12560/93687/432940/14370/15229/192199/107934/50781/629378/73739/13393/13198/74256/74025/20586/22210/23988/56805/16842/50873/11865/20439/14365/21888/319998/67916/20779/56297/56811/216795/13144/56637/15248/328949/12022/213326/19664/72043/13653/21887/227210/68889/20671/329252/67087/70495/24136/16400/21752/26563/22417/14783/56484/19043/74775/12234/67488/20377/22412/21951/21885/17869/22409/14735/54644/73016/27041/18163/26385/21415/21803/20583/13205/20042/26941/27373/21929/16600/208846/17127/20473/13543/107351/68911/18763/73389/73668/269523/13194/195208/14734/329795/58799/72293/320587/54624/18128/84092/19211/59004/103583/13542/21983/242939/353310/16480/22410/268980/70122/68010/80288/20677/67772/12995/666048/19042/11984/70425/13726/103978/18099/16973/14173/72345/13001/14368/16646/21886/14371/67974/14180/219158/14773/240756/11789/100201/218581/107515/58198/54198/70300/72780/232334/20674/13853/56274/380718/26416/16348/72125/20680/29811/214897/11820/14184/58231/11426/30838/494504/12387/14366/16971/20682/22421/232341/56505/68775/50523/11538/56515/24088/21844/19273/11350/360216/56332/22422/18605/621976/16825/381259/72114/12054/380702/93840/665113/20665/17847/235542/54612/14369/218952/230824/26401/244152/20319/12558/14362/22083/235497/18121/13395/16543/67020/269424/244667/21416/13544/103236/233328/67457/56458/97064/170758/21833/59024/18033/22418/12005/11816/14634/71890/53627/16974/20729/15364/14183/106042/69601/20378/606496/15182/140577/66787/407821/56736/98170/20437/77938/57265/232941/77583/11352/433759/72357/68588/12447/21414/22408/68339/14042/114604/11798/107746/114606/226154/53614/22414/22420/12876/232560/70790/26992/12156/20479/330938/24117/104318/74996/68031/75607/71268/81004/67122/18647/18230/19164/13649/214498/20668/20356/16798/22419/84035/68667/76246/14682/74499/76365/22416/241639/26564/14160/19353/108079",316
"GO:0198738","GO:0198738","cell-cell signaling by wnt","317/9653","462/28891",1.27311731005241e-54,9.16785920716631e-52,3.04505836147039e-52,"23892/110648/18091/75826/73181/14462/20438/80707/20869/14241/16469/17242/22411/18741/66277/211383/67943/12614/12443/53883/271457/12560/93687/432940/14370/15229/192199/107934/50781/629378/73739/13393/13198/74256/74025/20586/22210/23988/56805/16842/50873/11865/20439/14365/21888/319998/67916/20779/56297/56811/216795/13144/56637/15248/328949/12022/213326/19664/72043/13653/21887/227210/68889/20671/329252/67087/70495/24136/16400/21752/26563/22417/14783/56484/19043/74775/12234/67488/20377/22412/21951/21885/17869/22409/14735/54644/73016/27041/18163/26385/21415/21803/20583/13205/20042/26941/27373/21929/16600/208846/17127/20473/13543/107351/68911/18763/73389/73668/269523/13194/195208/14734/329795/58799/72293/320587/54624/18128/84092/19211/59004/103583/13542/21983/242939/353310/16480/22410/268980/70122/68010/80288/20677/67772/104831/12995/666048/19042/11984/70425/13726/103978/18099/16973/14173/72345/13001/14368/16646/21886/14371/67974/14180/219158/14773/240756/11789/100201/218581/107515/58198/54198/70300/72780/232334/20674/13853/56274/380718/26416/16348/72125/20680/29811/214897/11820/14184/58231/11426/30838/494504/12387/14366/16971/20682/22421/232341/56505/68775/50523/11538/56515/24088/21844/19273/11350/360216/56332/22422/18605/621976/16825/381259/72114/12054/380702/93840/665113/20665/17847/235542/54612/14369/218952/230824/26401/244152/20319/12558/14362/22083/235497/18121/13395/16543/67020/269424/244667/21416/13544/103236/233328/67457/56458/97064/170758/21833/59024/18033/22418/12005/11816/14634/71890/53627/16974/20729/15364/14183/106042/69601/20378/606496/15182/140577/66787/407821/56736/98170/20437/77938/57265/232941/77583/11352/433759/72357/68588/12447/21414/22408/68339/14042/114604/11798/107746/114606/226154/53614/22414/22420/12876/232560/70790/26992/12156/20479/330938/24117/104318/74996/68031/75607/71268/81004/67122/18647/18230/19164/13649/214498/20668/20356/16798/22419/84035/68667/76246/14682/74499/76365/22416/241639/26564/14160/19353/108079",317
"GO:0034248","GO:0034248","regulation of amide metabolic process","326/9653","482/28891",6.39027647340824e-54,4.14153818241588e-51,1.3755910934863e-51,"18148/236900/22057/52856/234384/234594/16201/68581/51810/140570/66118/17347/276770/212114/19205/22121/378430/226982/217869/107508/192170/71373/23879/22352/72201/18626/56040/217351/75901/15979/13665/70769/21357/70640/234734/213541/12567/11803/229096/23988/110954/108989/67031/17975/67579/208643/12261/194952/20918/17855/13631/13211/19704/11305/73826/56717/74370/27998/66892/13144/228866/233033/75593/13688/12696/108954/232164/12317/56716/241846/13684/13838/98956/16549/229663/231279/64930/217331/230738/18627/22171/12877/22431/64436/15983/68966/232791/52575/78893/68015/227331/52874/17350/22695/104001/73830/58994/18604/319801/56422/21453/13205/72416/13164/73158/27373/52846/101543/19317/18024/67267/15469/11991/224907/225363/66971/14433/22393/27058/69125/100342/100037258/243574/223453/72508/56541/225929/68036/218506/214290/18458/230784/67493/214580/67941/27103/12192/18753/69956/20168/16341/53872/230908/20677/212508/239528/16011/21841/140488/67557/12785/105193/239606/67207/15572/103135/214150/11428/74203/56334/72181/13629/72068/53817/13690/106338/18813/56632/74480/74108/217980/75420/22608/68585/66612/66362/19653/328572/227715/20683/11789/207952/12457/228019/24015/229317/213988/227682/14786/71701/17149/230594/11820/17690/15114/20218/74112/74326/16589/13685/236511/66446/19735/15568/207214/13666/11652/75422/66084/230861/24127/231207/140486/27050/381305/78796/16007/233833/17165/15473/19045/75388/319817/17973/13418/64602/100715/19401/233489/26987/18212/228026/80913/80890/212167/244551/15467/70207/20660/12193/228994/67070/231464/55944/66870/80912/83485/20181/68134/19877/19652/66704/211064/71787/20698/104625/72162/22059/237400/17872/78428/211006/56403/11816/78697/18755/210529/18983/14694/606496/16418/270086/20226/260302/17974/224045/12367/100526515/20823/210106/214424/18746/68943/66912/26413/65967/104382/27979/67869/12227/208922/70354/208691/100503670/232560/14265/319765/11441/332397/30959/224742/30948/14151/69635/94254/19878/101122/213236/216766/78943/18854/14359/20430/67630/63913/72587/105782/233744/69674/65964/19697/20167/13803/13209/218693/108037",326
