Position,Signal
-20,11.952572433245289
-19,12.41364824553807
-18,12.651256854783176
-17,13.117589644025564
-16,13.639051121073994
-15,14.403764187958675
-14,15.185533669783496
-13,16.153285264572354
-12,17.57596860174427
-11,19.585058161820935
-10,22.611330265724824
-9,26.638003142441168
-8,32.43673207455302
-7,40.515262000112116
-6,51.90026004464002
-5,65.66879461819052
-4,77.85305732883162
-3,84.40969911652297
-2,82.78794644876893
-1,75.32907957693017
0,49.37923839093897
1,33.06517241717984
2,25.0044806584243
3,21.223657936189824
4,18.784132420865568
5,17.56536219645027
6,16.623985397675902
7,15.926754590931619
8,14.819387977620949
9,13.820394665888056
10,13.066021507331795
11,12.694244347595385
12,12.440009044053287
13,11.848419755426892
14,11.584376789189461
15,11.368503854135248
16,11.140625080382113
17,10.952262604380897
18,11.181841407163754
19,11.20464306209235
