seqnames,start,end,distanceToTSS,geneId,SYMBOL
chr1,19209755,19210067,795,21419,Tfap2b
chr1,22805682,22806364,0,116837,Rims1
chr1,34750258,34751085,0,226970,Arhgef4
chr1,46425460,46425706,0,100101919,Dnah7c
chr1,54194342,54195242,0,329152,Hecw2
chr1,56970858,56971119,-293,329160,9130024F11Rik
chr1,74782669,74783024,230,22420,Wnt6
chr1,75450376,75450680,0,241118,Asic4
chr1,75475918,75476150,2596,74241,Chpf
chr1,75503722,75503961,-42,98733,Obsl1
chr1,87475331,87475685,2792,73234,Snorc
chr1,89928656,89928995,2184,14472,Gbx2
chr1,91366303,91366752,0,227358,Erfe
chr1,105355962,105356898,0,100504568,Gm17634
chr1,118627821,118628282,0,81879,Tfcp2l1
chr1,120073679,120073931,143,170706,Tmem37
chr1,134405951,134406174,0,72017,Cyb5r1
chr1,136215816,136216116,-2988,76422,Mroh3
chr1,151571313,151571755,0,63913,Niban1
chr1,156204683,156205085,0,329274,Fam163a
chr1,171195925,171196155,113,66425,Pcp4l1
chr1,172172578,172172820,-1134,98193,Dcaf8
chr1,180936981,180937192,110,13590,Lefty1
chr1,191317791,191318143,51,66208,Nenf
chr10,19849468,19849700,1759,76157,Slc35d3
chr10,24223586,24223967,41,59012,Moxd1
chr10,29148176,29148387,379,67412,Soga3
chr10,39926751,39927081,0,72045,Mfsd4b2
chr10,61978049,61979302,0,12817,Col13a1
chr10,62949130,62949337,2020,327762,Dna2
chr10,77902087,77902537,0,237387,Lrrc3
chr10,79716261,79718040,0,15166,Hcn2
chr10,79739313,79739593,0,216151,Polrmt
chr10,79959868,79960557,0,216156,Wdr18
chr10,80348380,80348711,0,66548,Adamtsl5
chr10,80691139,80691432,2304,208228,Mob3a
chr10,80932193,80932449,1381,17873,Gadd45b
chr10,81363994,81364952,0,432479,Tektip1
chr10,81430029,81431239,0,18029,Nfic
chr10,88459494,88459991,0,20962,Sycp3
chr10,121586242,121586510,231,56480,Tbk1
chr10,127059284,127060460,0,216438,Marchf9
chr10,127535010,127535219,-451,104080,Nxph4
chr10,128909881,128910349,182,12512,Cd63
chr11,5151984,5152559,0,140703,Emid1
chr11,5716858,5717201,-1178,64660,Mrps24
chr11,6447281,6447509,-2838,77605,H2az2
chr11,6547034,6547252,124,216527,Ccm2
chr11,29514876,29515194,0,67939,Prorsd1
chr11,44620335,44620646,-1115,13591,Ebf1
chr11,57518235,57518873,0,216760,Mfap3
chr11,60140708,60140913,449,19377,Rai1
chr11,61342437,61342941,0,380701,Slc47a2
chr11,63131384,63131600,0,18858,Pmp22
chr11,69008297,69008533,0,237823,Pfas
chr11,69399725,69400065,-1491,67020,Tmem88
chr11,69546513,69546913,-1957,327954,Dnah2
