chr,start,end,neu_signal,nsc_signal,fold_change,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr9,102353238,102354708,103.7319825506862,37.335870375560255,2.7783464402262408,0.1,both,nsc_only,False,3,3,"68.4074843546331,128.8560340954333,113.93242920199219","44.29733468719891,27.15303436712343,40.55724207235842",3920,1470,CpG:,1365,0,3,,8.77435;7.89403;8.63263,102351648,102355568
chr9,102505893,102506472,17.122538349236276,20.9952541384273,0.8155432764158425,1.0,both,nsc_only,False,3,3,"14.708003527998573,26.32242082996907,10.337190689741183","18.941398177325752,0.38955612520201016,43.65480811275413",2373,579,CpG:,1367,0,2,,2.91653;7.09833,102504142,102506515
chr9,102625775,102626648,111.0315405469584,46.46622348067502,2.3895107506022226,0.1,both,nsc_only,False,3,3,"71.0850813898482,163.50813820246236,98.50140204856463","54.015331595511086,45.76482215500854,39.618516691505455",3910,873,CpG:,1367,0,3,,8.70907;7.1977;10.0843,102625148,102629058
chr9,102689979,102690345,11.712092351389183,27.663200841052753,0.4233816765704206,0.1,both,nsc_only,False,3,3,"11.611139131918975,11.578181919878038,11.94695600237054","36.77317763436818,21.114248252704957,25.102176636085115",7364,366,CpG:,1368,0,3,,8.51837;5.47985;6.26528,102687501,102694865
chr9,102717597,102718950,45.92907718526567,30.784032567614233,1.4919772802470492,0.2,both,nsc_only,False,3,3,"44.46418473745529,56.65876318805768,36.66428363028405","28.49581897750962,40.370573066104456,23.48570565922863",4965,1353,CpG:,1368,0,3,,5.42151;11.1813;8.57488,102715591,102720556
chr9,102834708,102835546,22.160257859191805,22.683385966842803,0.9769378298100789,0.7,both,nsc_only,False,3,3,"22.994135874243536,22.05471991468541,21.431917788646476","9.18953666818101,38.81985286339042,20.040768368956968",2328,838,CpG:,1369,0,2,,4.36821;6.17784,102833664,102835992
chr9,103008326,103008896,11.62954290505075,14.34905047575264,0.8104747366177729,0.7,both,nsc_only,False,3,3,"5.9924310802583625,21.169571425687963,7.726626209205929","22.393337430091027,13.209330388398845,7.4444836087680475",1724,570,CpG:,1370,0,2,,5.11089;4.56676,103008005,103009729
chr9,103111653,103112627,31.422354753483674,20.950138905497948,1.4998637906518846,0.4,both,nsc_only,False,3,3,"27.76032287084637,47.83657285300837,18.67016853659628","8.590794425919643,43.95826905013455,10.301353240439658",1621,974,CpG:,1371,0,2,,3.11001;8.21463,103110860,103112481
chr9,103201715,103202140,59.54402856918827,58.8818304714959,1.0112462213282063,0.7,both,nsc_only,False,3,3,"40.81792684429783,82.543466377393,55.27069248587398","31.99674499236931,110.38116638269801,34.26758003942037",1416,425,CpG:,1372,0,3,,5.02964;7.66391;28.6477,103201127,103202543
chr9,103304907,103305617,30.575253572783932,25.646896088149003,1.1921619469153713,0.7,both,nsc_only,False,3,3,"44.4393631009624,34.066428803561024,13.219968813828373","28.095834680981692,20.16050185523205,28.684351728233274",1083,710,CpG:,1373,0,3,,5.57421;5.17081;4.40073,103304840,103305923
chr9,103364567,103366089,268.0468758369553,51.94330781645895,5.160373628573977,0.1,both,nsc_only,False,3,3,"208.35226193739,376.15637320263835,219.6319923708376","37.75021613109772,50.22366373025754,67.85604358802158",4404,1522,CpG:,1373,0,3,,15.822;26.1255;20.9551,103364004,103368408
chr9,103761233,103762090,79.6156374187631,39.70966157015085,2.004943740910876,0.2,both,nsc_only,False,3,3,"42.79261355073384,104.52806124125563,91.52623746429984","37.61666202618582,47.39729951398936,34.115023170277375",1299,857,CpG:,1376,0,3,,6.71035;5.50947;6.63289,103760832,103762131
chr9,104002424,104003233,473.6966461415646,117.55533894560442,4.02956301594056,0.1,both,nsc_only,False,3,3,"412.6204718781937,652.3285123697334,356.14095417676685","128.99117049996212,117.79352410288627,105.88132223396487",3494,809,CpG:,1378,0,3,,30.7891;21.4089;30.1774,104001449,104004943
chr9,104062728,104063177,94.74602242172044,28.690079242581294,3.3023966793755006,0.1,both,nsc_only,False,3,3,"87.03999352463724,97.09691252346128,100.10116121706278","16.195291499246743,40.83100203657305,29.043944191924094",2777,449,CpG:,1378,0,2,,8.04607;8.80034,104061317,104064094
chr9,104262283,104263188,167.50120064322095,43.34116237070459,3.864714084282136,0.1,both,nsc_only,False,3,3,"112.11154197987,277.6270123718064,112.76504757798651","3.483856542451442,91.6263575158167,34.913273053845636",1699,905,CpG:,1380,0,3,,9.39938;9.39066;11.0555,104262203,104263902
chr9,105053227,105053475,42.16912965482497,39.54617383298146,1.0663264120802496,1.0,both,nsc_only,False,3,3,"14.798325723912342,82.23607428820736,29.472988952355212","14.00813504873988,50.38183896800122,54.248547482203286",664,248,CpG:,1386,0,2,,5.83226;6.13254,105053035,105053699
chr9,105131384,105131847,41.66293464784264,32.53921391452025,1.2803915533205623,0.4,both,nsc_only,False,3,3,"37.07391115935842,50.044590145012705,37.8703026391568","23.11658823604136,47.21341055243024,27.28764295508916",3451,463,CpG:,1387,0,3,,5.76823;7.61891;13.623,105130263,105133714
chr9,105395087,105395645,104.00674085793672,31.7829848265407,3.272403187603854,0.1,both,nsc_only,False,3,3,"67.44945777112787,159.03095918568698,85.5398056169953","55.955749451030385,22.547907598090895,16.84529743050084",1980,558,CpG:,1389,0,3,,7.59897;6.98131;5.96546,105394304,105396284
chr9,105494545,105495594,64.78278573625788,33.29006982891195,1.9460093075561815,0.2,both,nsc_only,False,3,3,"56.54027911129161,98.17313840654161,39.6349396909404","13.588638743104418,29.84820994080981,56.433360802821625",1755,1049,CpG:,1389,0,3,,7.86286;7.68797;6.73993,105494490,105496245
chr9,105642886,105643330,20.31388102293949,12.964900778128097,1.566836597562643,0.7,both,nsc_only,False,3,3,"19.357931149206657,19.747804889612286,21.835907029999525","1.4996542680593077,28.158028301072946,9.23701976525204",3147,444,CpG:,1390,0,2,,2.36472;5.71112,105642851,105645998
chr9,105644568,105644931,20.31388102293949,12.964900778128097,1.566836597562643,0.7,both,nsc_only,False,3,3,"19.357931149206657,19.747804889612286,21.835907029999525","1.4996542680593077,28.158028301072946,9.23701976525204",3147,363,CpG:,1391,0,2,,7.32498;5.71112,105642851,105645998
chr9,106159853,106160125,517.6133145118613,75.90697149413229,6.819048426294724,0.1,both,nsc_only,False,3,3,"429.3665388577851,755.8926640742243,367.5807406035745","53.445990251731516,50.31461770027146,123.9603065303939",531,272,CpG:,1394,0,3,,6.61031;12.1258;7.00182,106159863,106160394
chr9,106170625,106171273,54.92800572465129,30.377557965937513,1.808177134786223,0.4,both,nsc_only,False,3,3,"39.20668052915589,76.62992501495992,48.94741162983807","17.46701290831825,10.861829507414768,62.803831482079524",2614,648,CpG:,1395,0,3,,5.76031;8.1677;5.4136,106169425,106172039
chr9,106203006,106203335,37.696066432374046,28.097291517984132,1.3416263417506296,1.0,both,nsc_only,False,3,3,"24.673748924701698,53.5925382460711,34.82191212634935","35.531464902748795,4.313461178181594,44.44694847302201",2735,329,CpG:,1395,0,3,,6.77167;11.4966;2.32773,106202184,106204919
chr9,106226088,106226477,14.951776927047305,22.22892865941056,0.6726269698435291,0.2,both,nsc_only,False,3,3,"22.727016219114645,6.660115449856489,15.468199112170781","26.415975558452118,23.378473254350517,16.89233716542904",3120,389,CpG:,1395,0,3,,7.6521;5.73824;7.37923,106225668,106228788
chr9,106247596,106248183,70.04911259930134,17.531071633628695,3.9957119600681317,0.1,both,nsc_only,False,3,3,"47.073727455204065,103.54019234810217,59.53341799459778","26.026547291186553,19.515907914726746,7.050759694972783",2351,587,CpG:,1395,0,3,,7.25933;3.68654;5.68243,106246673,106249024
chr9,106367642,106368000,68.59862729395708,33.10729529998654,2.072009406760116,0.1,both,nsc_only,False,3,3,"51.27101973962587,94.66898587317381,59.8558762690716","34.69271198886625,26.41108250388417,38.21809140720919",3635,358,CpG:,1396,0,3,,8.0939;6.85629;5.59457,106367229,106370864
chr9,106368405,106369453,68.59862729395708,33.10729529998654,2.072009406760116,0.1,both,nsc_only,False,3,3,"51.27101973962587,94.66898587317381,59.8558762690716","34.69271198886625,26.41108250388417,38.21809140720919",3635,1048,CpG:,1396,0,2,,6.85629;5.59457,106367229,106370864
chr9,106429476,106429869,40.64144770115814,30.112179918551266,1.3496680682397255,1.0,both,nsc_only,False,3,3,"51.29102784571981,19.196487629823697,51.43682762793092","26.902483291190432,9.662076118012198,53.771980346451166",1686,393,CpG:,1396,0,2,,4.91293;8.99581,106428891,106430577
chr9,106447391,106447745,151.20820452372234,59.92968476684097,2.5230936073167145,0.1,both,nsc_only,False,3,3,"104.00760609292234,215.26219525362185,134.3548122246228","49.57003479603073,87.37433649033152,42.84468301416067",1910,354,CpG:,1397,0,3,,11.2726;10.0153;10.6624,106447018,106448928
chr9,106453424,106454151,16.981758564559644,23.362765566984695,0.7268727889200571,0.4,both,nsc_only,False,3,3,"19.457833498373798,10.978361248284921,20.50908094702022","22.37156169039422,17.208418843561205,30.508316166998668",5568,727,CpG:,1397,0,3,,5.08364;5.9505;4.71934,106452802,106458370
chr9,106464738,106465734,23.512158522747914,34.925299711443365,0.6732127917872697,0.4,both,nsc_only,False,3,3,"17.21325329409381,37.46673589237171,15.856486381778227","35.338228085487536,41.199214693965935,28.238456354876625",3268,996,CpG:,1397,0,2,,12.4949;7.00244,106464556,106467824
chr9,106477062,106477464,293.0458079166053,64.10985464868571,4.57099473275148,0.1,both,nsc_only,False,3,3,"224.75794144831028,391.6078779069853,262.77160439452047","82.85194818337571,71.50420956409916,37.973406198582275",3404,402,CpG:,1397,0,3,,15.99;16.1904;26.4482,106474500,106477904
chr9,106788897,106789269,27.963626400410686,18.474241713668402,1.5136548949514632,0.4,both,nsc_only,False,3,3,"15.51189762686715,37.79542141500117,30.58356015936372","29.75862191499706,19.700924551772243,5.963178674235907",1379,372,CpG:,1399,0,3,,4.2703;2.27727;3.37176,106788441,106789820
chr9,106821767,106822620,59.45858299669809,32.81143379049453,1.8121299842106635,0.1,both,nsc_only,False,3,3,"53.32767463375644,48.78185895689745,76.26621539944038","30.785832938803825,30.740812912618203,36.90765552006157",2993,853,CpG:,1399,0,3,,9.89187;9.2454;6.72247,106819886,106822879
chr9,106885069,106885275,51.78990657379486,21.977472441490274,2.356499670818517,0.2,both,nsc_only,False,3,3,"40.777082163322596,88.26881483040681,26.323822727655163","23.082611901138886,40.461082411352564,2.3887230119793594",971,206,CpG:,1400,0,2,,8.78804;6.91143,106884462,106885433
chr9,106885631,106887477,40.8496884392407,20.5752033130841,1.9853844366759543,0.1,both,nsc_only,False,3,3,"37.54247081506142,47.172525005371625,37.83406949728905","12.085268325929853,15.787863728796989,33.852477884525456",1843,1846,CpG:,1400,0,3,,8.21593;6.00384;5.00385,106886211,106888054
chr9,106891554,106892561,254.72320312138288,93.31111598169184,2.729826992652847,0.1,both,nsc_only,False,3,3,"184.5812851087226,380.0162184591939,199.57210579623208","61.335739009699964,103.78752399789728,114.81008493747828",2111,1007,CpG:,1400,0,3,,10.8956;20.7218;23.2514,106890760,106892871
chr9,107231268,107232140,20.840159073320606,9.488899135950623,2.196267319816208,0.1,both,nsc_only,False,3,3,"21.251183691383904,19.048595736287556,22.22069779229036","13.201159309642584,11.56846711967637,3.697070978532918",1673,872,CpG:,1403,0,2,,5.09923;5.02392,107231254,107232927
chr9,107296546,107297001,51.10500503407167,35.41995548154237,1.4428308658011417,0.4,both,nsc_only,False,3,3,"44.32037841766747,66.22199397707044,42.772642707477075","53.8506043558422,35.25059283083873,17.158669257946176",3292,455,CpG:,1403,0,3,,9.23373;5.18169;7.08271,107294186,107297478
chr9,107338121,107338442,70.60418755774404,16.011502767508205,4.409591565697355,0.2,both,nsc_only,False,3,2,"50.91184883980729,82.57938228279217,78.32133155063266","0.0,31.723492272838747,16.31101602968587",1105,321,CpG:,1403,0,2,,5.92215;7.39294,107337609,107338714
chr9,107399590,107400052,15.93691557074021,12.673496187761621,1.2574995356159073,0.7,both,nsc_only,False,3,3,"11.28803903567865,16.95157163631842,19.571136040223557","21.248971516547982,11.258621308620919,5.5128957381159625",2415,462,CpG:,1404,0,2,,6.38502;4.88823,107398460,107400875
chr9,107526629,107527023,21.05271745724266,20.75028643398527,1.0145747878815814,1.0,both,nsc_only,False,3,3,"18.616250211260557,26.088716762865044,18.45318539760239","13.923741117493355,24.93160462268769,23.395513561774763",2154,394,CpG:,1405,0,3,,4.32248;6.11492;6.91138,107526087,107528241
chr9,107533881,107534563,90.59525427134515,59.33615046733917,1.526813815149875,0.4,both,nsc_only,False,3,3,"61.574576269187816,122.20759207027251,88.00359447457512","26.00285826245604,109.66076628638808,42.34482685317341",1755,682,CpG:,1405,0,3,,13.1445;6.31571;21.7471,107532680,107534435
chr9,107534955,107535276,7.207423719080268,12.579902456331384,0.5729316061153413,0.4,both,nsc_only,False,3,3,"9.300460900768929,2.167328218231626,10.154482038240246","23.19131321362466,11.791759068587364,2.7566350867821314",2872,321,CpG:,1405,0,2,,4.49745;5.08152,107534948,107537820
chr9,107551414,107551915,63.427949223864026,32.02316597494303,1.980689519377756,0.2,both,nsc_only,False,3,3,"45.065066111839926,91.53295118218581,53.68583037756632","32.97647965897939,15.510283540432978,47.58273472541674",4763,501,CpG:,1405,0,2,,5.34263;9.34619,107550566,107555329
chr9,107554098,107555125,62.24986583895273,31.914354823891614,1.950528725473449,0.2,both,nsc_only,False,3,3,"45.46711825463317,91.36916521516521,49.91331404705979","32.742750180470885,15.74355256599711,47.256761725206836",4797,1027,CpG:,1405,0,3,,10.1051;9.34619;6.25695,107550566,107555363
chr9,107563217,107563531,32.59645145292031,24.547736541438663,1.3278801244218479,0.4,both,nsc_only,False,3,3,"26.20292647575357,36.220878506166024,35.365549376841344","11.88322331064713,32.26900871964685,29.490977594022002",3738,314,CpG:,1405,0,3,,5.02097;5.77462;14.8732,107562675,107566413
chr9,107568998,107569591,36.06498941104314,49.131460932428865,0.7340508245957471,0.2,both,nsc_only,False,3,3,"43.392255763368404,27.198799167947264,37.60391330181376","38.6584667590506,64.0660682651939,44.6698477730421",3193,593,CpG:,1405,0,3,,9.94214;7.91236;9.94299,107567716,107570909
chr9,107570819,107571092,28.799706390830995,37.86907498487082,0.7605072582928641,0.4,both,nsc_only,False,3,3,"39.173179106411574,18.467044612196798,28.758895453884623","35.909779100360986,44.41362026157901,33.28382559267245",4676,273,CpG:,1405,0,2,,5.49979;9.94299,107568139,107572815
chr9,107580721,107580925,76.42036659644425,27.665987266987134,2.762249756676279,0.1,both,nsc_only,False,3,3,"55.45435834954853,111.6775737806332,62.129167659151044","35.81079025210047,17.619632479310766,29.56753906955017",1630,204,CpG:,1405,0,3,,7.94994;8.06036;4.36678,107579509,107581139
chr9,107587474,107588171,106.95292458435053,33.788045034751576,3.1654073052864597,0.1,both,nsc_only,False,3,3,"83.09071778444887,145.60257418574167,92.16548178286102","41.840442880864444,38.1378842147724,21.38580800861789",3253,697,CpG:,1405,0,3,,8.18377;10.5083;23.8373,107585707,107588960
chr9,107612701,107612978,87.48966305129905,33.394928460261916,2.619848793969025,0.1,both,nsc_only,False,3,3,"78.56981363155246,115.72641362611931,68.1727618962254","35.56181820777174,33.647248750224385,30.975718422789623",3173,277,CpG:,1406,0,3,,7.17776;7.97233;8.57185,107611301,107614474
chr9,107635122,107635353,48.20336872020207,31.823778616347866,1.5146965827445775,0.1,both,nsc_only,False,3,3,"41.132871204784756,56.855329629867825,46.62190532595364","40.70705127315735,19.489312596285522,35.27497197960073",4288,231,CpG:,1406,0,2,,10.6744;4.47556,107632119,107636407
chr9,107675931,107676718,21.45865735762635,26.81673699149398,0.8001964356973348,1.0,both,nsc_only,False,3,3,"23.57184962899578,24.55593600365028,16.24818644023299","14.909707545213067,19.07208089144378,46.46842253782509",1868,787,CpG:,1406,0,2,,8.3177;11.3865,107675538,107677406
chr9,107709242,107710020,13.99113354069363,21.10911525670277,0.6628005660375098,0.4,both,nsc_only,False,3,3,"15.070232900949959,9.93942815322644,16.963739567904486","23.72577007432839,10.072371696773633,29.529203999006278",1645,778,CpG:,1406,0,2,,5.52716;9.60492,107708767,107710412
chr9,107770367,107771105,35.89289414681246,13.324080705392882,2.6938364409849993,0.1,both,nsc_only,False,3,3,"45.32084481289907,29.98670091985017,32.37113670768813","1.2978615076930677,20.28890463036498,18.385475978120606",2545,738,CpG:,1407,0,2,,5.3315;7.03148,107770148,107772693
chr9,107872344,107872863,74.86625913719122,40.98347360216161,1.82674264909655,0.4,both,nsc_only,False,3,3,"45.68739604693587,118.35806054146059,60.553320823177216","64.88762047700985,33.82744294853621,24.235357380938787",1860,519,CpG:,1408,0,3,,11.4738;8.49067;10.1004,107872488,107874348
chr9,107887977,107888293,34.04759414655414,32.473189487973684,1.0484832159515323,0.7,both,nsc_only,False,3,3,"35.38708226992611,32.60718944404699,34.148510725689334","25.18792708433127,39.995504825930055,32.23613655365972",2370,316,CpG:,1408,0,3,,6.52781;7.7488;9.62605,107887597,107889967
chr9,107901213,107901890,25.09728731987933,10.572914133226073,2.373734147807885,0.2,both,nsc_only,False,3,3,"31.36381774664476,23.402419081901566,20.525625131091676","0.3905685107647409,21.841827133566348,9.48634675534713",2165,677,CpG:,1408,0,2,,6.79682;6.00013,107900954,107903119
chr9,107950850,107951281,95.6586878094622,124.69008307760946,0.7671715781111672,0.7,both,nsc_only,False,3,3,"51.9514470869495,43.220210102845996,191.80440623859107","143.44680238978654,89.69626998022405,140.92717686281776",434,431,CpG:,1408,0,3,,11.346;14.2148;13.443,107950533,107950967
chr9,107985777,107986152,36.531955474950756,18.895803613487264,1.933336957888117,0.2,both,nsc_only,False,3,3,"23.45679873611722,54.41453570396502,31.72453198477002","6.499063055174321,28.737735988913574,21.450611796373902",3678,375,CpG:,1408,0,3,,5.20849;6.36788;7.24555,107982872,107986550
