gene,chr,tss,strand,promoter_start,promoter_end,cpg_start,cpg_end,cpg_id,cpg_count,exo_peak_count,exo_mean_signal,exo_min_qvalue,endo_peak_count,endo_mean_signal,endo_min_qvalue,category
Tcea1,chr1,4857814,+,4855314,4858314,4857465,4858372,622,83,1,6.26284,3.86907,1,5.4187,3.97151,common
Pcmtd1,chr1,7088920,+,7086420,7089420,7088491,7089271,639,85,1,11.9292,8.3835,1,7.79645,5.67378,common
Ncoa2,chr1,13374083,-,13373583,13376583,13372746,13374794,687,188,1,7.88974,7.18649,1,10.4542,3.5513,common
Gm29570,chr1,13376070,+,13373570,13376570,13372746,13374794,687,188,1,7.88974,7.18649,1,10.4542,3.5513,common
Tceb1,chr1,16657042,-,16656542,16659542,16656764,16657043,712,25,1,7.78185,2.45826,1,6.40266,4.38692,common
D030040B21Rik,chr1,16657552,+,16655052,16658052,16656764,16657043,712,25,1,7.78185,2.45826,1,6.40266,4.38692,common
Fam135a,chr1,24100341,-,24099841,24102841,24099641,24100556,768,108,1,4.39663,2.68503,1,5.83868,1.95381,common
Gm37580,chr1,24100625,+,24098125,24101125,24099641,24100556,768,108,1,4.39663,2.68503,1,5.83868,1.95381,common
Lmbrd1,chr1,24678630,+,24676130,24679130,24678516,24679083,773,54,1,5.80914,2.55659,1,5.34769,2.87627,common
Ptp4a1,chr1,30949770,-,30949270,30952270,30948826,30950216,821,145,1,5.4646,4.20617,1,4.62212,1.30416,common
Txndc9,chr1,37997893,-,37997393,38000393,37997823,37998675,874,101,1,10.0433,6.70279,1,5.9169,2.6812,common
Eif5b,chr1,37998010,+,37995510,37998510,37997823,37998675,874,101,1,10.0433,6.70279,1,5.9169,2.6812,common
Pantr1,chr1,42694842,-,42694342,42697342,42696574,42698657,910,158,1,5.48217,2.27389,1,5.53176,2.65033,common
Gm20646,chr1,42694925,+,42692425,42695425,42694733,42695261,910,44,1,5.48217,2.27389,1,5.53176,2.65033,common
Pou3f3,chr1,42695768,+,42693268,42696268,42694733,42695261,910,44,1,5.48217,2.27389,1,5.53176,2.65033,common
Gm28151,chr1,46850479,-,46849979,46852979,46852696,46854053,942,168,1,9.36798,10.9395,1,8.38773,5.68596,common
Gls,chr1,52233232,-,52232732,52235732,52232207,52233503,983,120,1,5.51449,4.21818,1,7.55087,2.79205,common
Plcl1,chr1,55405921,+,55403421,55406421,55405582,55406648,1007,109,1,4.72043,1.63721,1,4.81068,2.71849,common
Tmem237,chr1,59120408,-,59119908,59122908,59119822,59120480,1036,68,1,5.3131,1.35308,1,6.35926,3.79317,common
G730003C15Rik,chr1,59119833,+,59117333,59120333,59119822,59120480,1036,68,1,5.3131,1.35308,1,6.35926,3.79317,common
Ino80d,chr1,63114667,-,63114167,63117167,63113485,63114349,1066,77,1,9.79268,2.03558,1,6.08869,4.038,common
Gm20342,chr1,63117118,+,63114618,63117618,63113485,63114349,1066,77,1,9.79268,2.03558,1,6.08869,4.038,common
Klf7,chr1,64122282,-,64121782,64124782,64121613,64122142,1074,56,1,7.14341,5.14653,1,6.89049,3.75119,common
