chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr18,32240120,32240537,55.56047085017374,66.2098104364578,0.8391576789590066,0.8,both,both,False,3,2,"50.82778286136993,46.18226031734519,69.67136937180611","49.30132907815175,83.11829179476385",1825,417,CpG:,830,3,2,9.80064;14.668;7.4284,10.9307;11.7612,32239768,32241593
chr18,32377246,32377767,35.43226700137199,30.280917613297948,1.1701186685905387,1.0,both,both,False,3,2,"34.720511830580776,29.306019211053503,42.27026996248167","16.646615976192052,43.915219250403844",4554,521,CpG:,832,3,2,7.05292;13.8355;7.6954,7.46629;11.4532,32374415,32378969
chr18,32837201,32837621,69.81577467933768,41.75218389274073,1.6721466560573433,0.2,both,both,False,3,2,"60.43320073841619,51.80667466028977,97.20744863930707","44.99323776658314,38.51113001889832",2068,420,CpG:,835,3,2,11.375;29.6196;10.2653,8.22129;13.9827,32836852,32838920
chr18,32939145,32939664,38.63564117485395,50.349216532220645,0.7673533738132614,0.8,both,both,False,3,2,"44.92303848878288,23.914644470437274,47.069240565341694","43.96033781096122,56.73809525348007",3430,519,CpG:,836,3,2,4.56057;6.54108;5.20648,7.83966;9.82732,32938221,32941651
chr18,33213715,33214111,359.16392158866296,192.77825929510527,1.8630934987272307,0.4,both,both,False,3,2,"300.90407844522537,224.8706826161205,551.7170037046429","146.70923923770513,238.8472793525054",1094,396,CpG:,838,3,2,27.0575;85.548;30.7862,19.2047;36.286,33213322,33214416
chr18,33463801,33464445,59.36219297155998,67.1696728739565,0.8837648068191845,1.0,both,both,False,3,2,"62.19144638440454,58.48766550609678,57.40746702417861","44.34184142277293,89.99750432514008",3906,644,CpG:,840,3,2,12.1563;15.3011;12.6522,12.2771;20.0646,33460906,33464812
chr18,33794657,33795151,62.48907330440685,55.2457631781071,1.1311106899355885,1.0,both,both,False,3,2,"53.35026368019659,54.83855097161841,79.27840526140555","54.156348439039114,56.33517791717509",2998,494,CpG:,842,3,2,14.1948;27.9155;10.8117,15.7191;10.1905,33794169,33797167
chr18,34005895,34007537,46.45415115920693,55.41833283901932,0.8382451939532034,1.0,both,both,False,3,2,"24.808473065441696,54.927472575620335,59.62650783655876","58.937054046583235,51.89961163145541",3324,1642,CpG:,844,3,2,9.36782;17.8729;9.27825,17.1471;14.7406,34004980,34008304
chr18,34220798,34221561,34.011193025763326,30.21087449386483,1.1257930660918227,1.0,both,both,False,3,2,"33.446106768066734,35.14583517687768,33.441637132345555","22.246296591334154,38.1754523963955",4279,763,CpG:,846,3,2,10.9015;11.0025;9.15813,8.72431;12.7259,34219539,34223818
chr18,34330875,34331538,66.72195960046567,81.16940147147409,0.8220087667384638,0.8,both,both,False,3,2,"48.70649447620235,38.29173196099952,113.16765236419513","105.02265473503972,57.316148207908455",2795,663,CpG:,846,3,2,17.4145;37.3249;16.8457,19.2118;16.4163,34328593,34331388
