chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,peak_width_exo,peak_width_endo,significant
chr18,32240120,32240537,121.7536230205777,89.34124809522969,1.3627929496888085,0.7,both,1012.3333333333334,1968.0,False
chr18,32377246,32377767,116.86267682461941,107.04811343586277,1.0916836651646082,0.7,both,1046.3333333333333,1214.3333333333333,False
chr18,32559636,32559955,182.39620041772665,0.0,inf,1.0,exo_only,2731.5,0.0,False
chr18,32837201,32837621,115.12820372680993,31.704773535418457,3.6312577220649875,0.1,both,1139.3333333333333,381.0,False
chr18,32939145,32939664,101.1447644438528,66.6791224781308,1.516888055583304,0.7,both,1538.0,1421.3333333333333,False
chr18,33213715,33214111,296.89925662836157,137.96995263561544,2.1519124342420066,0.1,both,1248.0,1540.0,False
chr18,33463801,33464445,398.96389636764223,127.3356526496189,3.1331672478676875,0.2,both,4836.0,1481.3333333333333,False
chr18,33794657,33795151,104.6728121657062,98.16653388264324,1.0662779668969584,1.0,both,854.0,1830.0,False
chr18,34005895,34007537,187.0901769286539,129.92137925188572,1.4400260989065694,0.2857142857142857,both,1581.3333333333333,1273.5,False
chr18,34220798,34221561,211.46741145416524,175.59390857827853,1.2042981055911433,0.7,both,2105.6666666666665,2165.6666666666665,False
chr18,34330875,34331538,103.99616291745428,93.76558202064241,1.1091080615759374,0.7,both,791.3333333333334,1131.0,False
chr18,34372891,34373534,99.49813685850212,100.38971774595564,0.9911188027272899,0.7,both,1490.3333333333333,1974.6666666666667,False
chr18,34409135,34409492,132.6091906194184,135.77334405630552,0.9766953266204084,0.8,both,1856.0,2019.0,False
chr18,34506391,34506954,234.45941935394504,143.44165896285708,1.6345280795633867,0.4,both,2380.3333333333335,2453.6666666666665,False
chr18,34624016,34624637,184.77902741856755,121.67992079521628,1.5185663025664293,0.2,both,1678.6666666666667,1522.3333333333333,False
chr18,34651353,34651844,149.99828961033137,43.4291318414779,3.453863414950247,0.4,both,1686.6666666666667,763.5,False
chr18,34720197,34720469,20.327842811142634,0.0,inf,1.0,exo_only,453.0,0.0,False
chr18,34759386,34759806,439.87807400838125,243.53647149422434,1.8062102620995446,0.2,both,2231.0,2364.6666666666665,False
chr18,34776911,34777725,59.92842530768345,67.50551716339231,0.8877559616739318,1.0,both,968.0,1310.6666666666667,False
chr18,34840554,34840854,217.43850689550084,125.14245236842463,1.737527935407185,0.4,both,2584.6666666666665,2375.0,False
chr18,34859826,34860053,784.7247832184554,942.9315935023933,0.8322181467095615,1.0,both,7947.0,7036.666666666667,False
chr18,34860474,34861222,784.7247832184554,942.9315935023933,0.8322181467095615,1.0,both,7947.0,7036.666666666667,False
chr18,34887517,34887785,224.0546966085794,354.675405452934,0.6317176019646839,0.7,both,3358.6666666666665,4473.0,False
chr18,34931397,34932559,303.78374268046065,306.7405565819108,0.990360538122514,1.0,both,2576.0,2283.6666666666665,False
chr18,34954057,34955064,185.36049288244462,226.5425325316197,0.8182149762829763,0.7,both,1489.0,1334.6666666666667,False
chr18,35118494,35119504,175.66306256155306,12.983216492239656,13.530011046688669,0.2,both,1683.3333333333333,463.0,False
chr18,35498629,35498921,136.9138012045112,86.5533677545594,1.5818425643790035,0.7,both,1490.6666666666667,1331.6666666666667,False
chr18,35562004,35563062,115.13661705033682,142.05222298333402,0.8105231627656048,0.4,both,1124.6666666666667,2286.3333333333335,False
chr18,35598516,35599306,151.64240513639825,120.76375130244374,1.2556947221407626,0.7,both,1837.0,2108.3333333333335,False
chr18,35652355,35655329,147.06014024325358,2.150717279494048,68.37725332166819,0.2857142857142857,exo_only,1070.0,0.0,False
chr18,35662055,35662286,46.78698870914508,70.46813760507415,0.6639452992408319,1.0,both,593.3333333333334,930.6666666666666,False
chr18,35703036,35703240,230.29219640834387,150.09647025187925,1.53429455084378,0.2,both,1153.6666666666667,1653.6666666666667,False
chr18,35771332,35772201,159.7871350867533,64.54532158456826,2.4755804319201937,0.4,both,1807.0,1074.3333333333333,False
chr18,35829534,35832011,252.9962803094679,135.21762379755535,1.8710303672267454,0.9047619047619049,both,1865.0,2091.3333333333335,False
chr18,35860500,35860796,53.22888422015047,78.04689646184174,0.6820115422036652,1.0,endo_only,0.0,1858.5,False
chr18,35873259,35873857,225.9231557201041,163.77033655183604,1.379512068405597,0.4,both,2523.0,1849.3333333333333,False
chr18,35887876,35890054,133.76235928619556,73.38972453010996,1.8226306222380795,0.4,both,1686.3333333333333,1099.6666666666667,False
chr18,35919005,35919290,34.70589945303772,64.50456619756464,0.5380378707879448,1.0,endo_only,0.0,1373.6666666666667,False
chr18,35930380,35930853,41.81139227110186,0.0,inf,1.0,exo_only,551.3333333333334,0.0,False
chr18,35933276,35933711,93.76226876534004,44.21093153456511,2.120793783592516,0.2,both,1250.0,1049.0,False
chr18,35938514,35938774,224.39446684015277,95.87857496897847,2.340402607284846,0.4,both,2481.0,1190.6666666666667,False
chr18,35939614,35939888,181.33678352505163,60.870695939365,2.9790489615181377,0.6666666666666666,both,3111.0,1055.0,False
chr18,36068119,36068831,37.22161372672144,21.863061790072305,1.7024886122593879,0.4,both,723.0,582.3333333333334,False
chr18,36196549,36197534,221.8917998456458,240.6235695618707,0.9221532215221815,0.6285714285714286,both,2142.1666666666665,3108.6666666666665,False
chr18,36280644,36281563,102.89639502087648,109.49899359529847,0.9397017419281058,0.6285714285714286,both,985.5,2358.3333333333335,False
chr18,36287309,36287892,178.5635371591662,103.41474683361837,1.726673831600178,0.1,both,1682.6666666666667,1806.0,False
chr18,36320049,36320702,94.45219424595207,59.470559076712156,1.5882176948112505,0.5,exo_only,1369.3333333333333,0.0,False
chr18,36348471,36349252,174.56722718735054,87.95018691725888,1.9848420259934023,0.4,both,2213.0,1178.0,False
chr18,36515204,36516074,151.76483801684284,111.20094246718271,1.3647801416937742,1.0,both,1291.3333333333333,1684.6666666666667,False
chr18,36559433,36561371,916.0655585173648,847.4822750470794,1.0809259208004975,0.6285714285714286,both,2050.0,1524.6666666666667,False
