chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr15,58214479,58215086,26.39930169093032,33.004614483000445,0.7998669914635028,0.4,both,both,False,3,3,"26.543750494304078,26.792646816056575,25.861507762430307","31.138977911143595,26.019598987293215,41.85526655056452",6426,607,CpG:,1029,2,3,10.865;6.10211,8.85876;5.91961;9.03083,58209985,58216411
chr17,24220509,24220795,23.657123851244634,29.601408381137134,0.799189131363075,0.7,both,both,False,3,3,"23.31215820661583,17.41034116713664,30.248872179981433","17.485416652398907,29.895366755946586,41.423441735065914",3957,286,CpG:,769,1,2,17.8115,8.57542;5.05084,24218894,24222851
chr7,142663909,142664388,8.523849158820704,10.66767041055416,0.7990356685924186,0.7,both,both,False,3,3,"10.378451317645897,10.788563751129516,4.404532407686703","11.43208110578593,0.05739634816778695,20.513533777708766",2761,479,CpG:,1673,1,1,6.81314,4.06924,142663041,142665802
chr2,25242073,25242509,9.433578151864396,11.807040760018172,0.7989790450973149,0.7,both,both,False,3,3,"14.804195346185674,0.9122623716081891,12.584276737799321","14.640221001958489,16.290236826902046,4.490664451193989",4256,436,CpG:,777,1,2,8.61663,5.67258;7.82628,25238610,25242866
chr2,25240768,25241033,9.433578151864396,11.807040760018172,0.7989790450973149,0.7,both,both,False,3,3,"14.804195346185674,0.9122623716081891,12.584276737799321","14.640221001958489,16.290236826902046,4.490664451193989",4256,265,CpG:,777,2,2,8.61663;7.83851,5.67258;7.82628,25238610,25242866
chr1,21961003,21962124,21.13726739020838,26.4680847602239,0.7985945179521774,0.2,both,both,False,3,3,"19.930145815703625,20.862094284892965,22.619562070028547","29.84270714272205,28.319941629342463,21.241605508607176",4731,1121,CpG:,752,2,3,8.91374;7.73173,3.36852;4.67185;6.04933,21959728,21964459
chr13,51566991,51567736,36.82812384931216,46.12080524995764,0.7985143288309343,0.2,both,both,False,3,3,"38.02040472577269,32.376338628578736,40.08762819358505","50.258773734611125,40.080110297421825,48.02353171783997",5907,745,CpG:,978,2,2,10.15;7.8289,4.80766;6.44943,51564501,51570408
chr5,123683511,123684372,31.308856139844096,39.22820905509173,0.7981209668755009,0.7,both,both,False,3,3,"41.211264560261256,19.826167630704962,32.88913622856608","52.13350250055651,28.000829795109635,37.55029486960906",4078,861,CpG:,1528,2,2,7.44266;8.15869,4.73874;5.99792,123682855,123686933
chr5,17574439,17574843,17.402738701213323,21.81676214962854,0.7976774271937336,0.4,both,both,False,3,3,"16.82791618526442,13.425960962030011,21.95433895634554","25.50480546629213,24.170412988796265,15.775067993797228",4856,404,CpG:,719,2,3,10.0858;6.10497,6.6049;5.39539;4.40334,17571194,17576050
chr12,4038394,4039169,22.257809625834863,27.913530307152744,0.7973842570579966,0.7,both,both,False,3,3,"20.44722644882593,19.95935624995677,26.366846178721893","19.24210201204515,35.69836511625227,28.80012379316081",4306,775,CpG:,615,2,2,7.6609;7.22643,4.80548;3.43277,4036568,4040874
