gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj,category
1110059G10Rik,chr9,122950701,122951318,2.795735761607088,201.5901065557016,72.10628033023424,both,318,465.8486467,-0.393180292,0.007990224,non-deregulated
1190007I07Rik,chr10,82622660,82623248,3.614722123409829,160.73964145811047,44.46804926362695,both,20,287.6364539,-0.389061229,0.021163149,non-deregulated
1600012H06Rik,chr17,14942933,14943937,2.5101993491147283,136.93569552938,54.55172139124054,both,251,939.0188422,-0.38199612,2.34957e-05,non-deregulated
1700066M21Rik,chr1,57377474,57378019,1.583653008434249,38.43378230919285,24.26906784788176,both,146,2193.093694,-0.420483034,3.8399e-08,non-deregulated
1700123O20Rik,chr14,54686229,54686999,1.013389120762183,1382.1592696687542,1363.8978762957456,both,58,1040.377327,-0.43949603,6.56511e-05,non-deregulated
1810013L24Rik,chr16,8829338,8831232,1.117949384797582,1231.2838448815328,1101.3770941914972,both,762,2467.010625,0.245070621,0.001824584,non-deregulated
1810026B05Rik,chr7,73557794,73558678,0.8714634347063065,476.4406543453888,546.7133047365951,both,283,1343.127067,-0.327154979,0.000439013,non-deregulated
1810058I24Rik,chr6,35252564,35252894,1.847822265342654,243.7885221574525,131.93288485039724,both,90,1460.848554,-0.243675627,0.025913681,non-deregulated
2310009B15Rik,chr1,138856300,138856821,0.3732689410426215,23.178190584509963,62.09514919663079,both,31,210.8883391,-0.369646625,0.047118404,non-deregulated
2310011J03Rik,chr10,80320132,80320614,5.35915110855655,112.3067412765347,20.956069161256348,both,77,337.0495674,-0.395875275,0.018051324,non-deregulated
2310057M21Rik,chr7,131362266,131363378,2.205232851835337,270.1848241113308,122.5198617399816,both,619,606.9535362,-0.280925471,0.018705853,non-deregulated
2310061I04Rik,chr17,35896840,35897494,1.5187497713503777,60.38525583905229,39.75984522148206,both,63,393.9996505,0.4653206,0.000360295,non-deregulated
2510009E07Rik,chr16,21694141,21695013,2.356665781804734,377.29276459462494,160.0959998263709,both,348,3733.103657,-0.247036586,0.000877795,non-deregulated
2610301B20Rik,chr4,10874291,10875069,2.595253022690668,276.8689436852597,106.68283256567086,both,207,2598.009253,-0.180941355,0.021459357,non-deregulated
2610507B11Rik,chr11,78261417,78262363,1.553900400270168,79.84529867010382,51.38379439005329,both,335,15487.87167,0.253847936,5.97852e-05,non-deregulated
2810021J22Rik,chr11,58867173,58867417,1.211565546361174,16.417098579302557,13.550318122374646,both,43,212.1408728,-0.496102143,0.005396106,non-deregulated
2810459M11Rik,chr1,86045856,86046583,4.308844615695644,122.99965009276616,28.54585418205164,both,7,1940.084243,0.184456918,0.034008479,non-deregulated
4833420G17Rik,chr13,119462635,119463119,1.0668211367190408,83.82724291762618,78.5766611031283,both,124,824.7940597,-0.34727675,0.001885382,non-deregulated
