chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chrX,169994005,169994235,50.38062298952878,0.0,inf,1.0,neu_only,neu_only,False,3,0,"79.67720000298469,34.95183007097069,36.51283889463096","0.0,0.0,0.0",273,230,CpG:,1881,2,0,9.62838;3.81024,,169993992,169994265
chr1,37875331,37875824,32.20136559161852,0.0,inf,1.0,neu_only,neu_only,False,3,0,"23.92086616874987,64.71876763466759,7.964462971438099","0.0,0.0,0.0",574,493,CpG:,873,2,0,3.506;7.0455,,37875230,37875804
chr10,33624362,33624567,37.35974114904955,0.0,inf,1.0,neu_only,neu_only,False,3,0,"24.53087866163172,54.081883270172064,33.46646151534485","0.0,0.0,0.0",1166,205,CpG:,841,3,0,3.64482;6.95828;3.58009,,33623658,33624824
chr5,119006032,119006424,36.93937251955964,0.0,inf,1.0,neu_only,neu_only,False,3,0,"32.28273413902105,69.0559522052144,9.479431214443473","0.0,0.0,0.0",215,392,CpG:,1492,1,0,3.6874,,119005838,119006053
chr17,10318116,10318532,18.370747106626755,0.0,inf,1.0,neu_only,neu_only,False,3,0,"13.90983703976046,20.597925882637057,20.604478397482747","0.0,0.0,0.0",673,416,CpG:,663,2,0,4.14638;2.73656,,10317690,10318363
chr16,38445742,38446050,53.01868396112565,0.0,inf,1.0,neu_only,neu_only,False,3,0,"37.21201617377145,120.35372565774357,1.4903100518619312","0.0,0.0,0.0",238,308,CpG:,878,2,0,3.12854;7.4727,,38445748,38445986
chr5,119682707,119682954,12.93146864980714,0.0,inf,1.0,neu_only,neu_only,False,3,0,"5.401100728101346,31.743470915071256,1.649834306248815","0.0,0.0,0.0",546,247,CpG:,1498,1,0,5.35125,,119682700,119683246
chr14,65730733,65731067,12.957022870363788,0.0,inf,1.0,neu_only,neu_only,False,2,0,"20.373456834237786,0.0,18.49761177685358","0.0,0.0,0.0",711,334,CpG:,1086,1,0,2.75609,,65730503,65731214
chr10,50900711,50901152,30.462525107139765,0.0,inf,1.0,neu_only,neu_only,False,2,0,"4.12861171434092,87.25896360707837,0.0","0.0,0.0,0.0",172,441,CpG:,973,1,0,4.69408,,50900937,50901109
chr16,18976402,18976773,16.5453116521851,0.0,inf,1.0,neu_only,neu_only,False,3,0,"13.128648093964275,13.90849629294109,22.598790569649932","0.0,0.0,0.0",609,371,CpG:,729,2,0,2.76122;4.53478,,18976404,18977013
chr2,87526007,87526220,31.36599450131509,0.0,inf,1.0,neu_only,neu_only,False,3,0,"15.720078554032725,39.30960658592514,39.0682983639874","0.0,0.0,0.0",395,213,CpG:,1252,1,0,3.75462,,87526053,87526448
chr14,72980207,72980461,11.035005411586246,0.0,inf,1.0,neu_only,neu_only,False,2,0,"19.172534320805525,0.0,13.932481913953215","0.0,0.0,0.0",1184,254,CpG:,1141,2,0,3.80006;3.24783,,72979900,72981084
chr17,24752550,24753529,5.444540979569418,0.0,inf,1.0,neu_only,neu_only,False,2,0,"14.38285932206271,0.0,1.9507636166455453","0.0,0.0,0.0",456,979,CpG:,773,1,0,5.75813,,24752224,24752680
chr4,21678219,21679876,31.3126366691515,0.0,inf,1.0,neu_only,neu_only,False,2,0,"0.0,89.47666933383161,4.46124067362289","0.0,0.0,0.0",171,1657,CpG:,750,1,0,4.69408,,21679502,21679673
chr2,74655439,74656362,3.0634629720102544,0.0,inf,1.0,neu_only,neu_only,False,2,0,"1.4745040734608967,7.715884842569866,0.0","0.0,0.0,0.0",1008,923,CpG:,1154,1,0,2.71689,,74655205,74656213
chr15,27665505,27665735,10.209457044823225,0.0,inf,1.0,neu_only,neu_only,False,2,0,"21.057285242302473,0.0,9.571085892167202","0.0,0.0,0.0",430,230,CpG:,796,1,0,3.24765,,27665482,27665912
chr2,74752888,74753402,16.212139554512806,0.0,inf,1.0,neu_only,neu_only,False,2,0,"11.841375781939579,36.79504288159884,0.0","0.0,0.0,0.0",208,514,CpG:,1155,1,0,2.4851,,74752940,74753148
chr1,171063939,171065960,24.539306747180788,0.0,inf,1.0,neu_only,neu_only,False,3,0,"3.808997724309314,62.260251881689996,7.548670635543056","0.0,0.0,0.0",179,2021,CpG:,1890,1,0,8.22196,,171064490,171064669
chr10,76374961,76375235,11.936971539198751,0.0,inf,1.0,neu_only,neu_only,False,2,0,"2.073240764213331,0.0,33.73767385338292","0.0,0.0,0.0",264,274,CpG:,1167,1,0,3.4798,,76374712,76374976
chr1,166238497,166238965,14.209165266554976,0.0,inf,1.0,neu_only,neu_only,False,2,0,"40.36987819354494,2.257617606119985,0.0","0.0,0.0,0.0",421,468,CpG:,1853,1,0,3.43534,,166238240,166238661
chr3,107595121,107597090,16.673546575463337,0.0,inf,1.0,neu_only,neu_only,False,2,0,"0.0,21.93157822982125,28.089061496568764","0.0,0.0,0.0",460,1969,CpG:,1405,2,0,3.03294;3.32241,,107595962,107596422
chr8,70842583,70842831,17.15198241006045,0.0,inf,1.0,neu_only,neu_only,False,3,0,"36.5026701529195,1.210634899890329,13.742642177371529","0.0,0.0,0.0",254,248,CpG:,1125,1,0,3.37498,,70842347,70842601
chr6,135732972,135733232,55.31256016958833,0.0,inf,1.0,neu_only,neu_only,False,3,0,"10.593409700313982,151.97251373546038,3.3717570729906514","0.0,0.0,0.0",359,260,CpG:,1620,1,0,8.30443,,135732795,135733154
chr12,109399647,109399930,19.138828954039184,0.0,inf,1.0,neu_only,neu_only,False,3,0,"20.727311381398994,2.410684364945141,34.27849111577341","0.0,0.0,0.0",938,283,CpG:,1419,3,0,5.72153;6.03194;4.19349,,109399033,109399971
chr6,126164583,126165062,5.494821062620442,0.0,inf,1.0,neu_only,neu_only,False,2,0,"11.214949781671534,0.0,5.269513406189792","0.0,0.0,0.0",812,479,CpG:,1547,1,0,2.95005,,126164924,126165736
chr13,13393039,13393980,16.22385855140926,0.0,inf,1.0,neu_only,neu_only,False,1,0,"0.0,48.67157565422778,0.0","0.0,0.0,0.0",212,941,CpG:,687,1,0,7.98149,,13393908,13394120
chr8,87943718,87944082,16.97255999476344,0.0,inf,1.0,neu_only,neu_only,False,3,0,"41.15857815957284,6.715829823468183,3.043272001249296","0.0,0.0,0.0",444,364,CpG:,1255,1,0,3.81865,,87943829,87944273
chr3,99240888,99241581,41.17021160338674,0.0,inf,1.0,neu_only,neu_only,False,2,0,"13.297325481068004,110.21330932909221,0.0","0.0,0.0,0.0",209,693,CpG:,1342,1,0,6.90305,,99241367,99241576
chr16,21612998,21613283,14.518739789219223,0.0,inf,1.0,neu_only,neu_only,False,3,0,"2.5891296297816906,1.9741970603748904,38.992892677501096","0.0,0.0,0.0",236,285,CpG:,749,1,0,2.92856,,21613251,21613487
chr7,49911830,49912323,27.4646321382278,0.0,inf,1.0,neu_only,neu_only,False,3,0,"19.10048686541044,51.51899440471943,11.77441514455355","0.0,0.0,0.0",208,493,CpG:,965,1,0,3.20461,,49912202,49912410
chr17,26844182,26844781,58.119622772618335,0.0,inf,1.0,neu_only,neu_only,False,2,0,"12.516180008336118,161.8426883095189,0.0","0.0,0.0,0.0",190,599,CpG:,789,1,0,9.38815,,26844661,26844851
chr17,26838631,26839820,20.38367994547677,0.0,inf,1.0,neu_only,neu_only,False,2,0,"21.489822552935912,0.0,39.6612172834944","0.0,0.0,0.0",202,1189,CpG:,789,1,0,2.76763,,26839792,26839994
chr8,84923762,84924030,20.26891601928557,0.0,inf,1.0,neu_only,neu_only,False,3,0,"52.712765106047044,1.4118545705621892,6.682128381247472","0.0,0.0,0.0",198,268,CpG:,1232,1,0,4.07301,,84923740,84923938
chr9,26755649,26756070,18.92425213631648,0.0,inf,1.0,neu_only,neu_only,False,3,0,"27.215339746652294,9.120474564301873,20.436942097995264","0.0,0.0,0.0",1508,421,CpG:,789,2,0,4.14359;3.30853,,26755446,26756954
chr9,40871768,40872035,23.734220830343105,0.0,inf,1.0,neu_only,neu_only,False,3,0,"18.52356089776562,7.093856214707897,45.58524537855579","0.0,0.0,0.0",310,267,CpG:,896,1,0,3.99151,,40871953,40872263
chr6,90325047,90325311,11.392309650898993,0.0,inf,1.0,neu_only,neu_only,False,1,0,"34.176928952696976,0.0,0.0","0.0,0.0,0.0",785,264,CpG:,1274,2,0,3.6531;8.12755,,90325054,90325839
chr11,72314388,72314632,26.490342404702844,0.0,inf,1.0,neu_only,neu_only,False,3,0,"18.43239145060532,2.750413166657659,58.28822259684556","0.0,0.0,0.0",262,244,CpG:,1136,1,0,4.68808,,72314219,72314481
chr6,113501731,113502045,48.10878616111631,0.0,inf,1.0,neu_only,neu_only,False,3,0,"51.46674082891703,48.536415181089104,44.323202473342796","0.0,0.0,0.0",471,314,CpG:,1450,3,0,5.46789;6.63164;4.48429,,113501716,113502187
chr11,82931232,82932122,1.7097100803464669,0.0,inf,1.0,neu_only,neu_only,False,3,0,"0.3295619960924564,2.048273022004864,2.75129522294208","0.0,0.0,0.0",2076,890,CpG:,1217,1,0,4.56481,,82930543,82932619
chr6,91843353,91843917,19.045510145713543,0.0,inf,1.0,neu_only,neu_only,False,2,0,"1.7734716958013075,55.36305874133932,0.0","0.0,0.0,0.0",290,564,CpG:,1285,1,0,3.20492,,91843679,91843969
chr2,32594072,32594295,13.65479695238686,0.0,inf,1.0,neu_only,neu_only,False,1,0,"40.96439085716058,0.0,0.0","0.0,0.0,0.0",363,223,CpG:,833,1,0,4.23938,,32593883,32594246
chr13,46771211,46771472,30.25575299835205,0.0,inf,1.0,neu_only,neu_only,False,3,0,"75.05095483398438,8.982764213562012,6.733539947509765","0.0,0.0,0.0",250,261,CpG:,941,1,0,5.24277,,46771181,46771431
chr18,77441514,77441726,37.71929554249111,0.0,inf,1.0,neu_only,neu_only,False,3,0,"15.730606650051318,52.016468054369874,45.41081192305214","0.0,0.0,0.0",304,212,CpG:,1175,2,0,8.65638;3.51641,,77441651,77441955
chr7,18402702,18403107,8.439712748904407,0.0,inf,1.0,neu_only,neu_only,False,2,0,"7.566262312659395,0.0,17.75287593405383","0.0,0.0,0.0",1067,405,CpG:,725,1,0,3.09868,,18403028,18404095
chr2,144393401,144393650,33.68538935121586,0.0,inf,1.0,neu_only,neu_only,False,3,0,"17.03210664824616,74.00945015090832,10.01461125449311","0.0,0.0,0.0",1390,249,CpG:,1686,3,0,3.24524;7.71701;2.83982,,144393145,144394535
chr8,122630710,122630962,14.793439096258592,0.0,inf,1.0,neu_only,neu_only,False,3,0,"25.01855379703433,1.155746992244277,18.20601649949717","0.0,0.0,0.0",860,252,CpG:,1520,1,0,3.35139,,122630122,122630982
chr7,19286809,19287011,25.834950339251503,0.0,inf,1.0,neu_only,neu_only,False,3,0,"27.02175669733123,50.40868833096542,0.07440598945785724","0.0,0.0,0.0",227,202,CpG:,732,1,0,3.58959,,19286835,19287062
chr8,111910100,111910333,20.929504880743806,0.0,inf,1.0,neu_only,neu_only,False,3,0,"4.576012539438423,45.70900637361084,12.503495729182156","0.0,0.0,0.0",729,233,CpG:,1438,1,0,4.78951,,111910268,111910997
chr8,57340917,57341421,28.86843638811409,0.0,inf,1.0,neu_only,neu_only,False,3,0,"11.22035939916806,52.87087471864322,22.514075046530994","0.0,0.0,0.0",918,504,CpG:,1022,3,0,3.16777;9.47439;3.11426,,57340826,57341744
chr15,88982749,88983169,13.445820573830646,0.0,inf,1.0,neu_only,neu_only,False,3,0,"23.843169324086688,12.274265140881479,4.220027256523774","0.0,0.0,0.0",1118,420,CpG:,1263,1,0,3.02013,,88982523,88983641
