seqnames,start,end,distanceToTSS,geneId,SYMBOL
chr1,5018557,5019711,0,58175,Rgs20
chr1,11414060,11414465,0,320492,A830018L16Rik
chr1,12991485,12992784,0,240726,Slco5a1
chr1,13660231,13660732,0,212442,Lactb2
chr1,15805591,15806108,0,21749,Terf1
chr1,23761822,23763204,0,280645,B3gat2
chr1,34006046,34006248,0,13518,Dst
chr1,34459407,34459964,0,19253,Ptpn18
chr1,36068460,36069216,60,50785,Hs6st1
chr1,36511763,36513006,0,94218,Cnnm3
chr1,36938841,36940122,0,56030,Tmem131
chr1,37299840,37300507,0,269180,Inpp4a
chr1,37429777,37430415,0,67387,Unc50
chr1,39576525,39577527,0,67702,Rnf149
chr1,43098480,43098954,0,73122,Tgfbrap1
chr1,53296788,53297379,0,227099,Pms1
chr1,57774698,57775632,0,67198,Spats2l
chr1,58392748,58393897,0,66882,Bzw1
chr1,58504543,58505162,0,18393,Orc2
chr1,62705850,62707032,2148,18187,Nrp2
chr1,66175311,66175645,0,17756,Map2
chr1,67038520,67038937,0,14768,Lancl1
chr1,71556948,71557367,0,108147,Atic
chr1,77514349,77515453,0,13838,Epha4
chr1,78657622,78658549,0,195434,Utp14b
chr1,79775983,79776386,0,69163,Mrpl44
chr1,82316445,82316916,0,76867,Rhbdd1
chr1,82724792,82725181,0,75734,Mff
chr1,84838454,84840300,0,14897,Trip12
chr1,90603176,90603710,0,108679,Cops8
chr1,91297895,91298794,0,50880,Scly
chr1,92831686,92832865,0,14733,Gpc1
chr1,93753866,93755348,0,66615,Atg4b
chr1,97976934,97977255,0,18484,Pam
chr1,104768481,104768920,0,23836,Cdh20
chr1,127868687,127869081,0,226407,Rab3gap1
chr1,130716676,130717833,0,18640,Pfkfb2
chr1,132007342,132008412,0,13714,Elk4
chr1,134415248,134415959,0,72674,Adipor1
chr1,134494514,134494948,0,98710,Rabif
chr1,135313596,135313916,0,21854,Timm17a
chr1,135687731,135688484,0,215690,Nav1
chr1,155416849,155417545,0,19775,Xpr1
chr1,161969118,161969514,0,67292,Pigc
chr1,166409386,166410061,0,71592,Pogk
chr1,167394071,167394421,-230,66447,Mgst3
chr1,170885006,170885507,0,80915,Dusp12
chr1,171328889,171329488,0,21945,Dedd
chr1,180195709,180196322,0,67426,Coq8a
chr1,189007232,189007958,0,226823,Kctd3
chr1,190911493,190911931,0,320119,Rps6kc1
chr1,192834625,192835051,0,320952,A730013G03Rik
chr1,194619660,194620876,0,18845,Plxna2
chr10,7662740,7663629,0,18537,Pcmt1
chr10,8517905,8518786,39,338362,Ust
chr10,9674617,9675547,0,320825,Samd5
chr10,9900396,9901332,0,78808,Stxbp5
chr10,13964565,13967616,0,15273,Hivep2
chr10,19015098,19015597,0,21929,Tnfaip3
chr10,19907369,19907747,0,18634,Pex7
chr10,23786957,23787467,0,20042,Rps12
chr10,29146671,29147681,0,67412,Soga3
chr10,29313242,29313586,0,52665,Echdc1
chr10,30842340,30843237,0,15214,Hey2
chr10,39133882,39134286,0,66337,Fam229b
chr10,40024853,40025279,0,215929,Mfsd4b1
chr10,41450337,41450690,0,268294,Zbtb24
chr10,42678828,42679395,0,14628,Ostm1
chr10,43221048,43222034,0,71365,Pdss2
chr10,43901301,43901869,0,170728,Rtn4ip1
chr10,50592508,50593018,0,77987,Ascc3
chr10,59616123,59616735,0,215999,Mcu
chr10,60752587,60752945,0,71279,Slc29a3
chr10,60830546,60831810,0,107449,Unc5b
chr10,67912176,67912562,0,216049,Zfp365
chr10,71347544,71348544,0,69718,Ipmk
chr10,75764077,75764516,0,104248,Cabin1
chr10,75921139,75921943,0,20587,Smarcb1
chr10,76344761,76345569,0,64451,Dip2a
chr10,78009316,78009964,0,18641,Pfkl
chr10,78464507,78465077,0,216134,Pdxk
chr10,82048213,82048478,70,408062,Zfp873
chr10,82858991,82859430,0,102641476,Gm38560
chr10,82860219,82860691,0,50493,Txnrd1
chr10,82985164,82985876,0,58250,Chst11
chr10,84440223,84441455,0,77976,Nuak1
chr10,86300264,86300837,0,21859,Timp3
chr10,87058383,87058611,337,76640,1700113H08Rik
chr10,89732032,89732462,0,67019,Actr6
chr10,93640822,93641527,0,57764,Ntn4
chr10,94198898,94199118,0,66414,Ndufa12
chr10,94688296,94689126,0,67723,Cep83os
chr10,100588950,100589339,0,68281,Rlig1
chr10,121033870,121034143,0,24117,Wif1
chr10,121586706,121587024,0,56480,Tbk1
chr10,123196325,123197341,0,14479,Usp15
chr10,128411345,128411845,0,67588,Rnf41
chr11,3288696,3288937,0,56218,Patz1
chr11,3452179,3452683,0,193670,Rnf185
chr11,3894617,3895477,0,67430,4921536K21Rik
chr11,6274673,6275009,0,103694,Tmed4
chr11,16507843,16508363,0,20335,Sec61g
chr11,22003780,22004051,-883,18423,Otx1
chr11,22858860,22859999,0,53625,B3gnt2
chr11,23770520,23771541,0,19696,Rel
chr11,26387147,26387495,0,67030,Fancl
chr11,26593361,26593788,0,69922,Vrk2
chr11,30267515,30268545,0,20742,Sptbn1
chr11,30649110,30649612,0,75572,Acyp2
chr11,30885287,30885607,0,237716,Gpr75
chr11,30953846,30954096,56,66753,Erlec1
chr11,32267338,32267732,0,17168,Nprl3
chr11,33513021,33513849,0,66011,Ranbp17
chr11,34833362,34833910,0,70385,Spdl1
chr11,43528462,43529487,0,380694,Ccnjl
chr11,44470111,44470811,0,79560,Ublcp1
chr11,46056019,46056350,0,11492,Adam19
chr11,50131269,50131721,0,76795,Tbc1d9b
chr11,50236431,50237500,57,17001,Ltc4s
chr11,50291634,50292618,0,103806,Maml1
chr11,51059272,51059496,0,21408,Zfp354a
chr11,52004136,52004446,0,213084,Cdkl3
chr11,53567249,53567852,0,16568,Kif3a
chr11,60776788,60777767,0,21975,Top3a
chr11,60931508,60932362,0,24082,Map2k3os
chr11,65807181,65807498,0,52712,Zkscan6
chr11,68967717,68968283,0,71998,Slc25a35
chr11,69795499,69796039,0,11443,Chrnb1
chr11,70562702,70563196,0,50932,Mink1
chr11,70687654,70688177,0,216874,Camta2
chr11,71750622,71751672,0,216881,Wscd1
chr11,72266199,72267320,0,237831,Slc13a5
chr11,73047667,73048396,0,66874,Ncbp3
chr11,74925445,74926404,0,103677,Smg6
chr11,77607212,77608155,0,216965,Taok1
chr11,78176583,78177296,0,140859,Nek8
chr11,79145639,79146666,0,16706,Ksr1
chr11,80080766,80081053,0,54394,Crlf3
chr11,82763856,82764791,0,12467,Cct6b
chr11,86993023,86993951,0,77864,Ypel2
chr11,89060000,89060939,0,56077,Dgke
chr11,90637769,90638673,0,20913,Stxbp4
chr11,93955400,93956062,0,18103,Nme2
chr11,94321399,94322144,0,67684,Luc7l3
chr11,95041096,95041507,0,18604,Pdk2
chr11,96777424,96777830,0,74479,Snx11
chr11,98863489,98864070,0,68524,Wipf2
chr11,100622804,100623050,0,71966,Nkiras2
chr11,101784509,101785248,0,18612,Etv4
chr11,102604501,102606498,105,57265,Fzd2
chr11,102924799,102925274,0,70218,Kif18b
chr11,104441968,104443073,0,76719,Kansl1
chr11,115187227,115187538,0,320534,Tmem104
chr11,115491594,115491879,0,50773,Nt5c
chr11,116130558,116131201,0,338364,Trim65
chr11,116273752,116274225,0,217337,Srp68
chr12,4038394,4039169,0,668212,Efr3b
chr12,4817253,4817906,0,66055,Sf3b6
chr12,8673955,8674910,0,80913,Pum2
chr12,8973788,8974262,0,74682,Wdr35
chr12,14151807,14152353,0,105005,Lratd1
chr12,17690630,17691536,0,53602,Hpcal1
chr12,21373232,21374059,0,11491,Adam17
chr12,26469171,26469850,0,22169,Cmpk2
chr12,28675146,28675589,0,104923,Adi1
chr12,28750203,28750524,0,217449,Trappc12
chr12,28751791,28752033,0,380752,Eipr1
chr12,30911475,30912293,0,11431,Acp1
chr12,32060616,32061258,0,19088,Prkar2b
chr12,45074002,45074634,0,217517,Stxbp6
chr12,51377346,51377622,0,76983,Scfd1
chr12,54203111,54203938,0,112407,Egln3
chr12,57230278,57230924,0,328099,Prps1l3
chr12,64917786,64918353,0,217648,Gm527
chr12,67220630,67222891,0,320772,Mdga2
chr12,69241757,69242228,0,271005,Klhdc1
chr12,70452890,70453367,0,72736,Tmx1
chr12,73964395,73964972,0,75627,Snapc1
chr12,84408397,84409190,0,12499,Entpd5
chr12,85219146,85219906,0,217715,Eif2b2
chr12,87471872,87472369,0,66354,Snw1
chr12,91848814,91849048,81,20338,Sel1l
chr12,95695187,95695876,0,399558,Flrt2
chr12,98258804,98259454,0,14420,Galc
chr12,99884434,99884855,0,104884,Tdp1
chr12,101082443,101084074,0,319760,D130020L05Rik
chr12,101957878,101958412,0,110616,Atxn3
chr12,102948857,102949644,0,217843,Unc79
chr12,103425495,103426077,0,27225,Ddx24
chr12,110888690,110889614,0,104859,Tecpr2
chr12,111537507,111539183,0,217869,Eif5
chr12,116405180,116405776,0,319545,D430020J02Rik
chr12,119237786,119238102,668,320910,Itgb8
chr13,3610510,3611307,0,105203,Tasor2
chr13,3917723,3918274,0,238463,Tubal3
chr13,8870777,8871471,0,207615,Wdr37
chr13,8995785,8996419,0,69237,Gtpbp4
chr13,9094460,9094725,478,217980,Larp4b
chr13,12565826,12566382,0,67475,Ero1b
chr13,13590248,13591004,0,17101,Lyst
chr13,15462833,15464498,0,14634,Gli3
chr13,17993052,17993423,0,67008,Yae1d1
chr13,18948372,18949027,0,218038,Amph
chr13,19623025,19623283,0,20379,Sfrp4
chr13,21753505,21753794,33,319169,H2ac15
chr13,23535285,23535842,0,97908,H3c8
chr13,24280420,24281398,0,68732,Carmil1
chr13,34162935,34163304,0,69666,Psmg4
chr13,34344129,34345588,0,73102,Slc22a23
chr13,36735064,36735286,0,68404,Nrn1
chr13,41016245,41016635,0,66154,Tmem14c
chr13,43171283,43171787,0,67046,Tbc1d7
chr13,45507386,45507769,0,66355,Gmpr
chr13,45963397,45965460,0,20238,Atxn1
chr13,51644876,51645761,0,66197,Cks2
chr13,54564983,54565451,0,97820,4833439L19Rik
chr13,54789073,54790023,0,74257,Tspan17
chr13,55099818,55100253,1,20184,Uimc1
chr13,55536244,55536886,0,72935,Ddx41
chr13,56702856,56703942,0,17129,Smad5
chr13,58215251,58216067,0,56085,Ubqln1
chr13,58806417,58807080,0,18212,Ntrk2
chr13,60601761,60602653,0,69635,Dapk1
chr13,64369856,64370443,0,13039,Ctsl
chr13,64432348,64432883,0,105278,Cdk20
chr13,65112511,65113001,0,66631,Mfsd14b
chr13,66932700,66933520,0,19210,Ptdss1
chr13,67552939,67553199,0,212276,Zfp748
chr13,69533424,69535192,0,210106,Tent4a
chr13,69738588,69740070,0,76980,Ube2ql1
chr13,74317304,74317657,0,18570,Pdcd6
chr13,75707246,75708619,0,192657,Ell2
chr13,85189330,85189666,0,66671,Ccnh
chr13,91807249,91807719,0,69085,Zcchc9
chr13,95374831,95375441,0,66549,Aggf1
chr13,96542873,96543417,118,68018,Cert1
chr13,104228524,104229200,0,238831,Ppwd1
chr13,104817028,104817334,0,67285,Cwc27
chr14,11161667,11161890,142,14198,Fhit
chr14,11553365,11554460,0,19270,Ptprg
chr14,14702707,14703781,0,218756,Slc4a7
chr14,26668417,26670139,0,102465773,Mir7672
chr14,29978335,29978793,0,56249,Actr8
chr14,31250806,31251709,0,104416,Bap1
chr14,46760328,46760830,0,72391,Cdkn3
chr14,49065833,49066540,0,105504,Exoc5
chr14,51913071,51913507,0,29811,Ndrg2
chr14,51913746,51913964,133,29811,Ndrg2
chr14,54603235,54603593,2400,74359,4931414P19Rik
chr14,54863827,54864469,0,239099,Homez
chr14,55884760,55885300,0,219094,Khnyn
chr14,56571498,56572019,0,219103,Cenpj
chr14,56777592,56778439,0,66645,Pspc1
chr14,57398263,57398546,0,68631,Cryl1
chr14,57423968,57424412,0,21821,Ift88
chr14,57664861,57665494,0,57258,Xpo4
chr14,59440675,59441049,0,239122,Setdb2
chr14,61046070,61046642,0,29820,Tnfrsf19
chr14,61172675,61173531,0,50720,Sacs
chr14,62555511,62555970,0,629059,Fam124a
chr14,64440539,64441017,0,110265,Msra
chr14,65097696,65098287,0,54616,Extl3
chr14,70351027,70351579,0,213053,Slc39a14
chr14,70577466,70578210,0,213484,Nudt18
chr14,70889700,70890049,-71,14586,Gfra2
chr14,75284049,75284748,0,67302,Zc3h13
chr14,78724770,78725265,0,380921,Dgkh
chr14,99099323,99100013,0,52023,Pibf1
chr14,103346112,103347012,0,105689,Mycbp2
chr14,116925377,116926927,0,23888,Gpc6
chr14,119098953,119099592,0,102635192,Gm16835
chr14,122463429,122465286,391,65100,Zic5
chr15,3979154,3979562,11,106052,Fbxo4
chr15,5185695,5185951,0,67515,Ttc33
chr15,5243924,5244466,0,19219,Ptger4
chr15,6707477,6709529,0,78757,Rictor
chr15,7129140,7129988,0,16880,Lifr
chr15,8443622,8445583,0,71175,Nipbl
chr15,10485668,10486508,0,19355,Rad1
chr15,12321519,12322423,0,66629,Golph3
chr15,12739312,12740114,0,68070,Pdzd2
chr15,26894904,26895771,0,448987,Fbxl7
chr15,30172358,30173548,0,18163,Ctnnd2
chr15,31224121,31224744,0,223453,Dap
chr15,32920846,32921136,123,15529,Sdc2
chr15,52040030,52040580,0,239435,Aard
chr15,52712361,52712754,0,69790,Med30
chr15,53345591,53346538,0,14042,Ext1
chr15,55112229,55112906,0,97998,Deptor
chr15,58933575,58933986,0,66218,Ndufb9
chr15,60822970,60825075,0,320469,9930014A18Rik
chr15,64382175,64383019,0,13196,Asap1
chr15,67176740,67177521,0,20442,St3gal1
chr15,73645273,73645992,0,106068,Slc45a4
chr15,75703981,75704540,0,14787,Rhpn1
chr15,76477162,76477911,0,12181,Bop1
chr15,78405626,78405862,45,22117,Tst
chr15,78947735,78948013,0,110253,Triobp
chr15,82244142,82244794,0,66570,Cenpm
chr15,82338754,82339079,0,17939,Naga
chr15,84231912,84232333,0,170736,Parvb
chr15,84922961,84924068,0,18141,Nup50
chr15,85036799,85037283,0,73225,Fam118a
chr15,89196014,89196641,0,69440,Dennd6b
chr15,92396922,92397500,41,239618,Pdzrn4
chr15,93519015,93519601,0,106042,Prickle1
chr15,93595302,93596105,0,106042,Prickle1
chr15,97705428,97705912,0,71919,Rpap3
chr15,98001890,98002284,-3,12824,Col2a1
chr15,99457098,99458145,0,380969,Nckap5l
chr15,100761580,100762240,0,59033,Slc4a8
chr16,4684006,4684336,0,83945,Dnaja3
chr16,8637253,8638035,0,54128,Pmm2
chr16,10542419,10543148,0,58239,Dexi
chr16,10784214,10786191,0,12703,Socs1
chr16,11175775,11176512,0,106205,Zc3h7a
chr16,16146612,16146946,0,224008,Spidr
chr16,16358539,16359085,0,74006,Dnm1l
chr16,17131581,17132606,0,64136,Sdf2l1
chr16,17508816,17509223,0,66863,Lztr1
chr16,20498869,20499147,52,224045,Eif2b5
chr16,35490207,35490993,0,72599,Pdia5
chr16,35768871,35769540,0,224132,Slc49a4
chr16,38346898,38347251,0,12856,Cox17
chr16,38452467,38452985,0,11544,Adprh
chr16,39984466,39984898,0,268890,Lsamp
chr16,44347322,44347812,0,212514,Spice1
chr16,45742693,45742974,0,213012,Abhd10
