category,gene,chromosome,start,end,bm3_signal,avg_bg_signal,fold_change,is_higher_than_bg
up,2810029C07Rik,chr12,111574329,111575376,139.3804340209961,23.631936072031653,5.897969324060272,True
up,2900026A02Rik,chr5,113137765,113138844,257.4199226074219,38.48505703481039,6.688827883887016,True
up,2900026A02Rik,chr5,113220579,113221436,8.669582885742187,24.345151342391972,0.35611127504662204,False
up,6330403K07Rik,chr11,71033181,71033484,913.6424792480469,37.24413028526306,24.53118041018027,True
up,9930014A18Rik,chr15,60822970,60825075,505.50446484375,20.38870523262024,24.793357845744158,True
up,Aak1,chr6,86849544,86849940,0.0,42.55324311637879,0.0,False
up,Abat,chr16,8513265,8513607,511.5050364379883,95.48770915285746,5.35676309522901,True
up,Abhd4,chr14,54253700,54254197,216.73957733154296,49.255408999125166,4.400320324929035,True
up,Abr,chr11,76436955,76437213,0.0,30.91920778083801,0.0,False
up,Abr,chr11,76494492,76495221,880.9644622192383,72.9517897122701,12.075981489883377,True
up,Abr,chr11,76622237,76623850,547.1846720581054,16.000586602210998,34.19778822249518,True
up,Acer3,chr7,98308966,98309678,357.45377465820314,61.56083073425293,5.8065131739574305,True
up,Actn4,chr7,28961910,28962478,230.07820617675782,37.999469088872274,6.054774229572952,True
up,Adamts14,chr10,61273127,61273655,667.392524597168,39.07736854044597,17.078747866719876,True
up,Adamts8,chr9,30942520,30943344,348.11761895751954,26.77187064997355,13.003111493737308,True
up,Adcy1,chr11,7063695,7064250,86.69596374511718,10.387671625773113,8.346043932502992,True
up,Ahnak,chr19,8989235,8989930,0.0,25.625203060785932,0.0,False
up,Ahr,chr12,35534505,35534998,0.0,28.757181759198506,0.0,False
up,Ajuba,chr14,54575687,54577650,140.0473260498047,21.61953139368693,6.477815059890688,True
up,Ak5,chr3,152486104,152486705,0.0,7.363169110616049,0.0,False
up,Akap17b,chrX,36644909,36645291,386.79752258300783,37.98396056493124,10.183180395888453,True
up,Ankib1,chr5,3802402,3803640,186.06258654785157,24.638912587165834,7.55157460336824,True
up,Ankrd29,chr18,12305494,12305853,0.0,45.2831148258845,0.0,False
up,Anks1b,chr10,89873018,89873556,143.38178619384766,34.988928355534874,4.097918768385663,True
up,Apcdd1,chr18,62922194,62922886,333.44576446533205,36.04745146115621,9.250189706882455,True
up,Arf3,chr15,98762433,98763412,502.1695106201172,57.67277081298828,8.707220123833991,True
up,Arhgap20,chr9,51764861,51766217,0.0,30.1699466158549,0.0,False
up,Arhgap31,chr16,38712700,38713353,294.7660692138672,67.00937959861756,4.398877753823412,True
up,Arhgap6,chrX,168796216,168796680,1147.7189510498047,20.348019983927408,56.40445369900218,True
