seqnames,start,end,distanceToTSS,geneId,SYMBOL
chr13,47043183,47044004,0,218214,Kdm1b
chr12,71831095,71831860,0,208846,Daam1
chr5,108132085,108132989,0,73130,Tmed5
chr17,34264511,34265096,1180,14961,H2-Ab1
chr8,69749631,69749956,6,620419,Zfp963
chr6,47830173,47830632,0,330301,Zfp786
chr6,115360967,115362226,16,19016,Pparg
chrX,152233406,152233786,134,20591,Kdm5c
chr5,90931120,90931445,0,665563,Mthfd2l
chr9,88481758,88483199,0,56403,Syncrip
chr7,125444606,125445208,0,77035,Kdm8
chr11,59191614,59192134,0,14923,Guk1
chr15,51877270,51877796,0,78581,Utp23
chr1,121327653,121328143,0,72999,Insig2
chr14,54641128,54641737,0,239096,Cdh24
chr4,108833263,108833800,0,70533,Btf3l4
chr14,26969890,26970847,0,72993,Appl1
chr4,40722233,40723250,0,15502,Dnaja1
chr12,102757312,102758334,0,100233175,Gon7
chr11,61266868,61267493,0,11671,Aldh3a2
chr6,86438328,86439022,0,232196,C87436
chr17,31276991,31277406,0,22092,Rsph1
chr4,32238406,32240295,0,12014,Bach2
chr1,156718337,156718908,164,215015,Fam20b
chr4,109665677,109667173,16,12580,Cdkn2c
chr17,46383388,46384503,0,57908,Zfp318
chr7,134224650,134225407,0,11489,Adam12
chr7,79504772,79505482,0,723968,Mir9-3
chr7,116333749,116334655,0,68052,Rps13
chr8,85299056,85300113,0,56452,Orc6
chr8,84908520,84909214,0,13423,Dnase2a
chr10,40883344,40884526,0,83767,Wasf1
chr1,74124244,74124923,0,21961,Tns1
chr11,103267034,103267850,0,53859,Map3k14
chr9,77917272,77918016,0,68801,Elovl5
chr10,84917514,84917973,0,237422,Ric8b
chr17,26507982,26508904,0,19252,Dusp1
chr19,10688656,10689219,0,107305,Vps37c
chr4,82504346,82506555,0,18028,Nfib
chr4,137681527,137681896,0,110351,Rap1gap
chr13,108044085,108044666,0,75616,Smim15
chr14,105895076,105895323,1496,24064,Spry2
chr13,119755651,119755894,0,245269,Nim1k
chr2,38643669,38644013,0,19177,Psmb7
chr5,124115908,124116699,0,65105,Arl6ip4
chr8,70139216,70139902,0,105980076,Mef2bl
chr11,102555764,102556459,0,237943,Gpatch8
chr15,73184091,73185471,0,239528,Ago2
chr15,55071916,55072237,0,319944,Taf2
chr6,37299800,37300061,0,320127,Dgki
chr3,96597431,96598815,795,545554,Ankrd34a
chr9,21546352,21547476,0,59035,Carm1
chr4,33310153,33310655,0,24018,Rngtt
chr2,102658650,102659347,0,20511,Slc1a2
chr9,22411367,22411818,0,68283,Matcap2
chr16,38562692,38563197,0,67846,Tmem39a
chr3,68572336,68572589,91,30953,Schip1
chr13,62964732,62965237,0,72061,Aopep
chr12,28649525,28649834,0,19819,Rnaseh1
chr10,58446725,58447449,0,19386,Ranbp2
chr19,41980924,41982472,0,226122,Ubtd1
chr16,91484935,91485537,0,15975,Ifnar1
chr6,121109702,121110111,0,194401,Mical3
chr18,32162806,32163600,0,26405,Map3k2
chr8,31150835,31151036,495,234138,Tti2
chr8,106059663,106060215,30,18021,Nfatc3
chr4,80911185,80911937,539,52829,Lurap1l
chr9,21312114,21312529,0,11768,Ap1m2
chr19,6235534,6235910,0,225849,Ppp2r5b
chr18,13970139,13970852,868,225207,Zfp521
chr18,13971238,13971610,110,225207,Zfp521
chr3,10439504,10440158,0,74718,Snx16
chr13,100744138,100744607,0,66128,Mrps36
chr2,53190977,53192516,0,56194,Prpf40a
