chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr2,127208233,127208604,38.046981515338764,21.77747982675163,1.7470791761956563,0.7,both,both,False,3,3,"10.466373705152256,35.78744629247865,67.88712454838539","3.646369397462304,37.154828888266834,24.531241194525762",1340,371,CpG:,1555,2,3,7.28644;7.91925,6.13481;14.5528;3.33054,127207288,127208628
chr2,127247484,127248719,31.951727197874423,12.947109594018277,2.46786566266779,0.1,both,both,False,3,3,"25.582257572232347,37.836976473632674,32.435947547758246","16.69002854902817,8.072563094998273,14.078737138028385",4844,1235,CpG:,1555,3,3,11.2707;9.92511;9.43047,8.92937;5.8473;9.18301,127244089,127248933
chr2,127269730,127270849,30.437223343215987,18.0149213686222,1.689556269517254,0.1,both,both,False,3,3,"30.53377419370946,27.547565212094685,33.230330623843805","17.613761700265776,23.91039502833917,12.52060737726165",3075,1119,CpG:,1555,3,3,7.16069;7.39026;6.70756,13.4562;5.03571;5.60414,127268970,127272045
chr2,127335968,127336736,18.887878838442997,11.063894075819453,1.707163744429111,0.7,both,both,False,3,3,"36.519166843713066,2.5249972606241227,17.619472410991797","6.160750144024186,12.613322582341693,14.41760950109248",2758,768,CpG:,1556,2,2,4.86104;7.78663,6.07666;3.68738,127335378,127338136
chr2,127362915,127363630,16.94866552939462,10.072512772088478,1.6826650819803737,0.4,both,both,False,3,3,"13.901929154355301,7.982138618864325,28.96192881496424","13.390171075958053,11.022115611982082,5.805251628325296",1989,715,CpG:,1556,3,2,5.00252;4.23402;6.53329,5.69683;6.38582,127362243,127364232
chr2,127444312,127444599,24.978635687279137,15.242404119462721,1.6387595743760932,0.2,both,both,False,3,3,"20.752116558535306,28.701313557695045,25.482476945607054","15.994051425636872,21.81046427252918,7.92269666022211",3327,287,CpG:,1557,3,3,5.92908;9.58001;6.48515,2.72068;7.1056;7.19263,127442247,127445574
chr2,127482109,127482724,22.906168411622218,16.928291645022338,1.3531293583518593,0.2,both,both,False,3,3,"17.712751513829392,19.916323640357394,31.089430080679872","16.122757851876717,18.986956073148004,15.675161010042284",5047,615,CpG:,1557,2,2,4.9925;2.53319,5.53245;4.00055,127480260,127485307
chr2,127541035,127541535,2.43956040532054,13.4595782046895,0.18125088083893773,0.3333333333333333,both,endo_only,False,2,2,"4.950910635031615,0.0,2.3677705809300047","0.0,20.371486562036555,20.007248052031944",1799,500,CpG:,1558,0,2,,3.97748;3.37158,127540803,127542602
chr2,127584568,127584792,61.710849063350686,57.64507336267002,1.0705311913665392,1.0,both,both,False,3,3,"68.92778296703652,58.859553645002485,57.34521057801305","77.14110687182628,67.82796836440268,27.966144851781102",1146,224,CpG:,1558,3,3,8.3773;8.86454;17.5965,14.0015;10.5511;7.64796,127584076,127585222
chr2,127587174,127587659,37.63224701996128,6.33807835114006,5.937485296815901,0.1,both,both,False,3,3,"58.586156075949454,45.602819786904995,8.707765197029367","6.031290644820486,6.609261631399591,6.373682777200103",2106,485,CpG:,1558,3,1,5.74412;10.7772;6.74442,2.42399,127586842,127588948
chr2,127656112,127656491,13.978705886729424,6.220869563425057,2.2470662251007067,0.2,both,both,False,3,3,"15.206484188460237,10.707521180848818,16.02211229087922","1.658716042355078,11.093701471931336,5.910191175988758",2146,379,CpG:,1558,2,1,7.05282;3.56064,3.79163,127656061,127658207
chr2,127788653,127788974,21.587127274084864,16.64513841786923,1.296902839264479,0.7,both,both,False,3,3,"26.072311305885062,14.962683878959982,23.72638663740955","1.432114255335126,1.1241851824991544,47.3791158157734",1663,321,CpG:,1559,2,1,5.76782;5.41014,8.17253,127787868,127789531
chr2,127792199,127792560,45.985970120571004,18.085721218921094,2.5426671993849466,0.4,both,both,False,3,3,"36.90793833727382,89.9360884450221,11.1138835794171","34.1074929545508,7.166805204660974,12.982865497551508",913,361,CpG:,1559,3,2,3.44681;5.15636;10.0323,7.18565;5.15158,127792010,127792923
chr2,127831452,127831991,41.149737076236654,6.8154777715235575,6.0376892795643125,0.1,both,both,False,3,3,"41.968758596983285,28.649391139708698,52.83106149201798","13.18275422404154,5.589783465509953,1.6738956250191805",2673,539,CpG:,1560,3,2,9.05257;8.30152;11.8373,4.95197;10.0162,127831593,127834266
chr2,128125625,128128313,37.21610416648965,28.27587962914201,1.3161784763057756,0.2,both,both,False,3,3,"41.08987092359336,32.46484784106266,38.093593734812934","37.28947248323859,19.777556255596615,27.760610148590832",9148,2688,CpG:,1562,3,3,"10.2781,7.35221;9.70482;7.85168","5.9738;5.77466;11.2281,6.46474",128122153,128131301
chr2,128686924,128687499,32.64865472399429,22.301357268150664,1.4639761307542012,1.0,both,both,False,3,3,"8.513037130618708,77.84943048112257,11.58349656024158","44.5726797208043,19.682972087897728,2.648419995749961",2028,575,CpG:,1566,2,2,8.54582;14.8126,5.96629;5.41986,128687149,128689177
chr2,128818186,128818534,69.85663187740396,51.94037297318666,1.3449389728769614,0.2,both,both,False,3,3,"67.39278690752955,81.72926222382253,60.44784650085978","61.63472975092816,54.348764772360035,39.837624396271785",3460,348,CpG:,1567,3,3,11.5429;12.8174;14.2135,11.786;8.39144;13.2449,128816444,128819904
chr2,128863830,128864202,31.601743039498988,19.149208342268338,1.6502897913405632,0.1,both,both,False,3,3,"33.949602608806266,29.396308751257337,31.459317758433365","17.80379827189584,20.249665567567444,19.394161187341734",2241,372,CpG:,1568,3,3,8.96506;8.65016;5.35412,11.2046;5.78956;5.20247,128862516,128864757
chr2,128943561,128944174,54.20223926022112,33.26923365432075,1.6292001139371526,0.1,both,both,False,3,3,"48.26596563809539,65.49370199940883,48.847050143159144","43.8787234301255,14.194306689491736,41.73467084334503",1314,613,CpG:,1568,3,3,6.62234;7.49548;13.2496,5.3422;6.09131;6.65699,128943079,128944393
chr2,128967018,128967731,27.051245356869455,37.65967949226472,0.7183079017553977,0.4,both,both,False,3,3,"31.54636958122553,26.45382379309546,23.153542696287374","50.14326942030679,39.16569480812104,23.670074248366337",3183,713,CpG:,1568,3,3,6.09481;8.4669;7.40781,18.0614;14.065;16.5018,128965072,128968255
chr2,129038833,129039540,14.902629090503439,9.066249162572241,1.6437480178710777,0.7,both,both,False,3,3,"22.790582876128198,17.555443359475422,4.361861035906701","6.43630679974152,10.553669152209938,10.208771535765267",2963,707,CpG:,1569,3,3,3.7749;4.85355;6.09533,11.0294;4.53026;3.66563,129037838,129040801
chr2,129065868,129066352,15.844245587883123,10.44716008122191,1.5166079072878498,1.0,both,both,False,3,2,"24.309497768137106,10.286014796688766,12.937224198823497","10.379431473786907,20.962048769878823,0.0",3786,484,CpG:,1569,3,2,4.85328;10.374;8.02513,5.53387;6.35697,129063401,129067187
chr2,129101040,129101282,32.63826316347717,18.484363775432147,1.765722832551975,0.1,both,both,False,3,3,"24.984396171915986,28.627512030073607,44.3028812884419","18.358306900775585,17.35703622061631,19.737748204904545",2755,242,CpG:,1569,3,3,9.42086;5.61979;10.1182,7.36522;8.02601;6.45903,129099503,129102258
chr2,129125765,129126038,8.31436512860408,11.066142573966678,0.7513336352780952,0.4,both,both,False,3,2,"6.546396582730585,7.509782625982659,10.886916177099","9.24304308451523,23.955384637384803,0.0",2483,273,CpG:,1570,1,1,3.40389,5.09072,129123771,129126254
chr2,129129397,129129848,44.451701694917666,23.039687853802935,1.929353469412584,0.2,both,both,False,3,3,"28.18661905653132,47.76835931028225,57.400126717939415","38.01240362721254,22.551681799992902,8.554978134203363",3292,451,CpG:,1570,3,3,14.622;6.90894;10.3546,10.4608;5.89577;8.92374,129128149,129131441
chr2,129198171,129199236,23.058052964054923,30.9499931147427,0.7450099545602634,1.0,both,both,False,3,3,"4.109786491858088,37.98384431127,27.08052808903668","21.351517234763055,53.06190601086508,18.436556098599958",3504,1065,CpG:,1570,3,3,6.07383;2.55052;6.3504,5.22662;7.53322;5.47984,129196807,129200311
chr2,129296978,129297296,68.50178714251102,33.97156668940365,2.0164447453604772,0.2,both,both,False,3,3,"43.03576722286285,64.32842096489492,98.14117323977528","51.33982848252142,11.491494642574859,39.08337694311468",2195,318,CpG:,1571,3,3,12.2767;10.9218;19.1943,11.4795;7.2387;9.07441,129296247,129298442
chr2,129593195,129593678,26.741268051422797,14.078659341315513,1.8994186451367099,0.4,both,both,False,3,3,"25.438051695664647,10.533192271299349,44.2525601873044","9.917495151034203,5.632305378194928,26.686177494717406",2129,483,CpG:,1573,3,3,6.54163;4.98944;3.96522,4.39985;4.3639;4.7398,129592247,129594376
chr2,129688046,129688338,8.271498344562671,9.398022370425204,0.8801317999191393,1.0,both,exo_only,False,2,3,"0.15564770187188892,24.658847331816126,0.0","10.529000388989834,9.409089895167925,8.255976827117856",2583,292,CpG:,1574,1,0,5.63838,,129685831,129688414
chr2,129800323,129801953,19.59046275427808,9.903358604985735,1.9781635236772583,0.7,both,both,False,3,3,"19.753142141453598,20.327269998581514,18.69097612279913","22.514048328736553,4.901600607063459,2.2944268791571907",3680,1630,CpG:,1575,3,2,4.99571;7.16402;7.64842,4.80191;4.25333,129799514,129803194
chr2,130178748,130179429,23.311757751070814,14.566376300791774,1.6003814036991255,0.1,both,both,False,3,3,"20.472234652439315,18.465021209767134,30.998017391006","17.94494129202511,9.613929334409372,16.140258275940834",4547,681,CpG:,1578,3,3,10.1478;6.46287;10.0161,7.00609;6.88886;4.05195,130175901,130180448
chr2,130274053,130274815,18.746197238745772,10.977701376575872,1.7076614307204832,0.1,both,both,False,3,3,"20.611422627263075,17.540615855466587,18.08655323350765","12.638767493280803,11.519969625940412,8.7743670105064",4795,762,CpG:,1578,3,2,11.8225;8.14624;7.81521,14.3187;4.66681,130271920,130276715
chr2,130284119,130284541,16.472185855824005,4.298099084968179,3.8324351138000714,0.2,both,exo_only,False,3,3,"18.02283832350181,2.378167919778394,29.01555132419181","0.32655073453120936,0.7611922166316067,11.80655430374172",2882,422,CpG:,1578,2,0,5.31028;6.91936,,130283639,130286521
chr2,130294738,130295054,16.536341693194753,11.077676363216279,1.4927626652918042,0.7,both,both,False,3,3,"14.939211144309757,26.265729375526863,8.404084559747645","7.083089225378101,17.46965107672078,8.680288787549959",6967,316,CpG:,1579,2,2,5.51625;6.53932,7.10015;6.0438,130289846,130296813
