gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj
0610010F05Rik,chr11,23633135,23633766,4.945186751970673,277.859262251458,56.18781983121875,both,127,1746.055965,-0.581833564,1.41552e-14
1110004E09Rik,chr16,90934297,90935370,4.550734202421283,528.8826933797178,116.2192010903028,both,443,,,
1110008F13Rik,chr2,156862764,156863637,5.064090043397406,173.88851837000507,34.33756447453419,both,364,,,
1110034G24Rik,chr2,132686949,132687166,2.1747861905128585,173.96622250121706,79.99233361887052,both,18,,,
1190005I06Rik,chr8,120633711,120634631,18.352567227648503,572.2019563777192,31.178305971040697,both,13001,,,
1600014C23Rik,chr17,45733938,45734175,3.7206735304296927,441.1599359168334,118.56991276143616,both,331,,,
1700001G17Rik,chr1,33669553,33670569,4.183198697793587,108.41655444587497,25.917141947634203,both,143,,,
1700003G18Rik,chr7,116093081,116093523,2.213768311598501,1766.15275975051,797.8037947770694,both,364,,,
1700018M17Rik,chr4,59548495,59549829,2.094826700956749,217.4481168981491,103.8024371175125,both,204,,,
1700025G04Rik,chr1,152089616,152090328,4.308943768538242,490.3244421757384,113.79225826891566,both,203,4371.787999,-1.300326548,2.5612e-109
1700034H15Rik,chr1,191906596,191907697,2.114292319684815,138.02642573686362,65.28256497542388,both,170,,,
1700040D17Rik,chr3,94412490,94413511,2.625550637638848,502.26312563304754,191.2982055774524,both,592,134.5468659,0.514338302,0.029057986
1700086O06Rik,chr18,38250094,38250571,3.44864713740713,520.5971664145824,150.95692475107617,both,6,,,
1700086P04Rik,chr4,129048635,129049248,2.981245137099576,266.7038644103968,89.46056165977359,both,1462,,,
1700096K18Rik,chr5,25529347,25530391,2.2115625627982056,396.56188343896457,179.31298445258992,both,666,,,
1700113H08Rik,chr10,87058383,87058611,3.806065491447332,455.8756285125067,119.77608623312231,both,338,,,
1810022K09Rik,chr3,14611032,14611738,4.83221671982519,1288.8707112804873,266.72452541141683,both,453,2367.96833,-0.561218769,7.47365e-09
1810030O07Rik,chrX,12673296,12673657,4.0061256040972415,173.64389086511878,43.34459475946673,both,11,,,
1810041H14Rik,chr14,121878311,121879163,2.5393556819816685,346.6151340553402,136.49727626373627,both,246,,,
1810043G02Rik,chr10,77978272,77978826,2.3457820476793843,271.7974066411556,115.86643648758292,both,252,,,
2010007H06Rik,chr9,51278564,51279283,3.669930825399813,744.6386470758321,202.9026383609585,both,51,,,
2310057M21Rik,chr7,131362266,131363378,2.205232851835337,270.1848241113307,122.51986173998158,both,619,606.9535362,-0.280925471,0.018705853
2410002F23Rik,chr7,44246334,44247152,2.6428009080080783,376.02800752741547,142.28389523705508,both,388,,,
2410080I02Rik,chr19,23134891,23136424,7.579540157040556,324.83252955472784,42.85649562170263,both,9,,,
