chr,start,end,neu_signal,nsc_signal,fold_change,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr1,3671654,3672156,44.47132766264534,15.331181772053242,2.9007110034864247,0.1,both,nsc_only,False,3,3,"43.47415700980595,52.7789948215442,37.1608311565859","10.289605426735111,21.305724717144454,14.398215172280159",1792,502,CpG:,613,0,2,,5.54931;6.06037,3670396,3672188
chr1,4491701,4493673,3.420399064671482,28.438006794492008,0.1202756258337331,0.3333333333333333,both,nsc_only,False,2,2,"2.429280403817054,0.0,7.831916790197392","44.398371658702885,0.0,40.91564872477314",404,1972,CpG:,619,0,2,,6.0982;5.8282,4492305,4492709
chr1,4571641,4572075,18.511282168979665,25.02629598952432,0.7396732691377199,0.7,both,nsc_only,False,3,3,"13.692992781864778,18.217554917468977,23.623298807605227","31.500924768035347,13.556918122386204,30.021045078151403",786,434,CpG:,619,0,3,,4.35039;6.82732;3.40697,4571438,4572224
chr1,4785376,4785814,126.67309449854788,50.85659078092157,2.490790132673782,0.1,both,nsc_only,False,3,3,"135.58653223712477,122.39437924795529,122.03837201056352","22.27346434903784,71.14386253308214,59.15244546064472",783,438,CpG:,621,0,3,,2.96862;6.6373;7.27926,4785443,4786226
chr1,4807559,4808103,25.412540205553466,18.25352192567844,1.392199286747176,1.0,both,nsc_only,False,3,3,"13.185962966844148,38.42622091080628,24.62543673900997","27.86709427862775,13.221223759008389,13.67224773939918",3264,544,CpG:,621,0,3,,4.55161;7.91139;6.13029,4806809,4810073
chr1,4857465,4858372,260.60405048223504,83.50615212524806,3.120776659561128,0.1,both,nsc_only,False,3,3,"199.2385936051832,360.10971264443424,222.46384519708758","84.48920838859146,72.40402035428146,93.62522763287129",1723,907,CpG:,622,0,3,,11.705;12.0307;12.3294,4856826,4858549
chr1,5018557,5019711,105.19663851219464,50.69883959004594,2.07493187936492,0.1,both,nsc_only,False,3,3,"94.61541985219397,125.62345255323525,95.35104313115473","54.683815862625956,47.99381189215889,49.418891015353",8482,1154,CpG:,623,0,3,,5.71049;9.62622;8.27909,5016896,5025378
chr1,5083039,5083536,49.297301682550334,25.84046676999019,1.90775585136882,0.4,both,nsc_only,False,3,3,"27.044548534481812,84.10968708183566,36.73766943133352","34.835950919235835,30.664599467997462,12.02084992273729",1681,497,CpG:,623,0,3,,5.7882;2.98168;3.66315,5082687,5084368
chr1,5916428,5917474,39.199767632672085,24.641739622972636,1.5907873483139767,0.2,both,nsc_only,False,3,3,"46.51485129710701,31.869585245847702,39.21486635506153","26.858424693014886,32.038690176937315,15.028103998965687",2880,1046,CpG:,630,0,3,,4.46753;4.51845;7.00061,5914531,5917411
chr1,6214430,6215332,33.42919716593966,43.45127342090034,0.769349078498123,0.4,both,nsc_only,False,3,3,"20.885121324503025,20.603126427347625,58.79934374596835","63.133128065068576,34.34240130745404,32.87829089017841",2110,902,CpG:,632,0,3,,11.9757;7.31797;7.22298,6213301,6215411
chr1,6359082,6359442,18.098671920900426,39.527655806967886,0.4578736469798447,0.6666666666666666,both,nsc_only,False,2,2,"14.061736499390951,0.0,40.23427926331031","20.043869983859178,0.0,98.53909743704448",328,360,CpG:,633,0,2,,2.38625;9.47173,6359199,6359527
chr1,7088491,7089271,160.12630822699586,82.60731521155613,1.9384034914694264,0.1,both,nsc_only,False,3,3,"131.434983512645,193.58638260289968,155.35755856544296","85.8230959847165,88.48064174144328,73.5182079085086",3869,780,CpG:,639,0,3,,14.9838;15.1461;22.7351,7086674,7090543
chr1,7397746,7398594,330.7855704229209,111.4157358427486,2.9689304470401687,0.1,both,nsc_only,False,3,3,"252.40828408465507,390.7286058296225,349.2198213544851","83.36669128001918,142.58911876255212,108.2913974856745",2118,848,CpG:,641,0,3,,12.6481;19.1885;19.724,7396309,7398427
chr1,9299215,9300020,35.51424815272021,27.929906323544813,1.2715491323643224,1.0,both,nsc_only,False,3,3,"25.972114534897727,48.14186203216418,32.42876789109872","48.9183104659742,31.967825935936816,2.9035825687234285",1358,805,CpG:,655,0,2,,6.06512;7.58041,9298334,9299692
chr1,9545269,9546268,120.19419628140425,48.81658807939262,2.4621588892268957,0.1,both,nsc_only,False,3,3,"119.29385585925635,90.62257287829742,150.66616010665894","41.98815620933299,33.92675415205766,70.5348538767872",1762,999,CpG:,657,0,3,,10.754;15.5653;8.94036,9544862,9546624
chr1,9699785,9700881,40.55867373870552,30.822288514687656,1.3158878101922318,0.7,both,nsc_only,False,3,3,"35.6156436491653,64.09354983668624,21.966827730265003","34.39697519006601,15.79303257049076,42.2768577835062",1638,1096,CpG:,659,0,3,,6.60314;6.49095;4.9516,9699646,9701284
chr1,9747560,9748645,157.79526959033103,61.586680978380826,2.56216550532611,0.1,both,nsc_only,False,3,3,"141.87109718545162,169.1091430807478,162.40556850479365","50.373241085578606,81.22750517044098,53.15929667912289",2487,1085,CpG:,659,0,3,,11.8304;12.3511;12.9218,9746409,9748896
chr1,9797821,9798652,21.81234719816064,26.72610293898552,0.8161439491555218,1.0,both,nsc_only,False,3,3,"16.790861815782595,30.595238884398334,18.050940894300997","12.672210109980945,24.559416066723234,42.946682640252384",2202,831,CpG:,659,0,2,,4.40763;5.8661,9796998,9799200
chr1,9848165,9848530,9.72601756581089,14.96449379736917,0.6499396302680663,0.8,both,nsc_only,False,3,2,"11.632128804859363,4.152328119779888,13.393595772793418","0.0,8.340587721372906,36.552893670734605",1900,365,CpG:,660,0,2,,4.81425;4.45832,9846776,9848676
chr1,9943785,9944196,24.493494155716565,10.901920537853345,2.2467136933048577,0.1,both,nsc_only,False,3,3,"20.921208978497013,32.01867449169142,20.540598996961258","13.717341132520554,9.161294800755865,9.82712568028361",3437,411,CpG:,660,0,3,,3.99124;3.07723;8.04821,9941156,9944593
chr1,9967118,9968330,17.339033800397843,20.718748445160468,0.8368765056582331,1.0,both,nsc_only,False,3,3,"26.4149627026967,4.005307056356078,21.596831642140746","10.948763418007657,33.97845567016804,17.2290262473057",753,1212,CpG:,661,0,3,,2.91653;4.6543;7.93657,9967758,9968511
chr1,10037950,10038215,58.26521324721627,31.43326614721431,1.8536162603764248,0.1,both,nsc_only,False,3,3,"53.68598900037413,69.23504532570063,51.87460541557407","30.14648223198292,34.00376353152963,30.149552678130394",5375,265,CpG:,661,0,3,,12.4143;8.62636;9.67042,10035146,10040521
chr1,10039745,10040279,109.84361630274104,53.37154091569462,2.058093403678365,0.1,both,nsc_only,False,3,3,"105.10503156132087,122.51459516933673,101.9112221775655","46.471943697651255,52.37274384736466,61.26993520206794",2606,534,CpG:,661,0,2,,8.62636;6.22265,10037915,10040521
chr1,10232143,10233428,22.0140337442231,13.916275105765488,1.5818912443821065,1.0,both,nsc_only,False,3,3,"13.850884906756573,36.11308075105533,16.078135574857395","2.36083695712762,18.86481479765513,20.523173562513712",2496,1285,CpG:,663,0,2,,5.17661;4.41114,10231604,10234100
chr1,10993486,10994005,46.82127826723317,19.562027910505,2.3934777356129677,0.1,both,nsc_only,False,3,3,"40.20630934910753,39.45219132603412,60.80533412655786","1.785349128321218,28.568338656183283,28.3323959470105",4233,519,CpG:,668,0,2,,5.7319;4.23168,10990495,10994728
chr1,11414060,11414465,68.38364566830734,46.64709689997716,1.465978597016202,0.2,both,nsc_only,False,3,3,"53.679165187669156,84.73685118608878,66.73492063116409","36.60846695893458,60.70094455963593,42.63187918136097",1466,405,CpG:,672,0,3,,5.93233;5.97211;12.8411,11413918,11415384
chr1,12990718,12991200,20.82187424024252,18.890119290575,1.102262718405984,0.4,both,nsc_only,False,3,3,"24.60786751621978,17.53427605546361,20.323479149044175","23.295013590881616,17.482810386620116,15.892533894223266",6696,482,CpG:,684,0,3,,7.27954;6.20584;5.40993,12988795,12995491
chr1,12991485,12992784,20.82187424024252,18.890119290575,1.102262718405984,0.4,both,nsc_only,False,3,3,"24.60786751621978,17.53427605546361,20.323479149044175","23.295013590881616,17.482810386620116,15.892533894223266",6696,1299,CpG:,684,0,3,,7.27954;6.20584;5.40993,12988795,12995491
chr1,13372746,13374794,111.23591651347688,58.18812989288963,1.911659933361589,0.1,both,nsc_only,False,3,3,"82.8295505279403,173.91687549600564,76.96132351648465","41.46298902506846,57.815617262530296,75.2857833910701",4015,2048,CpG:,687,0,3,,10.2599;30.8464;13.6102,13371226,13375241
chr1,13589162,13590177,20.628566580780756,22.008946991106,0.937280942569262,0.7,both,nsc_only,False,3,3,"16.787624760954714,23.816924203420434,21.28115077796711","28.712940000768533,8.61929343808521,28.69460753446425",3083,1015,CpG:,688,0,3,,6.38103;5.17867;5.39263,13588042,13591125
chr1,13660231,13660732,75.35734753696805,52.59148035851812,1.432881277029172,0.4,both,nsc_only,False,3,3,"55.30460827010955,116.41152255075326,54.355911790041326","47.32187629259348,41.86284677074745,68.58971801221344",2183,501,CpG:,689,0,3,,9.824;10.3965;9.26424,13658629,13660812
chr1,14309747,14310036,73.21213199949409,29.032300129453564,2.5217475595472933,0.1,both,nsc_only,False,3,3,"57.236439112292736,81.79726044028521,80.6026964459043","17.240272067959527,29.479439148567728,40.377189171833436",2319,289,CpG:,694,0,3,,5.66233;6.56601;6.49769,14308466,14310785
chr1,14755151,14755803,13.905338702609612,16.894350527884864,0.8230762514166048,0.6666666666666666,both,nsc_only,False,2,2,"19.952381912950447,0.0,21.763634194878385","21.397763463631144,0.0,29.285288120023452",1146,652,CpG:,697,0,2,,4.14992;8.80177,14754924,14756070
chr1,15805591,15806108,60.937278815106176,50.52528287883627,1.206074965700612,0.4,both,nsc_only,False,3,3,"53.704435279222245,60.39774891580705,68.70965225028922","38.78571935168319,60.96451623198672,51.82561305283891",2739,517,CpG:,705,0,3,,9.65892;13.1439;12.7609,15803978,15806717
chr1,16092956,16093371,17.83224056942362,28.09657031762208,0.6346767725681912,0.4,both,nsc_only,False,3,3,"11.490324869290204,20.596337799287177,21.410059039693483","37.239866186867296,30.210419673651035,16.83942509234791",1775,415,CpG:,707,0,3,,4.87109;5.8596;6.89606,16091835,16093610
chr1,16104765,16106291,58.39666886563131,30.831332539592424,1.8940689245474724,0.1,both,nsc_only,False,3,3,"55.342943405284956,69.61590501475595,50.23115817685302","27.200625431853158,33.79113967084669,31.502232516077427",6196,1526,CpG:,707,0,3,,8.18449;6.92512;6.02836,16102343,16108539
chr1,16519743,16520093,13.28343424431322,21.13927257193268,0.6283770739561816,0.2,both,nsc_only,False,3,3,"9.371952887450908,20.51535330356979,9.962996541918963","15.128083666568209,21.329958122131966,26.959775927097855",3455,350,CpG:,711,0,3,,7.27826;5.57207;6.8938,16518613,16522068
chr1,16618558,16619401,34.38470074533648,31.811435269031,1.0808912095459775,1.0,both,nsc_only,False,3,3,"23.95332332166331,35.82915394046191,43.371624973884224","42.2545410880541,29.10028889487164,24.07947582416726",2586,843,CpG:,711,0,3,,8.56858;8.25819;7.09724,16617677,16620263
chr1,16656764,16657043,138.93240835733872,84.08853771197404,1.6522157732510434,0.1,both,nsc_only,False,3,3,"138.8510553153932,118.79019381564478,159.15597594097818","79.01038570444722,93.10696622303554,80.14826120843935",2814,279,CpG:,712,0,3,,18.268;11.9923;12.3579,16655014,16657828
chr1,16665146,16665626,61.58376275897515,26.162521922520003,2.3538924474236365,0.2,both,nsc_only,False,3,3,"66.35340687800976,38.761044201159656,79.63683719775601","53.76428921451147,18.89140799238875,5.831868560659798",814,480,CpG:,712,0,3,,10.9803;8.8576;2.79156,16665114,16665928
chr1,17091517,17091971,9.721836089221112,18.636132744544472,0.5216659605554202,0.2,both,nsc_only,False,3,2,"7.108173370361328,14.228221058601738,7.829113838700266","37.84083460916364,0.0,18.06756362446978",1467,454,CpG:,715,0,2,,5.67863;7.84621,17090590,17092057
chr1,17096764,17098139,18.031580742086916,8.966081580092771,2.011088186184041,0.4,both,nsc_only,False,3,2,"19.421400778162504,10.75422037788904,23.9191210702092","10.332984007545983,0.0,16.565260732732334",2455,1375,CpG:,715,0,2,,5.78353;6.37112,17096420,17098875
chr1,17145467,17145795,34.601192939873165,17.429608625682544,1.9851962073828944,0.4,both,nsc_only,False,3,3,"36.228872466104164,28.517967316998337,39.05673903651699","9.230836162957493,6.213091121396299,36.84489859269384",1417,328,CpG:,715,0,2,,7.61708;3.42752,17144293,17145710
chr1,20819888,20820297,155.29920890332696,37.27616187724758,4.166180236439998,0.1,both,nsc_only,False,3,3,"110.58440053527265,231.43860323261973,123.87462294208854","49.76154277337533,16.836017959485016,45.23092489888241",1669,409,CpG:,743,0,3,,13.3446;13.9922;17.0254,20820038,20821707
chr1,20890434,20890811,51.050800576145264,40.43082647986666,1.262670220248083,0.7,both,nsc_only,False,3,3,"37.74741064471096,61.95435360338561,53.450637480339225","49.413294960953586,55.09779082580944,16.78139365283695",3718,377,CpG:,744,0,3,,7.97747;6.37274;8.58949,20889026,20892744
chr1,20935285,20935502,24.71000114112508,12.645393962661425,1.9540712779757845,0.2,both,nsc_only,False,3,3,"23.561698863173234,36.656177407678435,13.912127152523574","5.2921722846872665,22.87303445970311,9.770975143593901",2176,217,CpG:,744,0,2,,7.39983;7.35596,20934098,20936274
chr1,20951662,20951890,73.80815586273756,36.28724019152647,2.0339975008618234,0.1,both,nsc_only,False,3,3,"53.08688827057662,108.7079930193185,59.6295862983176","29.86498100490194,52.68640559934538,26.310333970332096",6794,228,CpG:,744,0,3,,13.1705;9.35154;10.6561,20946774,20953568
chr1,21078869,21079694,68.5621970472715,46.78073989330324,1.4656073675544048,0.4,both,nsc_only,False,3,3,"45.48685163897476,96.52807914736803,63.67166035547169","28.373946742544845,60.58334833073689,51.38492460662801",2616,825,CpG:,745,0,3,,7.53989;8.555;8.44412,21077966,21080582
chr1,21961003,21962124,27.438180866096488,37.03637316094936,0.7408441627601626,0.2,both,nsc_only,False,3,3,"25.339556115302667,31.505897521972656,25.46908896101414","37.992672581626074,43.439575648851424,29.676871252370578",3070,1121,CpG:,752,0,3,,8.28653;5.19248;7.08888,21960018,21963088
chr1,22805682,22806364,21.022515546783467,6.844350645820459,3.071513520368946,0.1,both,nsc_only,False,3,3,"13.962029797735608,24.461861563109842,24.64365527950495","2.9239292708281353,13.186416452321486,4.422706214311755",3004,682,CpG:,758,0,2,,3.81479;5.26569,22803788,22806792
chr1,23256018,23257054,131.62915845921984,33.33949487347737,3.948144954167708,0.1,both,nsc_only,False,3,3,"103.12173435039483,194.77682464883284,96.98891637843182","27.33454289408346,22.51240985034263,50.17153187600601",2555,1036,CpG:,762,0,3,,5.74409;12.4573;6.00355,23254975,23257530
chr1,23382681,23383400,40.82580532986804,27.015985877508303,1.5111721450764033,0.4,both,nsc_only,False,3,3,"29.066395842445797,55.27081874680649,38.14020140035184","33.45652201819041,17.446031128463726,30.145404485870767",3843,719,CpG:,763,0,3,,6.63911;9.53261;7.42479,23380337,23384180
