category,gene,chromosome,start,end,methylation_score,cpg_density,smarcb1_enrichment_cpm,smarcb1_enrichment_rpkm
up,2810029C07Rik,chr12,111574329,111575376,0.006771435716371453,0.206,6.3596812900953,6.359681643457468
up,2900026A02Rik,chr5,113137765,113138844,0.010053639325657466,0.118,12.963908219119615,12.963908050861939
up,2900026A02Rik,chr5,113220579,113221436,0.00533526453250815,0.194,0.46883132954189166,0.4688313293501592
up,6330403K07Rik,chr11,71033181,71033484,0.008338333046918996,0.09,26.40204654280071,26.402046290628547
up,9930014A18Rik,chr15,60822970,60825075,0.0012489414744920081,0.12,35.403904851244995,35.40390664702329
up,Aak1,chr6,86849544,86849940,0.009226073939077718,0.132,0.0,0.0
up,Abat,chr16,8513265,8513607,0.006630381409077491,0.102,4.601814264675013,4.601814312705152
up,Abhd4,chr14,54253700,54254197,0.002257349249121842,0.116,3.8720567387871996,3.8720566399176004
up,Abr,chr11,76436955,76437213,0.0020988607629621116,0.064,0.0,0.0
up,Abr,chr11,76494492,76495221,0.006500125828455111,0.148,12.738577980800635,12.73857847239474
up,Abr,chr11,76622237,76623850,0.011315397747815311,0.174,37.366331591743865,37.366332662318655
up,Acer3,chr7,98308966,98309678,0.0022187260659237277,0.164,7.1049503385025945,7.104950380202662
up,Actn4,chr7,28961910,28962478,0.014419401783024125,0.164,6.362632031883629,6.3626322684702386
up,Adamts14,chr10,61273127,61273655,0.014624309558707142,0.12,22.120279431798778,22.120280228394854
up,Adamts8,chr9,30942520,30943344,0.009209444969963015,0.204,12.250777563768596,12.250777842820579
up,Adcy1,chr11,7063695,7064250,0.004031428206125925,0.108,10.210142078943877,10.210142736290427
up,Ahnak,chr19,8989235,8989930,0.004550544037552525,0.15,0.0,0.0
up,Ahr,chr12,35534505,35534998,0.00990934330155455,0.166,0.0,0.0
up,Ajuba,chr14,54575687,54577650,0.0031750107661430633,0.184,12.85694852054912,12.85694928808147
up,Ak5,chr3,152486104,152486705,0.18044421739656505,0.118,0.0,0.0
up,Akap17b,chrX,36644909,36645291,0.18055180889714123,0.12,10.91434183379097,10.914342000605979
up,Ankib1,chr5,3802402,3803640,0.006434937932128456,0.236,9.028103134591957,9.028103006390456
up,Ankrd29,chr18,12305494,12305853,0.0966819118488868,0.102,0.0,0.0
