chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr3,10331002,10331481,18.36149490924428,36.77370626308641,0.4993104251685292,0.1,both,both,False,3,3,"18.15788255667763,23.739963960774247,13.18663821028097","41.19942156308747,33.46755874816187,35.65413847800989",4141,479,CpG:,663,3,3,5.15334;11.8777;7.08305,8.66638;6.00903;7.09457,10329174,10333315
chr6,29507708,29508070,12.907490960458382,25.86550351118999,0.4990233789523686,0.2,both,both,False,3,3,"21.83636770393426,4.41740208320413,12.468703094236753","37.0438452671167,13.845103631932322,26.70756163452094",2236,362,CpG:,810,1,3,3.48922,7.05943;5.07463;5.10564,29506172,29508408
chr7,142658948,142661318,4.707272278899024,9.436022633132373,0.4988619105650028,0.6666666666666666,both,nsc_only,False,2,2,"0.40188378716116824,0.0,13.719933049535902","0.0,25.43985224823094,2.868215651166176",317,2370,CpG:,1673,0,1,,3.101,142660971,142661288
chr4,127168784,127169662,10.030813565789336,20.11728862419097,0.4986165756814424,0.2,both,both,False,3,3,"13.264999030976183,7.395871249546246,9.431570416845577","17.093210188110124,11.992033396256582,31.266622288206193",3196,878,CpG:,1555,1,3,2.92644,6.54009;5.37102;8.34271,127167606,127170802
chr1,86303140,86303984,13.839696650179278,27.77537713435866,0.4982721416610151,0.1,both,both,False,3,3,"13.481172457985256,15.221679980710427,12.816237511842147","48.17122614605827,19.038809616373193,16.116095640644524",1610,844,CpG:,1243,2,3,3.75857;2.57766,4.93571;3.09723;5.40063,86302910,86304520
chr7,57590812,57592071,17.630983027408476,35.40178597659994,0.4980252419768397,0.1,both,both,False,3,3,"24.187111935753137,15.336720864459378,13.369116282012907","34.633231135845016,36.34601383562567,35.226112958329146",2807,1259,CpG:,1024,3,3,4.59964;7.50858;3.81406,10.7806;6.05394;9.16961,57590077,57592884
chr18,37475092,37475418,5.185694414018234,10.416966211106285,0.497812348521337,0.2,both,both,False,3,2,"8.438701363497001,2.044786436186707,5.073595442370993","19.721430168595425,0.0,11.529468464723427",2236,326,CpG:,870,1,1,2.7112,4.64668,37473358,37475594
chr2,168281225,168281610,11.775445089753012,23.73387867664347,0.4961449938370687,0.7,both,both,False,3,3,"9.554649365728888,15.961272391045133,9.81041351248501","9.106310006648666,25.900549514973733,36.19477650830801",1802,385,CpG:,1868,2,3,3.24252;4.87966,7.07454;7.1905;8.2219,168280338,168282140
chr9,40876202,40876450,9.039207659923887,18.255972291149387,0.4951370168493383,0.7,both,both,False,3,3,"4.1630907829910315,17.112872506781066,5.841659689999568","18.70979349633103,32.70017493486223,3.357948442254903",1317,248,CpG:,896,1,2,3.41665,4.24222;4.24684,40875538,40876855
chrX,101059591,101059915,5.174578394401473,10.465831555631764,0.4944259198990244,0.4,both,both,False,3,3,"5.867602484566825,0.6688838428824752,8.987248855755118","9.02054316179659,17.39474196082576,4.982209544272939",3297,324,CpG:,1356,1,1,2.5703,4.48953,101059227,101062524
