chr,start,end,neu_signal,nsc_signal,fold_change,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr4,117681897,117682403,20.29414513912028,12.311890947988834,1.6483369796607366,0.4,both,both,False,3,3,"21.12039474615327,15.092242768302501,24.66979790290506","16.895693840219817,0.22837820683935736,19.811600796907328",2056,506,CpG:,1482,2,2,11.4675;6.20671,7.68836;7.78243,117681008,117683064
chr4,117835339,117836733,56.910385620308745,23.207078303662602,2.452285672312615,0.1,both,both,False,3,3,"40.02916959621311,69.06271650348594,61.63927076122718","22.466805519629382,35.28403052301464,11.870398868343788",4175,1394,CpG:,1484,2,3,10.7369;7.92518,11.3043;8.7084;5.28772,117833568,117837743
chr4,117867952,117868245,19.28537290551486,11.524913013126076,1.673363858239117,0.1,both,neu_only,False,3,3,"16.315873261320966,26.749403263912427,14.790842191311183","14.711524334709209,5.858365367644846,14.004849337024178",5631,293,CpG:,1484,2,0,7.19955;7.1553,,117867798,117873429
chr4,117882948,117883469,25.331068266989657,5.559304598972974,4.556517423360705,0.1,both,neu_only,False,3,3,"17.710508354822487,30.223243118308172,28.05945332783831","6.9209885723497875,6.216888395593209,3.5400368289759254",2077,521,CpG:,1484,2,1,9.27818;7.04652,5.83219,117882165,117884242
chr4,117886857,117887462,27.043111970317067,13.45170050046593,2.0103861195378507,0.1,both,nsc_only,False,3,3,"25.49600438030246,21.596157863234616,34.037173667414116","15.459387809194196,21.296547231338945,3.5991664608646525",2674,605,CpG:,1484,1,2,5.82413,3.75149;5.31077,117885442,117888116
chr4,117891595,117891862,83.215276571473,34.29161410168005,2.426694652655503,0.2,both,both,False,3,3,"127.74134775497372,35.979760380773584,85.9247215786717","23.0334836444118,23.34500698367925,56.496351676949104",466,267,CpG:,1484,2,2,12.0803;11.7667,10.9501;3.92274,117891686,117892152
chr4,117914815,117915305,168.98654276093626,42.03118705974598,4.020503692192356,0.1,both,both,False,3,3,"90.95534809170725,301.53274044647713,114.47153974462438","14.916277912966827,63.120682919986365,48.05660034628475",918,490,CpG:,1484,2,3,25.474;16.7114,6.01267;6.36297;8.63098,117914612,117915530
chr4,117929412,117929815,24.216188354990212,13.723083385093863,1.7646317285584705,0.2,both,nsc_only,False,3,3,"21.921261872821482,32.34130519931599,18.385997992833165","6.292003290182508,13.474131558829363,21.403115306269722",2183,403,CpG:,1484,1,2,5.79338,5.47637;4.48147,117928326,117930509
chr4,118134376,118135144,30.270597174988893,15.300029247878376,1.978466621505737,0.1,both,both,False,3,3,"24.880273803945347,33.73584633342206,32.19567138759928","13.08957002913872,15.743261559307205,17.0672561551892",4029,768,CpG:,1486,2,3,8.92115;17.0215,8.75392;8.55011;7.41714,118132755,118136784
chr4,118359956,118360289,27.907161439160244,18.64842662638016,1.4964887922331545,0.2,both,both,False,3,3,"23.883109117923766,32.16770786187045,27.670667337686524","23.96657064129105,14.759467749931794,17.21924148791764",3064,333,CpG:,1488,2,3,11.1371;7.34483,9.10288;4.78841;7.961,118359327,118362391
chr4,118409119,118409651,11.451545164737794,7.038518433917985,1.6269823361623708,0.2,both,nsc_only,False,3,3,"9.049429577168182,13.699346077265998,11.605859839779207","2.82034120966844,10.952192242000686,7.343021850084828",3045,532,CpG:,1488,1,2,3.8332,5.05813;4.21131,118407168,118410213
chr4,118436948,118437578,61.62828120359262,22.416674511491234,2.749216043262828,0.1,both,both,False,3,3,"54.141385994638206,68.10463058286243,62.63882703327725","25.302251951816753,10.861508854434021,31.086262728222923",3744,630,CpG:,1488,2,2,7.08536;22.9674,7.77137;7.83137,118435878,118439622
chr4,118620740,118621282,63.12666619066687,17.87034336852487,3.532481994825695,0.1,both,both,False,3,3,"39.03778885022415,86.24094420598658,64.10126551578986","20.572608247818746,27.610358653015364,5.428063204740503",1883,542,CpG:,1490,2,2,10.2734;13.4729,6.79458;6.13246,118619875,118621758
chr4,119108685,119109270,135.5717844403047,72.31088171414068,1.874846236507625,0.1,both,both,False,3,3,"97.913837786289,201.49874996451672,107.30276557010843","75.31551419245288,79.83347652662572,61.78365442334346",1561,585,CpG:,1493,2,3,25.7445;12.9952,13.7423;8.61012;5.91139,119108266,119109827
chr4,119173964,119174255,57.88276667489953,56.50495143441639,1.0243839735369444,0.7,both,both,False,3,3,"44.169967003928356,81.21091430060501,48.2674187201652","65.05179978595824,54.56857831929022,49.894476198000724",4045,291,CpG:,1494,2,3,6.20377;23.169,10.7883;7.46985;12.7094,119172363,119176408
chr4,119195285,119195634,26.85613650073596,13.155119921120336,2.0414968971600826,0.1,both,both,False,3,3,"19.776621006248455,36.131858643908934,24.6599298520505","14.814781835091129,13.712753175449775,10.937824752820102",2597,349,CpG:,1494,2,3,14.7576;12.8739,9.41628;4.70355;5.08385,119194233,119196830
chr4,119232367,119233464,103.02840616781555,45.09276447021319,2.284810154761586,0.1,both,both,False,3,3,"85.12033335213175,141.85399637607756,82.1108887752373","21.15342249681136,64.73814093299255,49.38672998083566",2672,1097,CpG:,1494,2,3,12.7196;33.0649,12.4771;20.8546;12.0298,119231397,119234069
chr4,119293683,119294994,101.05269881642955,46.88788522061884,2.1551984769829597,0.1,both,both,False,3,3,"69.11993826146352,148.38439573923404,85.65376244859111","53.915511596190015,38.191573845685745,48.556570219980756",3716,1311,CpG:,1495,2,3,11.5232;18.1268,32.5664;13.5534;10.9519,119292595,119296311
