chr,start,end,cpg_length,cpg_name,cpg_score,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,total_exo_replicates,total_endo_replicates,exo_replicate_signals,endo_replicate_signals,n_exo_peaks,n_endo_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,analysis_start,analysis_end,analysis_length,exo_signal_std,endo_signal_std,exo_signal_cv,endo_signal_cv,exo_replicates_with_peaks,endo_replicates_with_peaks
chr4,117681897,117682403,506,1482,CpG:,52.30935292941308,42.70535131311228,1.2248898866534317,0.8,both,False,3,2,3,2,"67.03761356338681,42.74078620752327,47.14965901732916","53.09735517539526,32.313347450829305",1,1,5.21967;7.4788;5.8309,11.4675;6.20671,117681897,117682403,506,10.56884685731156,10.392003862282976,0.20204506967565242,0.2433419593270553,3,2
chr4,117835339,117836733,1394,1484,CpG:,113.0148212217589,69.21488066220729,1.6328110391941664,0.4,both,False,3,2,3,2,"110.65432489551122,72.48041327269895,155.90972549706655","52.01887250613619,86.41088881827838",1,1,9.82463;11.755;11.1887,10.7369;7.92518,117835339,117836733,1394,34.100747711620876,17.196008156071095,0.3017369522242399,0.24844380271337316,3,2
chr4,117867952,117868245,293,1484,CpG:,17.2022097129735,54.65135149255954,0.31476275047499014,0.4,both,False,3,2,3,2,"4.76536583493594,41.20156150629089,5.639701797693663","90.67071647774237,18.631986507376713",1,1,6.43824;4.71126,7.19955;7.1553,117867952,117868245,293,16.973857953109306,36.01936498518283,0.9867254402966629,0.6590754665982351,2,2
chr4,117882948,117883469,521,1484,CpG:,11.714389224427677,19.676937159558406,0.5953360083145467,1.0,both,False,3,2,3,2,"8.412662883180117,10.514544600488586,16.215960189614325","35.218625396318494,4.135248922798318",1,1,3.49381;7.38945;3.61619,9.27818;7.04652,117882948,117883469,521,3.2967238843380553,15.541688236760088,0.28142516192508715,0.7898428556606153,3,2
chr4,117886857,117887462,605,1484,CpG:,34.14218319821949,30.202505694933173,1.1304420746768453,0.5,both,False,3,1,3,2,"42.90472321628539,43.25729299182734,16.264533386545732","0.0,60.405011389866345",1,0,6.80592;9.55466;5.74987,5.82413,117886857,117887462,605,12.642226820020948,30.202505694933173,0.3702817346689253,1.0,3,1
chr4,117891595,117891862,267,1484,CpG:,30.42522045259321,39.12181959973739,0.7777046355174502,0.8,both,False,3,2,3,2,"19.610293284784095,59.14801607953475,12.51735199346078","47.43113314167837,30.81250605779641",1,1,11.4888;11.909;6.1565,12.0803;11.7667,117891595,117891862,267,20.515468887497697,8.309313541940982,0.6742915443936945,0.21239588615650073,3,2
chr4,117914815,117915305,490,1484,CpG:,275.1290366179278,295.8819335918037,0.9298608849754698,0.8,both,False,3,2,3,2,"188.4055783018774,117.79178411133435,519.1897474405716","220.43739824878926,371.3264689348182",1,1,6.57322;17.2982;8.37157,25.474;16.7114,117914815,117915305,490,174.96818740928637,75.44453534301446,0.6359495513818304,0.25498189236216473,3,2
chr4,117926606,117927224,618,1484,CpG:,18.005299784218995,22.483896442215805,0.8008086957033039,0.8,both,False,3,2,3,2,"17.892263745798648,27.730201014423063,8.393434592435275","15.340584319772072,29.62720856465954",1,0,3.82164;3.15476;4.24406,4.82171,117926606,117927224,618,7.894606461549764,7.143312122443734,0.43846015096450136,0.3177079266844264,3,1
chr4,117929412,117929815,403,1484,CpG:,11.598407184515638,2.7103645263179654,4.279279437099221,1.0,both,False,3,1,3,2,"0.9220429579022504,7.9147439156809165,25.958434679963748","5.420729052635931,0.0",1,0,3.82164;5.39795,5.79338,117929412,117929815,403,10.54774095636119,2.7103645263179654,0.9094128864903854,1.0,2,1
chr4,118134376,118135144,768,1486,CpG:,92.38494876730773,107.08172319487979,0.8627517937788025,0.8,both,False,3,2,3,2,"94.99240947514772,72.57630195717017,109.5861348696053","77.18102763034403,136.98241875941554",1,1,13.214;16.8391;17.9135,8.92115;17.0215,118134376,118135144,768,15.221280532175749,29.900695564535752,0.1647593112868847,0.27923248405443557,3,2
