chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr6,29059954,29060170,12.456393059419122,3.4433102993089326,3.617563326174554,0.5714285714285714,both,False,5,2,"7.289700099400112,9.777902313154572,15.094102358331485,32.751330286142775,9.82532329948581,0.0","5.9762300296705595,11.240321466874104,0.0,0.0,0.0",980,216,CpG:,806,1,1,6.05763,3.69897,29059646,29060626
chr6,29164556,29164852,36.79672904046072,20.597465072016583,1.7864688160317466,0.030303030303030304,both,True,6,5,"25.46606154603883,38.530860656282755,44.1471816627683,24.520817094488425,60.999377839063015,27.116075444123013","13.451041850835992,22.303763545369726,28.513680417601254,18.13117289498387,20.587666651292086",2663,296,CpG:,807,3,1,6.85528;8.60635;6.55064,5.65702,29164083,29166746
chr6,29170251,29171278,20.89521925524868,12.555388581596048,1.6642431350852278,0.17748917748917747,both,False,6,5,"30.219025253769793,29.904076761491886,22.66205840448611,22.378022794209187,9.225708333551005,10.982423983984093","15.27450827641304,15.83844201021678,10.182471719605692,14.510780628737605,6.970740273007126",3727,1027,CpG:,807,3,3,3.7702;5.36605;7.595,6.23631;4.34289;4.91135,29170307,29174034
chr6,29178973,29179665,37.4733647815627,16.400436484534932,2.284900454746972,0.24675324675324672,both,False,6,5,"17.504871881155726,50.37617601095564,60.63191464514647,26.06877100812028,65.13349339591424,5.124961748083815","16.170092882611563,8.932102201893372,8.10498818734653,27.60166183495292,21.19333731587028",1454,692,CpG:,807,2,1,4.24683;6.24764,5.02018,29178984,29180438
chr6,29211959,29212553,16.910057768726762,13.34147072398569,1.267480783683418,0.9307359307359306,both,False,6,5,"37.26528270819489,11.309161561959856,14.686629684497714,13.795460429872557,10.502469308097012,13.901342919738546","26.474929576992015,14.951172224225013,1.6413691647349546,14.214696797544292,9.425185856432185",6001,594,CpG:,807,2,2,7.4601;5.39834,3.43386;6.10082,29210580,29216581
chr6,29215984,29216355,16.334854484937228,11.597773703435687,1.4084474229824164,0.32900432900432897,both,False,6,5,"34.26728398171955,10.582691632829388,13.763237070476242,14.059127304837927,8.949229270552964,16.387557649207302","19.57463972912156,11.745843494928154,5.614648565661092,12.714621475937292,8.339115251530334",6709,371,CpG:,807,2,3,4.4173;7.4601,4.66303;4.04923;6.17226,29211359,29218068
chr6,29272506,29272924,40.19625194249249,21.473133466527134,1.8719322918171877,0.17748917748917747,both,False,6,5,"48.17018930985327,59.88808133482878,44.78049771290079,25.054313576073753,54.33844212711049,8.945987594187834","3.9312065101753086,28.42689021293479,51.12850010750654,16.11263703796611,7.766433464052919",2179,418,CpG:,808,3,3,2.91264;7.47644;5.42267,3.51796;6.13849;2.59612,29272211,29274390
chr6,29347829,29348444,117.70877909700836,82.02503226688819,1.435034840510815,0.42857142857142855,both,False,6,5,"77.72602548309602,148.18530951214964,129.049407163543,54.870735526911055,239.15355036028345,57.267646536067026","52.652794688855,66.40680704221792,87.07759038798429,172.05286820820288,31.93510100718085",2453,615,CpG:,808,3,3,9.96424;16.1551;12.2837,20.6189;15.967;12.8861,29347046,29349499
chr6,29396379,29396656,22.084280071401835,23.206882820192433,0.9516263016671151,0.6623376623376623,both,False,6,5,"23.876396407261563,17.656106765139487,20.90153854822853,20.514853927749186,19.529256371127985,30.027528408904253","22.999937523120522,23.206174931512678,33.7961876376605,21.731693031880177,14.300420976788285",5295,277,CpG:,809,2,2,7.62606;6.29181,3.92095;4.41251,29395407,29400702
chr6,29402791,29403103,8.369765147424879,2.389244340390575,3.5031013806049884,0.25,both,False,5,3,"2.6792015214355622,1.8383837330098054,15.445570612926872,0.0,8.342020525251115,21.91341449192592","10.034416354432398,0.0,0.0,0.7335751397269112,1.1782302077935667",980,312,CpG:,809,1,1,7.01629,4.03604,29402229,29403209
