external_gene_name,cds_length
Fat4,14946
Birc6,14649
Herc1,14580
Mycbp2,14241
Fat1,13938
Sacs,13749
Dnah9,13455
Pkd1,12882
Fras1,12033
Lyst,11364
Zfhx3,11172
Golgb1,9717
Frem2,9483
Chd9,8658
Fbn1,8622
Pdzd2,8391
Megf8,8370
Srrm2,8112
Unc79,7965
Hivep2,7293
Tasor2,7149
Sptbn1,7092
Dop1b,6888
Arid1a,6864
Ascc3,6597
Cabin1,6564
Dock10,6564
Prrc2a,6477
Plxnb1,6360
Gtf3c1,6306
Nav1,6297
Heatr5b,6213
Heatr5a,6117
Trip12,6078
Prr14l,5916
Notch4,5895
Zfp638,5883
Mtcl1,5838
Ptprs,5724
Ticrr,5670
Pcsk5,5634
Tmem131,5634
Tanc1,5571
Plxnb2,5529
Ecpas,5523
Tnrc6b,5433
Tet3,5412
Kif20b,5325
Ubr2,5268
Marf1,5211
Trpm3,5196
Zc3h13,5193
Itsn1,5160
Mdc1,5127
Cfap43,5049
N4bp2,5037
Kif21a,5019
Cttnbp2,4947
Thsd7a,4941
Rapgef2,4935
Robo1,4868
Tiam1,4776
Gli3,4752
Setbp1,4749
Slx4,4698
Rere,4677
Arhgef11,4659
Dlc1,4632
Rusc2,4548
Neo1,4479
Col2a1,4464
Magi1,4416
Ift140,4395
Scaf11,4371
Phldb1,4350
Ythdc2,4338
Dapk1,4329
Ptprg,4329
Fanca,4320
Clip1,4314
Abcc5,4311
Ppip5k1,4311
Atrn,4287
Tecpr2,4272
Ric1,4269
Smg6,4257
Magi2,4245
Palld,4227
Cep162,4212
Lrpprc,4179
Cracd,4131
Carmil1,4125
Cemip,4086
Msh6,4077
Rock1,4065
Ptprj,4053
Cenpj,4035
Mink1,4035
