chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,peak_width_exo,peak_width_endo,significant
chr15,80083159,80083585,31.04982510102486,0.0,inf,0.0,exo_only,379.5,0,True
chr15,80710963,80712149,323.1582737551266,0.0,inf,0.0,exo_only,700.5,0,True
chr15,81190166,81191037,185.0853596635003,0.0,inf,0.0,exo_only,849.0,0,True
chr15,81360570,81360946,111.76157894325057,0.0,inf,0.0,exo_only,858.0,0,True
chr15,81399335,81400166,35.634357672535714,0.0,inf,0.0,exo_only,457.5,0,True
chr15,81466197,81466957,166.26264740820613,0.0,inf,0.0,exo_only,798.0,0,True
chr15,81729285,81730210,36.848807784220874,0.0,inf,0.0,exo_only,324.0,0,True
chr15,81810601,81811771,230.22877429230505,0.0,inf,0.0,exo_only,1406.0,0,True
chr15,81925826,81926377,66.58301093042395,0.0,inf,0.0,exo_only,695.0,0,True
chr15,82207158,82207889,57.22137224654267,0.0,inf,0.0,exo_only,551.5,0,True
chr15,82244142,82244794,44.7266880704569,0.0,inf,0.0,exo_only,449.0,0,True
chr15,82338754,82339079,35.62489704835231,0.0,inf,0.0,exo_only,391.5,0,True
chr15,82345859,82346310,104.61290105232845,0.0,inf,0.0,exo_only,636.0,0,True
chr15,84231912,84232333,71.99672189706776,0.0,inf,0.0,exo_only,761.0,0,True
chr15,84922961,84924068,50.973347258355446,0.0,inf,0.0,exo_only,567.5,0,True
chr15,85634422,85635033,88.87136291658577,0.0,inf,0.0,exo_only,596.5,0,True
chr15,85670332,85672100,47.3149323799049,0.0,inf,0.0,exo_only,640.0,0,True
chr15,85734824,85736079,44.28555923880634,0.0,inf,0.0,exo_only,664.5,0,True
chr15,85878996,85879453,43.76328087771736,0.0,inf,0.0,exo_only,419.5,0,True
chr15,88819049,88820117,67.85110914765141,0.0,inf,0.0,exo_only,470.5,0,True
chr15,89180327,89181243,37.43766840301926,0.0,inf,0.0,exo_only,412.0,0,True
chr15,89429313,89429985,62.22518054512251,0.0,inf,0.0,exo_only,699.5,0,True
chr15,91049148,91050047,33.895073864024056,0.0,inf,0.0,exo_only,448.5,0,True
chr15,92396922,92397500,26.966713536143608,0.0,inf,0.0,exo_only,387.5,0,True
chr15,93595302,93596105,20.266980765582154,0.0,inf,0.0,exo_only,322.5,0,True
chr15,94543264,94544009,100.48328128696323,0.0,inf,0.0,exo_only,707.5,0,True
chr15,96459953,96461411,77.46663549535239,0.0,inf,0.0,exo_only,647.0,0,True
chr15,96709474,96710225,57.82377980149974,0.0,inf,0.0,exo_only,566.5,0,True
chr15,98001890,98002284,83.0178118258037,0.0,inf,0.0,exo_only,931.0,0,True
chr15,98533652,98534489,80.11225448477497,0.0,inf,0.0,exo_only,536.0,0,True
chr15,98917600,98918328,60.386216272156446,0.0,inf,0.0,exo_only,554.0,0,True
chr15,99074603,99075102,42.7350393514222,0.0,inf,0.0,exo_only,390.5,0,True
chr15,99294807,99295402,40.66203415669294,0.0,inf,0.0,exo_only,512.5,0,True
chr15,99392836,99393490,98.88365488681924,0.0,inf,0.0,exo_only,794.5,0,True
chr15,99725628,99726125,66.52203396615562,0.0,inf,0.0,exo_only,642.0,0,True
chr15,100551398,100552269,90.89694847922684,0.0,inf,0.0,exo_only,589.0,0,True
chr15,100614533,100614938,224.58145678851838,0.0,inf,0.0,exo_only,1211.0,0,True
chr15,100615510,100616267,234.8520467392105,0.0,inf,0.0,exo_only,897.5,0,True
chr15,102405311,102406900,1135.73766532897,0.0,inf,0.0,exo_only,1107.0,0,True
chr15,102518060,102518669,253.11556133136796,0.0,inf,0.0,exo_only,986.5,0,True
chr15,102625238,102625668,194.09569509321904,0.0,inf,0.0,exo_only,827.5,0,True
chr15,103239377,103240720,225.60929477350908,0.0,inf,0.0,exo_only,930.0,0,True
chr15,103305072,103305366,77.09552922099869,0.0,inf,0.0,exo_only,597.5,0,True
chr16,3743947,3744604,311.0738925197047,0.0,inf,0.0,exo_only,1101.0,0,True
chr16,3884214,3884995,46.20612638237196,0.0,inf,0.0,exo_only,423.5,0,True
chr16,3908918,3909244,78.64998307681124,0.0,inf,0.0,exo_only,563.5,0,True
chr16,4003534,4003987,42.77216241302834,0.0,inf,0.0,exo_only,456.5,0,True
chr16,4789406,4790347,44.47878764502045,0.0,inf,0.0,exo_only,535.0,0,True
chr16,4963893,4964574,47.918884673469506,0.0,inf,0.0,exo_only,391.5,0,True
chr16,5013212,5013781,41.50695619104607,0.0,inf,0.0,exo_only,412.0,0,True
chr16,5255699,5256119,39.33149776749138,0.0,inf,0.0,exo_only,306.5,0,True
chr16,8829338,8831232,102.28127062794044,0.0,inf,0.0,exo_only,662.5,0,True
chr16,10542419,10543148,43.33233481222628,0.0,inf,0.0,exo_only,356.5,0,True
chr16,10784214,10786191,59.49651353121137,0.0,inf,0.0,exo_only,542.75,0,True
chr16,11065974,11067077,34.65454588832978,0.0,inf,0.0,exo_only,339.5,0,True
chr16,11134076,11134968,57.43878692937399,0.0,inf,0.0,exo_only,418.5,0,True
chr16,11175775,11176512,39.9352787019941,0.0,inf,0.0,exo_only,379.5,0,True
chr16,11253399,11254629,49.37046174773964,0.0,inf,0.0,exo_only,477.0,0,True
chr16,13109636,13110238,50.543187868268014,0.0,inf,0.0,exo_only,553.0,0,True
chr16,13818870,13819710,141.3302574032614,0.0,inf,0.0,exo_only,716.5,0,True
chr16,13902623,13903411,67.67296258335142,0.0,inf,0.0,exo_only,665.5,0,True
chr16,14158908,14159311,85.29060940524887,0.0,inf,0.0,exo_only,511.5,0,True
chr16,14317136,14317486,137.585468526493,0.0,inf,0.0,exo_only,949.0,0,True
chr16,15637061,15638107,109.61816139888741,0.0,inf,0.0,exo_only,666.5,0,True
chr16,15863195,15863494,37.58259518531489,0.0,inf,0.0,exo_only,435.5,0,True
chr16,16302895,16303619,67.14643713418926,0.0,inf,0.0,exo_only,590.5,0,True
chr16,17131581,17132606,55.581527523323814,0.0,inf,0.0,exo_only,528.0,0,True
chr16,17508816,17509223,20.572580428297126,0.0,inf,0.0,exo_only,326.5,0,True
chr16,17921791,17922241,26.784277717846138,0.0,inf,0.0,exo_only,392.5,0,True
chr16,20097597,20098386,65.08099665716091,0.0,inf,0.0,exo_only,564.0,0,True
chr16,20425909,20426608,75.32392470554353,0.0,inf,0.0,exo_only,687.5,0,True
chr16,20535417,20535868,55.99239857087738,0.0,inf,0.0,exo_only,481.0,0,True
chr16,20548195,20548752,41.8428279490854,0.0,inf,0.0,exo_only,542.5,0,True
chr16,20716048,20718012,94.01328149365838,0.0,inf,0.0,exo_only,507.5,0,True
chr16,21204591,21205625,73.36249382685958,0.0,inf,0.0,exo_only,470.0,0,True
chr16,22439207,22440193,210.74084143064266,0.0,inf,0.0,exo_only,1090.0,0,True
chr16,22857344,22858214,92.38094514990148,0.0,inf,0.0,exo_only,591.0,0,True
chr16,23224892,23225504,26.25963375223128,0.0,inf,0.0,exo_only,421.5,0,True
chr16,31428725,31430036,169.11189688444347,0.0,inf,0.0,exo_only,848.0,0,True
chr16,31932874,31933211,55.60915054636631,0.0,inf,0.0,exo_only,460.0,0,True
chr16,31933753,31934042,55.60915054636631,0.0,inf,0.0,exo_only,460.0,0,True
chr16,35541306,35542689,90.87572797892223,0.0,inf,0.0,exo_only,812.5,0,True
chr16,36071331,36072129,50.33574708004535,0.0,inf,0.0,exo_only,636.5,0,True
chr16,36828052,36828673,25.19699916285154,0.0,inf,0.0,exo_only,398.5,0,True
chr16,36875092,36875675,85.29653629307882,0.0,inf,0.0,exo_only,626.0,0,True
chr16,37539317,37540062,89.01191561999892,0.0,inf,0.0,exo_only,614.0,0,True
chr16,37654017,37654570,17.18246884332093,0.0,inf,0.0,exo_only,311.5,0,True
chr16,38088236,38089788,640.2350382796366,0.0,inf,0.0,exo_only,1584.5,0,True
chr16,38522225,38522863,73.31912635675488,0.0,inf,0.0,exo_only,725.5,0,True
chr16,41533256,41533520,143.2590301339826,0.0,inf,0.0,exo_only,1176.0,0,True
chr16,42190217,42190447,97.43935046987701,0.0,inf,0.0,exo_only,924.0,0,True
chr16,42874974,42876399,2507.3736743566956,0.0,inf,0.0,exo_only,1691.0,0,True
chr16,44139650,44140488,154.4531636589779,0.0,inf,0.0,exo_only,858.5,0,True
chr16,45158612,45159270,65.15125327602838,0.0,inf,0.0,exo_only,491.25,0,True
chr16,45742693,45742974,31.62389147626582,0.0,inf,0.0,exo_only,310.5,0,True
chr16,46010395,46010642,131.07708212007796,0.0,inf,0.0,exo_only,953.5,0,True
chr16,46496299,46497934,84.9213808338231,0.0,inf,0.0,exo_only,543.75,0,True
chr16,49699035,49699631,93.96546960795462,0.0,inf,0.0,exo_only,646.5,0,True
chr16,49855196,49856024,73.91759340413967,0.0,inf,0.0,exo_only,913.0,0,True
chr16,50431468,50432480,44.391381402358476,0.0,inf,0.0,exo_only,391.5,0,True
chr16,52031424,52032329,237.28863086955892,0.0,inf,0.0,exo_only,1029.0,0,True
chr16,52452264,52453325,53.25578219473814,0.0,inf,0.0,exo_only,318.5,0,True
chr16,55895019,55895429,117.6917107415789,0.0,inf,0.0,exo_only,853.0,0,True
chr16,55933853,55934513,310.5570691758557,0.0,inf,0.0,exo_only,821.0,0,True
chr16,55973657,55974697,37.18945180643949,0.0,inf,0.0,exo_only,346.5,0,True
chr16,56717091,56717610,133.31928006545598,0.0,inf,0.0,exo_only,1013.5,0,True
chr16,57121467,57122311,202.25918281695084,0.0,inf,0.0,exo_only,697.0,0,True
chr16,58408229,58409122,85.47944020525077,0.0,inf,0.0,exo_only,437.0,0,True
chr16,58727918,58728350,102.62994810179106,0.0,inf,0.0,exo_only,740.0,0,True
chr16,59639143,59639555,31.469515753449638,0.0,inf,0.0,exo_only,387.0,0,True
chr16,62846598,62847166,38.06465931966978,0.0,inf,0.0,exo_only,514.5,0,True
chr16,62854151,62854454,39.34328467210295,0.0,inf,0.0,exo_only,535.5,0,True
chr16,64851218,64852937,80.07046140936697,0.0,inf,0.0,exo_only,505.5,0,True
chr16,65562260,65562883,34.13572529247503,0.0,inf,0.0,exo_only,413.5,0,True
chr16,67620133,67620701,108.16840864824823,0.0,inf,0.0,exo_only,539.0,0,True
chr16,72663079,72663798,53.59084618287766,0.0,inf,0.0,exo_only,676.5,0,True
chr16,75766681,75766976,183.53968511155153,0.0,inf,0.0,exo_only,719.0,0,True
chr16,84774096,84774492,111.04615255669265,0.0,inf,0.0,exo_only,1104.0,0,True
chr16,84834468,84835966,54.522766163179035,0.0,inf,0.0,exo_only,498.5,0,True
chr16,87354187,87354567,37.49089489263928,0.0,inf,0.0,exo_only,311.5,0,True
chr16,90142402,90144347,62.39877405356079,0.0,inf,0.0,exo_only,546.0,0,True
chr16,90283569,90284933,35.86454892776171,0.0,inf,0.0,exo_only,455.0,0,True
chr16,90726931,90727527,33.23387059678785,0.0,inf,0.0,exo_only,325.5,0,True
chr16,90934297,90935370,36.70498533619629,0.0,inf,0.0,exo_only,414.0,0,True
chr16,91225320,91227642,125.22064966049302,0.0,inf,0.0,exo_only,853.5,0,True
chr16,91269577,91271739,34.42127405658718,0.0,inf,0.0,exo_only,402.0,0,True
chr16,91372742,91373310,42.342557751462834,0.0,inf,0.0,exo_only,641.5,0,True
chr16,91728389,91728782,998.1779712078614,0.0,inf,0.0,exo_only,1132.0,0,True
chr16,91729405,91730158,998.1779712078614,0.0,inf,0.0,exo_only,1132.0,0,True
chr16,92465799,92466553,80.01635514765226,0.0,inf,0.0,exo_only,546.5,0,True
chr16,92696818,92698891,60.53657359641541,0.0,inf,0.0,exo_only,673.0,0,True
chr16,93683220,93683831,27.018422841359968,0.0,inf,0.0,exo_only,369.5,0,True
chr16,93711564,93712394,71.72871095249245,0.0,inf,0.0,exo_only,453.0,0,True
chr16,94313259,94313779,45.185676917820345,0.0,inf,0.0,exo_only,534.5,0,True
chr16,96127037,96128212,91.91050057287336,0.0,inf,0.0,exo_only,641.0,0,True
chr16,96145138,96145794,40.27536878335147,0.0,inf,0.0,exo_only,405.5,0,True
chr16,97962022,97962859,40.95534392687934,0.0,inf,0.0,exo_only,502.5,0,True
chr17,3114402,3115694,41.632240281128276,0.0,inf,0.0,exo_only,377.5,0,True
chr17,3557391,3557765,248.45707408192519,0.0,inf,0.0,exo_only,992.5,0,True
chr17,5189808,5190057,122.6889569115838,0.0,inf,0.0,exo_only,763.5,0,True
chr17,5492094,5493333,195.7171787870549,0.0,inf,0.0,exo_only,1034.25,0,True
chr17,7169741,7170523,383.5921685572674,0.0,inf,0.0,exo_only,826.5,0,True
chr17,8165031,8165882,53.588112234315915,0.0,inf,0.0,exo_only,311.5,0,True
chr17,8800757,8802426,89.29861457296452,0.0,inf,0.0,exo_only,670.5,0,True
chr17,10335413,10335668,419.6883440216919,0.0,inf,0.0,exo_only,1421.0,0,True
chr17,12915652,12916868,108.41132666683447,0.0,inf,0.0,exo_only,511.0,0,True
chr17,12960318,12960670,88.02843972808633,0.0,inf,0.0,exo_only,556.5,0,True
chr17,12991738,12992897,28.9465657942509,0.0,inf,0.0,exo_only,468.5,0,True
chr17,13007717,13008525,71.0255854101832,0.0,inf,0.0,exo_only,469.0,0,True
chr17,15396034,15396270,47.88619082918417,0.0,inf,0.0,exo_only,451.0,0,True
chr17,15526910,15527366,23.27190123218854,0.0,inf,0.0,exo_only,347.5,0,True
chr17,15564126,15564562,97.67623126008013,0.0,inf,0.0,exo_only,728.0,0,True
chr17,15825474,15826841,79.83086011514695,0.0,inf,0.0,exo_only,682.5,0,True
chr17,17373975,17374290,114.05011740602765,0.0,inf,0.0,exo_only,690.0,0,True
chr17,17623866,17625547,85.85419912642794,0.0,inf,0.0,exo_only,910.0,0,True
chr17,17827101,17827344,45.88078501615837,0.0,inf,0.0,exo_only,547.5,0,True
chr17,17838089,17838395,89.11968318020868,0.0,inf,0.0,exo_only,726.5,0,True
chr17,20945198,20945930,182.3878633146716,0.0,inf,0.0,exo_only,874.0,0,True
chr17,21009077,21009303,38.73008538242096,0.0,inf,0.0,exo_only,488.5,0,True
chr17,21532327,21532782,29.09235089172579,0.0,inf,0.0,exo_only,396.0,0,True
chr17,23739814,23740569,117.12340931910933,0.0,inf,0.0,exo_only,835.0,0,True
chr17,23802818,23803998,42.12920298923118,0.0,inf,0.0,exo_only,401.0,0,True
chr17,23924582,23924881,104.334548868548,0.0,inf,0.0,exo_only,755.5,0,True
chr17,24251123,24251745,36.82165290304527,0.0,inf,0.0,exo_only,425.5,0,True
chr17,24426587,24427016,24.965613255899594,0.0,inf,0.0,exo_only,308.5,0,True
chr17,24527641,24527957,224.3501252269352,0.0,inf,0.0,exo_only,804.0,0,True
chr17,24549685,24550867,56.85628551457866,0.0,inf,0.0,exo_only,473.5,0,True
chr17,24849806,24850852,88.5993514299386,0.0,inf,0.0,exo_only,535.0,0,True
chr17,24886158,24887103,110.04915373914046,0.0,inf,0.0,exo_only,466.5,0,True
chr17,24960316,24960930,33.171140966003684,0.0,inf,0.0,exo_only,374.0,0,True
chr17,25015254,25016862,225.13761022240158,0.0,inf,0.0,exo_only,915.5,0,True
chr17,25272923,25273903,23.898753120213065,0.0,inf,0.0,exo_only,359.0,0,True
chr17,25832531,25833676,26.720649868275657,0.0,inf,0.0,exo_only,341.5,0,True
chr17,25919123,25919901,717.4257200886111,0.0,inf,0.0,exo_only,1025.5,0,True
chr17,26138373,26139249,53.04150497980312,0.0,inf,0.0,exo_only,423.0,0,True
chr17,26243869,26244386,104.28828678900703,0.0,inf,0.0,exo_only,1004.5,0,True
chr17,26507982,26508904,59.33301375127144,0.0,inf,0.0,exo_only,656.5,0,True
chr17,26715401,26716379,41.599411047334684,0.0,inf,0.0,exo_only,469.5,0,True
chr17,28232542,28233035,51.34497615904017,0.0,inf,0.0,exo_only,676.5,0,True
chr17,29347446,29348017,28.964359774692078,0.0,inf,0.0,exo_only,334.0,0,True
chr17,29886904,29888441,74.76496808911799,0.0,inf,0.0,exo_only,521.0,0,True
chr17,29889021,29889939,45.49438560154451,0.0,inf,0.0,exo_only,632.0,0,True
chr17,30004196,30005089,61.04980940090236,0.0,inf,0.0,exo_only,702.5,0,True
chr17,30612355,30612692,62.93775019441169,0.0,inf,0.0,exo_only,532.5,0,True
chr17,31564227,31565621,75.00697705183984,0.0,inf,0.0,exo_only,503.5,0,True
chr17,31636472,31637457,152.52561114495592,0.0,inf,0.0,exo_only,1296.0,0,True
chr17,32320337,32321699,77.09567974318625,0.0,inf,0.0,exo_only,722.5,0,True
chr17,32350437,32350898,68.83011541006346,0.0,inf,0.0,exo_only,526.5,0,True
chr17,32787855,32788134,48.15997684786973,0.0,inf,0.0,exo_only,387.0,0,True
chr17,33358432,33358707,90.90156913754785,0.0,inf,0.0,exo_only,735.5,0,True
chr17,33759887,33760378,157.07107558780683,0.0,inf,0.0,exo_only,579.0,0,True
chr17,33890161,33890965,38.980255305213845,0.0,inf,0.0,exo_only,365.5,0,True
chr17,33915891,33916239,54.683848989084616,0.0,inf,0.0,exo_only,332.0,0,True
chr17,34586859,34587906,35.58080081304172,0.0,inf,0.0,exo_only,303.0,0,True
chr17,34603263,34603497,397.9338391553057,0.0,inf,0.0,exo_only,973.5,0,True
chr17,34604012,34604475,397.9338391553057,0.0,inf,0.0,exo_only,973.5,0,True
