chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr8,71465316,71465587,181.5753823741271,46.942195654992645,3.86806326036893,0.1,both,nsc_only,False,3,3,"179.48797590917533,213.0858339208362,152.1523372923697","48.50046735170579,43.89792075780578,48.42819885546639",4574,271,CpG:,1130,1,2,25.9043,8.44185;9.92702,71461479,71466053
chr8,122282660,122282861,175.68690559847096,51.43510272123313,3.415700490590154,0.1,both,nsc_only,False,3,3,"157.16054399905377,227.10991276179064,142.79026003456846","41.8658998518433,61.31858665911655,51.120821652739515",4694,201,CpG:,1517,0,3,,9.89181;15.9955;17.3412,122280701,122285395
chr15,101052673,101054340,32.34304366633964,9.71831549126368,3.3280503905655827,0.1,both,nsc_only,False,3,3,"28.868709283054777,47.61543085221485,20.544990863749284","8.94454713309616,1.8141880999919782,18.3962112407029",4133,1667,CpG:,1355,1,3,"4.74337,4.70715",3.91514;4.254;3.54848,101050671,101054804
chr18,38189421,38189937,39.420761551333136,13.236302244776905,2.978230688777806,0.1,both,nsc_only,False,3,3,"37.460499440030055,54.16921472948427,26.63257048448507","19.415987307609207,12.3562088922017,7.936710534519805",5139,516,CpG:,876,1,3,5.51976,5.91876;4.93032;5.87599,38189057,38194196
chr2,25863731,25864418,42.97565940723205,15.450467022114289,2.7815119986807453,0.1,both,nsc_only,False,3,3,"38.95287244331783,53.63082851381107,36.343277264567256","15.415673241517561,14.509917331642061,16.42581049318324",4635,687,CpG:,782,1,2,6.09882,5.13241;6.00029,25861391,25866026
chr1,74236580,74237193,71.1948028666215,26.14970963083188,2.722584834467114,0.1,both,nsc_only,False,3,3,"58.71480136959348,63.794303198898966,91.07530403137207","18.201809683375508,45.246982815116105,15.000336394004025",1387,613,CpG:,1151,1,2,26.0035,4.17064;7.80567,74236091,74237478
chr19,59169115,59170481,32.21509485608867,11.88446253214945,2.7106900938045344,0.1,both,nsc_only,False,3,3,"29.473158674576947,46.10728352124236,21.0648423724467","12.320037545347843,15.217131363100508,8.116218688000007",6664,1366,CpG:,1036,1,3,"4.56416,3.30702",5.31612;3.93104;7.10145,59166766,59173430
chr11,30024479,30024998,209.8484337566429,78.94022980234072,2.6583205329156576,0.1,both,nsc_only,False,3,3,"141.9575357423707,289.33463835198364,198.25312717557432","58.229460168824694,58.26279175329477,120.32843748490271",2486,519,CpG:,814,1,2,2.63788,6.16075;18.3573,30024125,30026611
chr2,163995281,163995733,105.6916774290056,40.96032733130041,2.580342597707705,0.1,both,nsc_only,False,3,3,"62.70064376344048,150.7604431981724,103.61394532540398","26.815818580688457,60.58639402496871,35.478769388244054",1688,452,CpG:,1836,1,2,28.8607,6.38426;11.2844,163994029,163995717
chr11,68212866,68213077,110.11895895705682,45.25097118305462,2.4335159241464783,0.1,both,nsc_only,False,3,3,"98.90943231460837,139.58307514807748,91.86436940848459","32.61639231673282,29.252674781389327,73.88384645104169",5471,211,CpG:,1105,1,2,12.5994,5.64223;11.9137,68211278,68216749
chr10,80656107,80656330,37.71822902312158,15.984249849503902,2.359712177815603,0.1,both,nsc_only,False,3,3,"38.96103011000464,36.8841668064955,37.3094901528646","14.231317449077133,6.7306721180643505,26.990759981370218",4395,223,CpG:,1200,0,2,,6.95836;7.33167,80655735,80660130
chr17,87636416,87637283,23.44287743654534,10.006815460503995,2.342691091793616,0.2,both,nsc_only,False,3,3,"11.048610453434884,35.659913208859024,23.620108647342118","1.5044252143418493,10.493603683590779,18.022417483579357",2178,867,CpG:,1253,0,2,,4.26255;4.06986,87636757,87638935
chr11,90389629,90389855,33.275861924895906,14.26689168159034,2.3323834418561047,0.1,both,nsc_only,False,3,3,"23.074767589973376,42.64352852305515,34.10928966165918","8.183972519237313,17.87111688169848,16.745585643835227",4304,226,CpG:,1274,1,2,6.14081,5.48017;4.89054,90388251,90392555
